_id,Year,Demand (in Rs. Cr),Collection (in Rs. Cr),Consumers in Lakhs,Consumption by Metered Category in MU,Energy Input in MU
1,2010-11,8246,7855,76.3,14263.2,21909
2,2011-12,9348,8794,79.67,15675.92,24584
3,2012-13,10724,10096,83.55,17069.13,26568
4,2013-14,11560,11147,89.25,17827.25,26786
5,2014-15,13385,12884,94.45,18676.96,28256
6,2015-16,14218,14049,101.47,18348.38,27893
7,2016-17,15838,15543,106.96,18953.78,30228
8,2017-18,18042,18677,112,19678.23,29907
9,2018-19,18892,18361,118.1,20533.71,31616
10,2019-20,21171,20525,123.65,20884.34,31626
11,2020-21,19681,19233,128.2,18324.01,28584
12,2021-22,21606,20712,133.28,20333.29,30061
13,2022-23,26235,24700,139,23078.16,32335
