model,target,MAE,MAPE,RMSE,NRMSE
BiLSTM branch only,traffic_flow,1016.3583984375,11.483744339704012,1344.4013671875,0.24520732046668392
TFT branch only,traffic_flow,1242.7525634765625,12.674205089532064,1653.1319580078125,0.3015171419000825
Hybrid without gating,traffic_flow,426.44732666015625,5.225314509587107,609.1023559570312,0.11109506449448413
Hybrid with gating,traffic_flow,523.022705078125,6.407813138206349,706.9197998046875,0.12893613032957926
Adaptive switcher,traffic_flow,514.7300429128434,6.36217617160539,694.2660241615356,0.12662818978818058
BiLSTM branch only,aqi,6.949034690856934,6.659129890639411,9.284364700317383,0.2987941183692175
TFT branch only,aqi,10.106732368469238,9.240074891704934,12.370427131652832,0.3981113396511128
Hybrid without gating,aqi,3.240518093109131,3.2930269979281444,4.651792526245117,0.14970633872971517
Hybrid with gating,aqi,3.27482533454895,3.1138781547541874,4.591342449188232,0.14776090379016077
Adaptive switcher,aqi,3.2748251081650426,3.1138781547541874,4.591342507285171,0.14776090565986583
BiLSTM branch only,temperature,0.4499955475330353,1.757557543790179,0.593095600605011,0.22837982712677554
TFT branch only,temperature,0.41081544756889343,1.605566049293357,0.5499679446220398,0.21177291483855987
Hybrid without gating,temperature,0.395445853471756,1.6050348239095356,0.498750776052475,0.19205102161947651
Hybrid with gating,temperature,0.31007590889930725,1.223298674635878,0.3986765146255493,0.15351601562515296
Adaptive switcher,temperature,0.31007593013426454,1.223298674635878,0.3986764939718342,0.15351600767214862
BiLSTM branch only,electricity_demand,1.8726924657821655,0.6910030962330264,2.9303555488586426,0.16601707102178195
TFT branch only,electricity_demand,2.5451762676239014,0.9368152346549846,3.259700298309326,0.18467584800244613
Hybrid without gating,electricity_demand,1.5644603967666626,0.5853431016224772,1.9726495742797852,0.11175896542719943
Hybrid with gating,electricity_demand,1.3260308504104614,0.48782403707104816,1.603601098060608,0.09085080392071491
Adaptive switcher,electricity_demand,1.3260309953768827,0.48782403707104816,1.6036010483006815,0.09085080110160403
