trial,features,selection_RMSE,selection_MAE,ridge_alphas
2,"model,lag_1",471.6998291015625,215.6241455078125,"[0.0001, 0.0001, 0.0001, 0.0001]"
2,"model,lag_1,lag_24,lag_48",495.73681640625,220.03268432617188,"[1000.0, 0.0001, 0.0001, 10.0]"
2,"model,lag_1,lag_24",497.13336181640625,221.72569274902344,"[0.0001, 0.0001, 0.0001, 0.0001]"
5,"model,lag_1",549.7440185546875,264.10699462890625,"[0.0001, 0.0001, 0.0001, 0.0001]"
10,"model,lag_1,lag_24,lag_48",553.3585205078125,255.60385131835938,"[0.0001, 0.0001, 0.0001, 10000.0]"
2,model,555.3065185546875,263.6106872558594,"[0.0001, 10000.0, 0.0001, 0.0001]"
3,"model,lag_1,lag_24,lag_48",556.897216796875,253.99169921875,"[0.0001, 0.0001, 0.0001, 0.0001]"
3,"model,lag_1,lag_24",557.3086547851562,254.8267059326172,"[0.0001, 0.0001, 0.0001, 0.0001]"
3,"model,lag_1",560.4237670898438,261.19818115234375,"[0.0001, 0.0001, 0.0001, 0.0001]"
10,"model,lag_1,lag_24",563.4010620117188,262.87042236328125,"[0.0001, 0.0001, 0.0001, 10000.0]"
10,"model,lag_1",564.169921875,268.3987121582031,"[10000.0, 0.0001, 0.0001, 0.0001]"
5,"model,lag_1,lag_24,lag_48",567.5889892578125,258.3353576660156,"[0.0001, 0.0001, 0.0001, 10000.0]"
5,"model,lag_1,lag_24",567.7915649414062,257.7257995605469,"[0.0001, 0.0001, 0.0001, 10000.0]"
5,"model,lag_1,lag_24,lag_48,lag_168",585.3035888671875,289.1353759765625,"[10000.0, 0.0001, 0.0001, 10000.0]"
10,"model,lag_1,lag_24,lag_48,lag_168",585.716064453125,296.5209045410156,"[10000.0, 0.0001, 0.0001, 10000.0]"
3,"model,lag_1,lag_24,lag_48,lag_168",600.3381958007812,306.82958984375,"[10000.0, 0.0001, 0.0001, 10000.0]"
2,"model,lag_1,lag_24,lag_48,lag_168",601.7933349609375,290.382080078125,"[10000.0, 0.0001, 0.0001, 10000.0]"
4,"model,lag_1",602.9446411132812,273.1543884277344,"[1000.0, 0.0001, 0.0001, 0.0001]"
3,model,608.9844970703125,290.45123291015625,"[0.0001, 10000.0, 0.0001, 0.0001]"
7,"model,lag_1",611.0396118164062,279.92462158203125,"[0.0001, 0.0001, 0.0001, 10.0]"
4,"model,lag_1,lag_24,lag_48",620.1629638671875,272.4727478027344,"[0.0001, 0.0001, 0.0001, 10000.0]"
6,"model,lag_1,lag_24,lag_48",620.5466918945312,288.4218444824219,"[0.0001, 1.0, 0.0001, 10000.0]"
6,"model,lag_1,lag_24",621.507080078125,291.63287353515625,"[0.0001, 0.0001, 0.0001, 10000.0]"
6,"model,lag_1",622.3881225585938,300.16412353515625,"[10000.0, 10.0, 0.0001, 10000.0]"
4,"model,lag_1,lag_24",624.3969116210938,274.7843322753906,"[0.0001, 0.0001, 0.0001, 10.0]"
7,"model,lag_1,lag_24",626.8778076171875,277.5924987792969,"[0.0001, 0.0001, 0.0001, 10000.0]"
7,"model,lag_1,lag_24,lag_48",627.2252807617188,277.02447509765625,"[0.0001, 0.0001, 0.0001, 10000.0]"
1,"model,lag_1",627.6858520507812,291.85479736328125,"[0.0001, 0.1, 0.0001, 0.0001]"
7,"model,lag_1,lag_24,lag_48,lag_168",628.9063720703125,302.6820068359375,"[0.0001, 0.0001, 0.0001, 10000.0]"
8,"model,lag_1",638.0217895507812,313.0198974609375,"[0.0001, 10.0, 0.1, 0.0001]"
8,"model,lag_1,lag_24,lag_48",638.520263671875,300.53778076171875,"[0.0001, 0.0001, 0.0001, 10000.0]"
1,"model,lag_1,lag_24",640.49462890625,287.21527099609375,"[0.0001, 0.0001, 0.0001, 10000.0]"
1,"model,lag_1,lag_24,lag_48",640.6199340820312,288.41290283203125,"[0.0001, 0.0001, 0.0001, 10000.0]"
8,"model,lag_1,lag_24",641.841064453125,301.8328552246094,"[0.0001, 0.0001, 0.0001, 0.0001]"
9,"model,lag_1",644.7860107421875,298.11260986328125,"[10000.0, 0.0001, 0.0001, 0.0001]"
10,model,647.7793579101562,318.4372863769531,"[0.0001, 10000.0, 0.0001, 0.0001]"
9,"model,lag_1,lag_24,lag_48",651.0370483398438,288.8355712890625,"[0.0001, 0.0001, 0.0001, 10000.0]"
9,"model,lag_1,lag_24",654.0521240234375,290.1407470703125,"[1000.0, 0.0001, 0.0001, 10.0]"
4,"model,lag_1,lag_24,lag_48,lag_168",668.6686401367188,313.37451171875,"[10000.0, 0.0001, 0.0001, 10000.0]"
6,model,669.8665771484375,328.3033142089844,"[0.0001, 10000.0, 0.0001, 0.0001]"
5,model,671.2823486328125,327.87890625,"[0.0001, 10000.0, 0.0001, 0.0001]"
1,"model,lag_1,lag_24,lag_48,lag_168",679.090087890625,336.04278564453125,"[10000.0, 0.0001, 0.0001, 10000.0]"
6,"model,lag_1,lag_24,lag_48,lag_168",682.1873168945312,344.7254333496094,"[10000.0, 1.0, 0.0001, 10000.0]"
8,"model,lag_1,lag_24,lag_48,lag_168",691.6279907226562,350.506591796875,"[10000.0, 0.0001, 0.0001, 10000.0]"
4,model,696.7730102539062,335.58233642578125,"[0.0001, 10000.0, 0.0001, 0.0001]"
9,"model,lag_1,lag_24,lag_48,lag_168",702.5020751953125,345.2754821777344,"[10000.0, 0.0001, 0.0001, 10000.0]"
9,model,710.3583984375,342.1234130859375,"[0.0001, 10000.0, 0.0001, 0.0001]"
8,model,722.5537719726562,370.3104553222656,"[0.0001, 10000.0, 0.0001, 0.0001]"
7,model,724.6536254882812,334.34185791015625,"[0.0001, 10000.0, 0.0001, 0.0001]"
1,model,753.531494140625,356.2957458496094,"[0.0001, 10000.0, 0.0001, 0.0001]"
