hidden_dim,seq_len,batch_size,MAE,RMSE,NRMSE,checkpoint_path
16,8,32,223.0149688720703,563.5657348632812,0.09877683681531471,outputs/checkpoints/bilstm_h16_s8_b32.pt
16,8,50,223.24256896972656,577.5133056640625,0.10122144414278653,outputs/checkpoints/bilstm_h16_s8_b50.pt
24,8,50,250.75050354003906,628.1522216796875,0.11009698719721525,outputs/checkpoints/bilstm_h24_s8_b50.pt
24,8,32,258.5553283691406,679.2296752929688,0.11904939325810689,outputs/checkpoints/bilstm_h24_s8_b32.pt
24,24,32,321.3248291015625,861.7947387695312,0.1509252055805737,outputs/checkpoints/bilstm_h24_s24_b32.pt
24,24,50,333.75750732421875,879.7025756835938,0.15406138621172635,outputs/checkpoints/bilstm_h24_s24_b50.pt
8,24,32,372.5924072265625,920.236328125,0.16116001961590096,outputs/checkpoints/bilstm_h8_s24_b32.pt
16,24,50,350.570068359375,931.1915283203125,0.16307859229599717,outputs/checkpoints/bilstm_h16_s24_b50.pt
8,8,50,431.5550842285156,1082.7840576171875,0.18978084995075836,outputs/checkpoints/bilstm_h8_s8_b50.pt
8,8,32,443.73883056640625,1097.5250244140625,0.19236451673835703,outputs/checkpoints/bilstm_h8_s8_b32.pt
16,24,32,457.01177978515625,1190.87939453125,0.20855745498971306,outputs/checkpoints/bilstm_h16_s24_b32.pt
8,24,50,564.0848999023438,1441.9659423828125,0.2525299778518513,outputs/checkpoints/bilstm_h8_s24_b50.pt
