cause,effect,best_lag,p_value,significant_5pct
traffic_flow,electricity_demand,4,9.938243069208502e-98,True
electricity_demand,traffic_flow,6,5.3406591022648465e-89,True
aqi,electricity_demand,4,2.389207584414839e-50,True
temperature,electricity_demand,4,1.0802229256764583e-38,True
humidity,electricity_demand,4,1.0649954501541746e-17,True
aqi,traffic_flow,3,0.0003133821935504947,True
temperature,humidity,1,0.003931982155462579,True
electricity_demand,aqi,1,0.0260347635462254,True
aqi,temperature,1,0.06786298043053311,False
aqi,humidity,1,0.08884589743210657,False
electricity_demand,humidity,1,0.1575104260512679,False
electricity_demand,temperature,1,0.1745055516246993,False
traffic_flow,aqi,1,0.2909931821140036,False
temperature,traffic_flow,2,0.4769416828320686,False
temperature,aqi,1,0.5503789224190703,False
traffic_flow,humidity,1,0.6463559063885437,False
humidity,temperature,1,0.6611128792010388,False
humidity,traffic_flow,2,0.8001616296365961,False
humidity,aqi,1,0.8303550918695984,False
traffic_flow,temperature,1,0.8620710487741413,False
