,traffic_flow,aqi,electricity_demand,temperature,humidity,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,season_sin,season_cos,traffic_flow_lag_1,traffic_flow_lag_2,traffic_flow_lag_3,traffic_flow_lag_6,traffic_flow_lag_12,traffic_flow_lag_24,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,electricity_demand_lag_1,electricity_demand_lag_2,electricity_demand_lag_3,electricity_demand_lag_6,electricity_demand_lag_12,electricity_demand_lag_24,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_6,temperature_lag_12,temperature_lag_24,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_6,humidity_lag_12,humidity_lag_24,traffic_flow_roll_mean_6,traffic_flow_roll_std_6,traffic_flow_roll_min_6,traffic_flow_roll_max_6,traffic_flow_roll_mean_12,traffic_flow_roll_std_12,traffic_flow_roll_min_12,traffic_flow_roll_max_12,traffic_flow_roll_mean_24,traffic_flow_roll_std_24,traffic_flow_roll_min_24,traffic_flow_roll_max_24,aqi_roll_mean_6,aqi_roll_std_6,aqi_roll_min_6,aqi_roll_max_6,aqi_roll_mean_12,aqi_roll_std_12,aqi_roll_min_12,aqi_roll_max_12,aqi_roll_mean_24,aqi_roll_std_24,aqi_roll_min_24,aqi_roll_max_24,electricity_demand_roll_mean_6,electricity_demand_roll_std_6,electricity_demand_roll_min_6,electricity_demand_roll_max_6,electricity_demand_roll_mean_12,electricity_demand_roll_std_12,electricity_demand_roll_min_12,electricity_demand_roll_max_12,electricity_demand_roll_mean_24,electricity_demand_roll_std_24,electricity_demand_roll_min_24,electricity_demand_roll_max_24,temperature_roll_mean_6,temperature_roll_std_6,temperature_roll_min_6,temperature_roll_max_6,temperature_roll_mean_12,temperature_roll_std_12,temperature_roll_min_12,temperature_roll_max_12,temperature_roll_mean_24,temperature_roll_std_24,temperature_roll_min_24,temperature_roll_max_24,humidity_roll_mean_6,humidity_roll_std_6,humidity_roll_min_6,humidity_roll_max_6,humidity_roll_mean_12,humidity_roll_std_12,humidity_roll_min_12,humidity_roll_max_12,humidity_roll_mean_24,humidity_roll_std_24,humidity_roll_min_24,humidity_roll_max_24
traffic_flow,1.0,0.02395849807060965,0.2506956559669731,-0.020428424532617968,0.015463640316348419,0.4327509036351986,-0.06274318549526053,-0.02275125557122502,-0.024092425669711794,-0.35984026713036327,-0.4522194208085187,0.034678254869007115,0.03612362940988926,-0.007958765802511618,0.04751540488269731,0.9014177806224136,0.6607698766375536,0.36539546597318234,-0.21193920395513066,0.10280392926452789,0.7632514001077817,0.023966401118410748,0.023871387672726813,0.02369919776066847,0.023747486096049937,0.028871270844190396,0.038101714404463694,0.24951713055380578,0.256117899229003,0.2689103121564143,0.26971177136531405,-0.3896077640125248,0.2274593853036429,-0.020381726950111128,-0.02034271775528276,-0.020309474854569458,-0.020167461650733035,-0.01950672067084222,-0.018545588318394937,0.014593801372871302,0.01370933913234733,0.012813963300461665,0.010215470155958932,0.0058093598396792455,-0.0025067636037143723,0.6142722656179181,0.3605154737488428,0.5705109765708518,0.6223513213295044,0.33503983428041456,-0.2562388529643927,0.5739602720456345,0.1807277273950714,0.24847927426149194,0.18708198698337616,0.4563946182840349,0.2596596663189831,0.023821278683447123,-0.3906105747043417,0.0567879448102995,-0.008472239946059314,0.02508047451001656,-0.16468728123999551,0.047286764671017445,0.006291467566198392,0.02948582793767707,0.12580707037033353,0.02494145527020159,0.036855288128017395,0.28483748451424906,0.23272908518398366,0.22172911174221066,0.3182531566165909,0.17937090463933353,-0.015494400116955825,0.10808436031448283,0.10381192524387274,0.03181671799166233,0.0909163074178022,0.025154641239714715,0.05502941628766149,-0.020372015744814422,-0.45435744670706807,0.011051670699608591,-0.051916283880524945,-0.02018995241084461,-0.19455408498163557,-0.0009938729978675918,-0.039347302328911433,-0.019746635814070112,0.16542547803618873,-0.02726937665966251,-0.01182289606035415,0.013349802726159881,-0.4198818141062194,0.06533422413996418,-0.03983186729490206,0.010988659925904039,-0.1793630333549234,0.04243597905403797,-0.021673407425460645,0.0066060572772818375,0.14098786816682826,-0.00551050877075173,0.020829492231886668
aqi,0.02395849807060965,1.0,0.5842711216803129,0.5998652261790196,-0.39301247989466953,-0.0001758650829987089,0.04118277121673995,-0.8303721061489414,0.013112083029317677,0.00013645586966719878,1.7964756052122604e-05,-0.009393714880321218,-0.0394377094339091,0.7146667098157582,0.8407266497255647,0.024819155065293006,0.02585158921683867,0.02729453327024556,0.034043403625489965,0.04462399457533289,0.059860632682664935,0.9969652351467395,0.9939306077035744,0.9908961317571547,0.9817937537139193,0.9635949882136327,0.9272320444234253,0.5843688767871185,0.5843469831908211,0.5845977580238862,0.5855391557465839,0.5844821237948137,0.5795620240461022,0.5982622291437927,0.5966585987058681,0.5950543348680809,0.5902377429838974,0.5805874578012573,0.5612184839170508,-0.3916566460359233,-0.39029885611246856,-0.3889391938201664,-0.3848498096321422,-0.37663178452726964,-0.36010195336044754,0.03413793256060255,0.035602739510257754,0.024367735771170112,0.04375372391941082,0.05943239865647152,0.0628505491930053,0.022018568904445708,0.08153805945741173,0.12148534687255044,0.1157250954582794,0.05838475840135185,0.1266603782553101,0.9953535585180375,0.15568404486995627,0.9928338323691314,0.9928580432003034,0.9892875872406705,0.24314567729155706,0.9851371147295361,0.9856301713719448,0.9770074716144653,0.4046388271734561,0.9730791770153989,0.9750855113747317,0.6284280599569377,0.12184235683398456,0.6240229095996449,0.616802434835045,0.7069730531762441,0.14840775518359844,0.7496344443798175,0.6830202243744572,0.8072154577974695,0.26629376351733997,0.814471780879801,0.7746138649573374,0.5971264484795124,-0.07853575086690062,0.5997458868896696,0.5923385603005022,0.5936208440742888,-0.1255772759111549,0.6001206690128247,0.5837458525081382,0.5865209803550215,-0.22590255817373983,0.6025446540974174,0.5679650913819904,-0.392336180093001,0.04108635687538112,-0.39114760267444737,-0.3888522301617389,-0.39109301693324294,0.06506816790759633,-0.38990023651004085,-0.3848390509803888,-0.38853918002215626,0.11187404769289021,-0.3905112764754314,-0.3803519254486924
electricity_demand,0.2506956559669731,0.5842711216803129,1.0,0.5397567019926781,-0.39770628092806826,0.1417083800777491,-0.11656260816255018,-0.54752696485259,-0.16154373432609195,-0.1266731364525594,-0.5668550645136352,0.11446758070982463,-0.10456373373273706,0.5519912647398015,0.5230858372682051,0.26547991663229226,0.26761352447660525,0.23460504300441926,-0.04697765846285694,-0.3773093132729812,0.23741631243251532,0.5840295949152974,0.5839715455123915,0.58381833782232,0.5835094817221149,0.586182027507357,0.5914898394837089,0.9583118383978906,0.8804729181141379,0.7827882618271118,0.47444792161414534,0.21937274127380882,0.9095347563478734,0.5398710514021474,0.5400103161538741,0.5401478065168642,0.5401037919515116,0.5358103878664657,0.5201571691529155,-0.3984656233611316,-0.3995543299747145,-0.400328291421078,-0.40319152644685663,-0.4036325856821925,-0.39607148095187844,0.26142173440404987,-0.06320087350761643,0.3248632346184071,0.17565229931195686,-0.0530104651628704,-0.0810509527245601,-0.07047550894843725,-0.11993204224278256,0.08841570784687908,0.14227814302492353,0.09912504591244405,0.15880726147101648,0.5856179623493972,-0.0652495742258958,0.5974569108892489,0.5712632520455012,0.5874462914162459,0.011813299457406924,0.5979918731831452,0.57455870626664,0.5941103774906829,0.3799844499000843,0.5848473700335853,0.600833522595207,0.8714578871546602,0.38612773469036443,0.787111028878684,0.8998846348886899,0.6821772202635992,0.44017712482752525,0.6512556070731583,0.7755947071016812,0.7042641336160088,0.3435870185266644,0.6927521800825218,0.7194354100776301,0.5411872860007453,-0.2879782792881733,0.5585804699832659,0.5216332043981993,0.5416317058468839,-0.26787405982031554,0.5576202877404697,0.5202259567085873,0.5389290508716171,-0.011291200860439917,0.5396787696003819,0.5288923514449588,-0.4027195139933233,-0.16238074225019683,-0.37596753065193605,-0.42524882358692034,-0.4075171946731954,-0.11564735583783864,-0.3795972709569117,-0.4266590409110636,-0.41381938306602223,0.20939218551906838,-0.4117663986510616,-0.4003418359058895
temperature,-0.020428424532617968,0.5998652261790196,0.5397567019926781,1.0,-0.7590443733623448,-7.414784507748355e-16,0.004735389430863339,-0.5022896438967561,-0.00816035123952758,2.817026179629726e-17,1.993271565009126e-17,0.010594007450916067,-0.043336980824626566,0.8110937487891425,0.3188430539670916,-0.02024529564986068,-0.020028221877580556,-0.019729644962191168,-0.018354044313058926,-0.01620032350733216,-0.013133256235977523,0.5997804215691791,0.5996953562581776,0.5996100302629632,0.5993524883397848,0.5988303682524354,0.597757995007116,0.5396452139087733,0.5394895051640688,0.5395351140319214,0.5395352256410563,0.5350819911426878,0.5301832198625663,0.9978132609894662,0.99562652857168,0.9934398027465755,0.9868796648265512,0.9737595669786863,0.9475200831953872,-0.7570910184140529,-0.7551358100999288,-0.7531787484817154,-0.7472964444199206,-0.735481805419114,-0.7116524505455813,-0.024912700658499497,-0.017791592168180576,-0.021382949342104975,-0.02789938167739086,-0.03329437779130702,-0.023731954023033925,-0.020939715626263497,-0.03886184087498132,-0.04640736092301729,-0.02203971770161322,-0.06477853852546069,-0.036773202290412026,0.6014291277514264,0.1348836162622306,0.5964442277339153,0.6032938382209336,0.6030380078837816,0.210639919836245,0.592914874435812,0.6079738702633818,0.6062512717992801,0.3505260764118226,0.5879957589016442,0.6190463828794623,0.580045159669252,0.054431955885677126,0.5934224171105554,0.5498880571853367,0.6510056470340203,0.03658403906780233,0.7207952158086208,0.5814849147132832,0.74072681139958,0.028316715559382113,0.7595112495842173,0.6384271472675986,0.9966542925169103,-0.05651566278882987,0.9958264307098736,0.9938977418619359,0.9922919812090908,-0.0903188236025899,0.9917086501001554,0.9874059142427647,0.9834779389669325,-0.16230099068621434,0.9863009440645794,0.9771844681631849,-0.759418970918627,0.06487994212486402,-0.755575478083735,-0.754254495090936,-0.7590779932479333,0.10257274029040932,-0.7533637284900881,-0.7505131489882685,-0.758376972732583,0.17661316706629776,-0.7549354037264169,-0.7504322757434193
humidity,0.015463640316348419,-0.39301247989466953,-0.39770628092806826,-0.7590443733623448,1.0,0.002972697632680138,0.004892466206369679,0.48601336191516725,-0.02479174554012913,-0.002306552465160482,-0.0003036633928548081,-0.011764340753014177,-0.02269599365333342,-0.7018816097221202,-0.28401863078714096,0.016107694558260714,0.016691458599648223,0.017139711723449094,0.01763988745899453,0.019126645943282363,0.0225030153623714,-0.39259252433892494,-0.392170674874474,-0.391747015370574,-0.390466014965192,-0.3878664550000419,-0.3825803347015882,-0.39706571701343446,-0.39667905732034725,-0.3965973382454758,-0.3962818802280599,-0.3927657328773965,-0.382745975090527,-0.7569636835130907,-0.7548792606017902,-0.7527911046452812,-0.7465042386726838,-0.7338297167775812,-0.7080775259033348,0.9929055582336513,0.9857998580828692,0.978683367174448,0.9572738258509471,0.9142265127566934,0.8275723333168826,0.021088606603539468,0.01816643635796449,0.01629136109671641,0.024838275699882062,0.03128137806936208,0.027567360487179702,0.0148015625836866,0.039446855528356604,0.05303035800542231,0.05339513487366936,0.032154252349723626,0.06316961005389121,-0.39311779092473514,-0.10137242692407407,-0.3887408472251607,-0.3954209550173547,-0.3930462321971928,-0.1581609914704773,-0.3839137189709456,-0.39863095138077315,-0.3928434455164897,-0.2628458127898515,-0.37534392282300905,-0.40608256474418536,-0.4266047621422033,-0.029302607512230336,-0.44048146950523004,-0.4018656137951559,-0.47827726414144023,-0.00429183965698279,-0.542531471842412,-0.42272515044627756,-0.5427028159589163,0.015998379977162202,-0.5721924770310113,-0.4658586119460509,-0.7554379555143899,0.06523164921532924,-0.7563664330520244,-0.7517706998090311,-0.750799969669464,0.10531902359554215,-0.7538675491416122,-0.7434781167374179,-0.7413026503093413,0.19310518372815588,-0.751148854439066,-0.7282990999459527,0.9890835429882044,-0.08353315869854969,0.9840124403140439,0.9823959755803494,0.9746744728026173,-0.13147442480960936,0.9673704650427246,0.963512693103089,0.9450241442487104,-0.22525131111688404,0.9418477381411754,0.9335266498109296
hour,0.4327509036351986,-0.0001758650829987089,0.1417083800777491,-7.414784507748355e-16,0.002972697632680138,1.0,6.48592259571534e-18,7.736426085981398e-16,-3.421152086682787e-17,-0.7759122353393895,-0.10215078369104988,3.416110713394406e-18,-6.368614976599089e-17,-9.23136451342107e-16,-5.786611655470264e-16,0.5521715967130776,0.6386603125628587,0.6461080864785245,0.158632284115517,-0.15743164195155052,0.4327511804626838,-0.0006305857722230626,-0.0010457064580194036,-0.0014212351870208923,-0.002310349732494365,-0.0030206712863525193,-0.00017558789245219786,0.21849276896604863,0.2839784394095116,0.3510539894428908,0.44828138120634947,-0.12347705719886731,0.14059934068138083,3.5374673235686125e-06,6.767318602964762e-06,9.689555226896279e-06,1.66105910640882e-05,2.2147254653084162e-05,-6.529584980284972e-16,0.002238532951641697,0.001568221751603659,0.0009617618467479657,-0.0004745319517652557,-0.0016234295701917315,0.0029718841691892296,0.6820508085215621,0.1362069217261646,0.6792468492988196,0.5565025696479411,0.387941773361619,-0.5311275974304916,0.6612988224191954,0.008833896302186128,-0.00019506681489385035,0.027138155550748836,0.06324067863003979,0.03272193614686966,-0.001184258550480612,-0.4323217567524373,0.03553659326742516,-0.03682103002288243,-0.001963225759172683,-0.4619471430566463,0.05453030624802224,-0.054572500252751455,-0.0020946465913275346,-0.05916084207536361,0.008973220197265468,-0.0087109351242986,0.32295025624199725,0.17244125108256447,0.27325356621578156,0.3301891262697936,0.3387876993934193,0.24859225615556158,0.17035312193492821,0.26714404056137053,-0.002125401592037288,0.012025860437805638,0.0021344496773470813,-0.001656732272594018,7.834972568418909e-06,-0.5032841297206974,0.03511566770555945,-0.03531271688609022,1.3876935542969246e-05,-0.550316440239751,0.05273545682242344,-0.053417053357502284,1.486961976421452e-05,-0.0760697147477179,0.008466462027757662,-0.008703462614186707,0.001359529366532835,-0.46494748812496633,0.059943215095216267,-0.05818661001705057,0.0001068138050577618,-0.5025009337534081,0.08804670335317358,-0.09054594088982126,-8.877399042830096e-05,-0.06674685464392854,0.016491708596353617,-0.01253185609599579
day_of_week,-0.06274318549526053,0.04118277121673995,-0.11656260816255018,0.004735389430863339,0.004892466206369679,6.48592259571534e-18,1.0,-0.015569686028905957,0.7875579809799284,5.44887727027641e-18,6.876230577178083e-21,-0.7345648838743118,-0.35515774645544607,0.006106177745264022,0.012252855187118822,-0.06110241551292237,-0.0591576924853259,-0.056483395886617604,-0.043696364596049315,-0.02424132732495034,0.00322816571813641,0.04046439538513764,0.039746990922816736,0.03903055743238747,0.036887078829174136,0.03262628453424381,0.024209052350816145,-0.10826349568888732,-0.0996279311276993,-0.0893728624043768,-0.04848860892708634,0.04584713602308364,0.12148761122407248,0.006581937600197312,0.008428480208191248,0.010275017254907403,0.01581459502802148,0.026893600428240395,0.04905101069211698,0.004900155720490372,0.004902398426949079,0.004899194512153432,0.00485690490404095,0.004625292070838692,0.0035740727287407745,-0.07166938783088968,-0.04858151439246818,-0.06235310035616358,-0.07856517411419305,-0.08184537418931177,-0.05142930163074764,-0.05635049464150729,-0.095600625277192,-0.07622217429702013,-0.04310814835430663,-0.1244535729533467,-0.06649615757802828,0.039506643508890195,0.016564539203117852,0.03853760807217461,0.0402570958410769,0.03747538923914846,0.02598866234736472,0.035307842232937765,0.03925035782893738,0.033407837867040956,0.043580666034951594,0.028611522798779376,0.037539914564226395,-0.09965435150363054,-0.06867395627528085,-0.08666360793043172,-0.11418244712223546,-0.06003166924052932,-0.13790735172970367,-0.008119178236355218,-0.09077817483454201,0.034878616341370794,-0.2596454660586251,0.08599624438282238,-0.03157053511664455,0.009371694718912593,0.02626950116290033,0.007494315779546274,0.011226640497639362,0.014956433619840679,0.04198182318514767,0.010795034925348309,0.019090812148752006,0.026200131123632446,0.07544043350261652,0.01739953135769824,0.03516052394852786,0.0049276926724045695,0.020925441633842728,0.0022773716994017586,0.007553294112944577,0.004904762450510128,0.03351749879427892,-0.0009798921640459216,0.01085501333167867,0.004656395709483072,0.05912163272191276,-0.007977773735299336,0.017975919485311735
month,-0.02275125557122502,-0.8303721061489414,-0.54752696485259,-0.5022896438967561,0.48601336191516725,7.736426085981398e-16,-0.015569686028905957,1.0,-0.024470146542254243,3.6002394039734717e-19,-2.4713257038829957e-18,0.02150157161061175,-0.012699199650164219,-0.8352044354799927,-0.9261282135836133,-0.02279223493343371,-0.022840769109668185,-0.022907390296896854,-0.023224081047128906,-0.023706178500313632,-0.02439015891805856,-0.8305046872702687,-0.8306373421156602,-0.8307700706921128,-0.8311686988785606,-0.8319679469588321,-0.8335744156443328,-0.5473437997515386,-0.5471692749325375,-0.5470991642333788,-0.5470198459158527,-0.5455036840322904,-0.5428479536880579,-0.5016327223306647,-0.5009758027464624,-0.5003188851441474,-0.49834814422834267,-0.4944067159047164,-0.486524073272385,0.4851607390999441,0.4843079974922568,0.4834551370953655,0.48089584320291806,0.47577404855986205,0.4655176343568482,-0.028845914416531195,-0.024137108520398447,-0.02306568712049373,-0.03380070089908617,-0.04160365951920291,-0.03609763670680121,-0.020592102732265832,-0.05286859886681238,-0.06647207363311207,-0.054238298321059024,-0.047546387458304765,-0.06275765288530849,-0.83316524586242,-0.14717973617585486,-0.829625927161699,-0.8324705890176824,-0.8361555018805532,-0.22988965513770127,-0.829683231790478,-0.8358671673767222,-0.8421601248752179,-0.38266965780823564,-0.8333882429136571,-0.8452867521272411,-0.588202936629322,-0.11707247933843358,-0.5836455141560422,-0.578636004260512,-0.6607514875817524,-0.14735736306936154,-0.6997588351264985,-0.6434014219516915,-0.7543197984914204,-0.2888735877377406,-0.761575398883482,-0.7370167395519379,-0.5017151179831632,0.07769163386272937,-0.5047334025006018,-0.4968717330803126,-0.5008565848250599,0.12416060406875146,-0.5080899863835244,-0.49076205842022685,-0.4991123494000258,0.22311389687327665,-0.5162066736788692,-0.4798116745707202,0.48725901864586796,-0.06655988823389572,0.48782099960173314,0.48086094951611486,0.4882760079328016,-0.10540453780697613,0.4912049015776771,0.4758885962878303,0.490393655282059,-0.1818714301467732,0.5018510522190408,0.47031928892360375
is_weekend,-0.024092425669711794,0.013112083029317677,-0.16154373432609195,-0.00816035123952758,-0.02479174554012913,-3.421152086682787e-17,0.7875579809799284,-0.024470146542254243,1.0,-5.252683450182513e-18,-2.0219572210234736e-18,-0.7820061852064486,0.18258871183849568,0.019227730560880847,0.01544868042773678,-0.023678338504254708,-0.023187529152971023,-0.02251254892851746,-0.019586610649575877,-0.014788045019315089,-0.007854751681759647,0.013334390443853582,0.013556669410773362,0.013778919998146252,0.014445502162918945,0.015777909411427676,0.018439746677276853,-0.1556345678109417,-0.14932356436964017,-0.14126893908916147,-0.11021978443083812,-0.03413628429892501,0.04250777840958821,-0.006583248854933706,-0.0050061512202608195,-0.0034290583354539923,0.0013021918203059849,0.010764563892676594,0.029688795121364783,-0.023185062343313727,-0.021578415810771908,-0.019971805939872668,-0.015152196270737174,-0.005513966441903665,0.013758537164389153,-0.028491327672357396,-0.022419783850806032,-0.022929786860605386,-0.032230667474068504,-0.03583303829881186,-0.028679385263673515,-0.019018949589299696,-0.04525153557840033,-0.04331675604649482,-0.047726964948917754,-0.030587839211732915,-0.06004460419635775,0.013708298467356682,0.003178235085804832,0.013600895770759883,0.01374476823289678,0.01442157785687668,0.004984941884619098,0.014221999415749859,0.014499624164176134,0.015860109705097856,0.008263234440358407,0.015599641934381401,0.016003316255626576,-0.1545729986207017,-0.07535015359145325,-0.14390613300330057,-0.16794093024073864,-0.133971862786083,-0.15825623512241102,-0.08761191179793915,-0.16492296855767383,-0.06518895184297731,-0.2712148208595389,-0.012373478037976776,-0.10696300064522656,-0.004226599436676309,0.016037220766710047,-0.0053251031257322955,-0.003106251063609422,0.0005158985516295431,0.025629402983634142,-0.0019443966120910338,0.0030061795791350462,0.010064302717913042,0.0460554910605044,0.0047835235983283726,0.015460466131522696,-0.020920122815044722,0.020245071848415962,-0.02305432392326453,-0.018493544900653445,-0.016185973516150476,0.032057729942219025,-0.021063123617445972,-0.010782666595773732,-0.006505421166488588,0.05519947175336353,-0.017312503687667877,0.005469199535812077
hour_sin,-0.35984026713036327,0.00013645586966719878,-0.1266731364525594,2.817026179629726e-17,-0.002306552465160482,-0.7759122353393895,5.44887727027641e-18,3.6002394039734717e-19,-5.252683450182513e-18,1.0,-3.562328530930489e-17,1.720525864161562e-18,-3.067928044373966e-18,9.422399779993944e-18,1.5882679484710286e-19,-0.464623937133415,-0.537742637184053,-0.5742109997364778,-0.4521605339903816,0.35993560604880137,-0.35984060235855053,0.0001364467474454468,0.0002366182417194897,0.00043012363262581873,0.0014125648837188599,0.0030744755160091414,0.0001362407941306402,-0.26910712284006705,-0.3931499571475171,-0.49034059225131116,-0.5665598832349891,0.1283119232730493,-0.12613388164615238,6.862105565837542e-17,-7.793785883100873e-07,-2.2850189611423e-06,-9.93079655928705e-06,-2.287265595466348e-05,-4.9712808032864157e-17,-0.002306526151685569,-0.0021447569642182147,-0.0018322728218295933,-0.0002455579292511714,0.0024400097426731686,-0.0023059212888848794,-0.6378537270282744,0.04749480972918748,-0.7586278469785671,-0.48675627793826026,-0.56755828737146,0.5678204686093205,-0.7340172414265788,-0.06264566087267978,0.00015852325898730053,-0.026318084324177975,-0.027504486250524273,-0.03609029325921347,0.0004484029115466833,0.20931164478427852,-0.01702626440932342,0.017747481161361895,0.0013694275666765441,0.49703973948568553,-0.054819308066275545,0.05478107073604876,0.0016252619189224932,0.05754505786207777,-0.001872059845569431,0.002012104099943892,-0.4323775848644059,-0.05437124443363215,-0.40671546917654167,-0.37931823625767125,-0.4457420261544358,-0.3841441533555633,-0.18967637851024194,-0.35769213401579736,0.0017519478933681618,-0.012209338138920098,0.0016114698885120703,0.006637960997676344,-2.421969596109464e-06,0.24366837290815052,-0.016876604840917332,0.016971306760923573,-9.572028980329635e-06,0.5921157310230301,-0.052974838740532326,0.05365952924493831,-1.1537519910454996e-05,0.07397655029330787,-0.0018653427875613667,0.001917559089139424,-0.0018175313619317006,0.22510809687371997,-0.029678938051719568,0.027077055906245137,-0.00033340704357168855,0.5406887250664018,-0.08777794617495853,0.09165512651642352,6.888082535370571e-05,0.06495752692930419,-0.005245802055689363,0.0009893111170408077
