split,model,target,MAE,RMSE,NRMSE
validation,BiLSTM,traffic_flow,796.7280883789062,1054.5684814453125,0.18996530139052703
validation,BiLSTM,aqi,5.981747150421143,7.7835798263549805,0.2645167676023674
validation,BiLSTM,temperature,0.4791935384273529,0.5879936218261719,0.1983695167343529
validation,BiLSTM,electricity_demand,2.0990488529205322,2.6335020065307617,0.1482044484350471
validation,Transformer,traffic_flow,809.1945190429688,1090.7686767578125,0.19648624444347149
validation,Transformer,aqi,6.214979648590088,8.034467697143555,0.27304292781298506
validation,Transformer,temperature,0.6062058210372925,0.7440692782402039,0.251024258873718
validation,Transformer,electricity_demand,2.9753944873809814,3.901693105697632,0.21957388802391595
validation,Hybrid,traffic_flow,920.9088745117188,1203.7098388671875,0.21683096579347744
validation,Hybrid,aqi,6.89078426361084,8.715620040893555,0.29619117325185823
validation,Hybrid,temperature,0.5308766961097717,0.6755204200744629,0.22789815110268896
validation,Hybrid,electricity_demand,3.4552924633026123,4.16230583190918,0.2342402772074266
test,BiLSTM,traffic_flow,836.0584716796875,1103.090576171875,0.201194294365391
test,BiLSTM,aqi,7.184197902679443,9.096992492675781,0.29276401125943835
test,BiLSTM,temperature,0.4095480740070343,0.5465112328529358,0.2104418592120306
test,BiLSTM,electricity_demand,1.7740641832351685,2.2531261444091797,0.12764915277366456
test,Transformer,traffic_flow,885.82763671875,1174.635498046875,0.21424347671088936
test,Transformer,aqi,7.535761833190918,9.684093475341797,0.31165839188446876
test,Transformer,temperature,0.4850691854953766,0.648975670337677,0.2498972362128658
test,Transformer,electricity_demand,2.388528823852539,3.3633553981781006,0.19054834906580237
test,Hybrid,traffic_flow,1037.0548095703125,1325.6148681640625,0.24178082358939787
test,Hybrid,aqi,7.606501579284668,9.672218322753906,0.3112762197205643
test,Hybrid,temperature,0.628535807132721,0.8006178736686707,0.30828920564667694
test,Hybrid,electricity_demand,2.7506067752838135,3.427602767944336,0.1941882350699421
test,AdaptiveEnsemble,traffic_flow,828.3957486718729,1071.1579121520372,0.19537004933650648
test,AdaptiveEnsemble,aqi,8.46857406061469,10.350487312007553,0.3331046152223368
test,AdaptiveEnsemble,temperature,3.0025380876072965,3.717775096913954,1.4315817434209885
test,AdaptiveEnsemble,electricity_demand,15.29424138019985,18.50802161138304,1.0485579265377654
test,AdaptiveSwitcher,traffic_flow,836.0584294115738,1103.0905053866459,0.2011942814547701
test,AdaptiveSwitcher,aqi,7.184197667416297,9.096992517562171,0.2927640120603447
test,AdaptiveSwitcher,temperature,0.4095480646783295,0.5465112714299732,0.210441874066663
test,AdaptiveSwitcher,electricity_demand,1.7740641247862925,2.253126022979453,0.1276491458941555
