model,target,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM,traffic_flow,2653.458984375,25.169418168510607,3576.439453125,0.6701235591728489,59.87580945779026
TFT,traffic_flow,1840.497314453125,20.54853400904639,2388.654052734375,0.4475661831916,69.0814700986725
Hybrid,traffic_flow,459.79253762376237,5.6426472061771795,681.3978513763042,0.1276746780316829,88.67805755339522
Informer,traffic_flow,4467.07763671875,38.05307675341162,5870.98681640625,1.0993733943255786,47.63326060542217
PatchTST,traffic_flow,3512.442138671875,36.93726643178038,4550.64892578125,0.8545368298061243,53.92181939598047
LSTM,traffic_flow,2751.712646484375,35.37444913173943,3265.856689453125,0.6115489723178655,62.05210125024719
GRU,traffic_flow,4704.83056640625,62.606037366760184,5141.068359375,0.9626922950860248,50.950421648043914
BiLSTM,aqi,3.865171432495117,8.317286519798863,4.486181735992432,1.5674024300246958,38.94987354944511
TFT,aqi,4.693873882293701,9.974304281738089,6.184122085571289,2.160636495558632,31.63919676954984
Hybrid,aqi,0.1001717623762375,0.20749602951877769,0.6661456136724948,0.23274095667522474,81.12004347588638
Informer,aqi,3.3112144470214844,7.089706470676984,4.250870704650879,1.4899018000221114,40.16222647781208
PatchTST,aqi,4.853845119476318,10.388736860718787,5.785783290863037,2.0150057048849646,33.16743309572458
LSTM,aqi,33.21055221557617,73.59821500346874,34.886070251464844,12.227334697921405,7.560102037465975
GRU,aqi,25.959169387817383,57.486889002877895,28.433029174804688,9.96558688582882,9.119438935752104
BiLSTM,temperature,0.8470746874809265,3.714551071685773,1.0017110109329224,1.6530735475773228,37.69213261777679
TFT,temperature,0.5586230754852295,2.4015626359994884,0.7082133293151855,1.1687290126143939,46.10995630083374
Hybrid,temperature,0.031018998019801798,0.1344540757738689,0.1609590415454063,0.265622583081275,79.01249656634663
Informer,temperature,0.8783005475997925,3.867150089504196,1.029137372970581,1.6296681978952858,38.0276112705159
PatchTST,temperature,0.8307873010635376,3.5613048593544248,0.9555677175521851,1.5919795044865648,38.580551978480486
LSTM,temperature,2.2692818641662598,9.907671050604923,2.395566463470459,3.7934473900151375,20.861812358325313
GRU,temperature,1.8263388872146606,7.971556821869977,1.9259047508239746,3.0497247568940398,24.693036194562413
BiLSTM,electricity_demand,483.246337890625,9.925412185282495,596.6741943359375,0.7202879069708815,58.129804665128454
TFT,electricity_demand,386.40496826171875,8.141525769465085,472.0819396972656,0.5698837246375902,63.698985109922795
Hybrid,electricity_demand,109.47362633663369,2.45637582187331,146.07661378744257,0.1763394787347262,85.00947371719622
Informer,electricity_demand,663.4189453125,13.392240261585766,811.6401977539062,0.9832048243257488,50.423435226363
PatchTST,electricity_demand,776.997314453125,15.577695276561533,923.0075073242188,1.1184443493253529,47.20444982746247
LSTM,electricity_demand,650.6724243164062,13.261675524528046,792.8068237304688,0.9603904488803012,51.010246482845346
GRU,electricity_demand,1076.5140380859375,22.364597528158072,1224.0206298828125,1.4827542939660066,40.27784797031114
