trial,closeness_len,period_len,trend_len,bilstm_hidden_dim,tft_hidden_dim,tft_heads,tft_layers,tft_ff_dim,dense_hidden_dim,dropout,batch_size,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
10,8,12,4,24,48,4,1,144,128,0.05,64,0.0003,323.6952819824219,6.7279250526335765,608.288330078125,0.11247038337982529,51.98640273546675,outputs/bangalore/checkpoints/project_best_hybrid_trial_10.pt
9,8,8,4,24,48,4,1,144,128,0.1,64,0.0003,317.3446350097656,6.204397557421539,615.1643676757812,0.1137417386672811,53.73781224833002,outputs/bangalore/checkpoints/project_best_hybrid_trial_9.pt
5,4,8,4,16,48,4,1,144,96,0.1,64,0.0005,334.7705078125,7.2566204824857925,638.9561767578125,0.11814076090137852,47.63584230761749,outputs/bangalore/checkpoints/project_best_hybrid_trial_5.pt
6,4,8,4,16,32,2,2,128,96,0.1,64,0.0005,317.5281982421875,5.230299112001369,647.4840087890625,0.11971752719875309,60.207880703864184,outputs/bangalore/checkpoints/project_best_hybrid_trial_6.pt
4,6,8,4,16,32,2,1,128,128,0.05,64,0.0005,315.94525146484375,5.510771709439294,656.4282836914062,0.12137129232555069,56.82714711238778,outputs/bangalore/checkpoints/project_best_hybrid_trial_4.pt
8,4,8,4,24,48,4,2,192,128,0.1,96,0.0003,344.52978515625,6.819238810286669,677.9384765625,0.12534845170731163,50.880720827463435,outputs/bangalore/checkpoints/project_best_hybrid_trial_8.pt
3,4,8,4,16,32,2,1,96,96,0.1,64,0.0005,353.93731689453125,7.519263647981561,692.3386840820312,0.128010999680676,50.505369131582775,outputs/bangalore/checkpoints/project_best_hybrid_trial_3.pt
7,4,8,4,24,32,2,1,128,128,0.05,64,0.0005,372.5366516113281,7.294415795112868,696.383544921875,0.12875888029399774,50.41027734069879,outputs/bangalore/checkpoints/project_best_hybrid_trial_7.pt
1,4,8,4,16,32,2,1,96,96,0.1,64,0.0005,360.9164733886719,6.944928948132433,711.7029418945312,0.1315913831803199,51.247011428583164,outputs/bangalore/checkpoints/project_best_hybrid_trial_1.pt
2,4,8,4,16,32,2,1,96,128,0.05,64,0.0007,381.07843017578125,6.456245704238502,717.6162109375,0.13268472593145458,56.66915599235629,outputs/bangalore/checkpoints/project_best_hybrid_trial_2.pt
