feature,importance
aqi,22.669791613229755
aqi_lag_24,4.95723199434277
aqi_roll_max_24,3.7042821236472023
aqi_roll_min_24,2.649338752807612
traffic_flow_roll_std_6,1.616594006085812
traffic_flow_roll_max_6,1.5588829151028996
temperature_roll_min_24,1.3288529477692752
hour_cos,1.036874723701846
temperature_lag_24,0.9982637237267455
temperature_roll_max_24,0.8824811986756504
aqi_roll_min_6,0.7283770819847836
humidity_roll_min_6,0.7057343231227522
temperature,0.6962068887828747
temperature_roll_mean_12,0.6854082696555124
electricity_demand_roll_max_24,0.6844988817712763
aqi_roll_min_12,0.6558777004432665
aqi_roll_mean_12,0.655759777686577
traffic_flow_lag_6,0.6137161632251077
humidity_roll_max_6,0.5966761088952516
electricity_demand_roll_min_24,0.5955695543593416
hour,0.5670535305912587
electricity_demand_roll_mean_12,0.5026834457616165
electricity_demand_roll_min_12,0.4824748520334681
season_cos,0.48061186787499804
electricity_demand_lag_1,0.47704381749602365
aqi_roll_mean_24,0.45762555533849586
temperature_roll_mean_24,0.4466040019016511
aqi_roll_max_12,0.4435169759568132
humidity_roll_min_12,0.4147267745451064
temperature_roll_max_6,0.40746371113057067
temperature_roll_max_12,0.3685508148772782
aqi_lag_1,0.352099158851068
traffic_flow_lag_1,0.3487112746802006
humidity_roll_max_12,0.3383960558296461
aqi_roll_max_6,0.3223419796150272
aqi_roll_mean_6,0.29418106614447426
traffic_flow_roll_min_12,0.25660734597326934
traffic_flow,0.25610625455863134
aqi_lag_2,0.24001250376425845
electricity_demand,0.2383717241087917
season_sin,0.23820052888544108
temperature_roll_min_12,0.23747703236160436
electricity_demand_lag_6,0.22419418022819024
electricity_demand_roll_mean_6,0.22049733959525292
temperature_lag_12,0.21790710557966683
electricity_demand_roll_max_6,0.21734579180644367
temperature_roll_mean_6,0.2078693432870108
traffic_flow_lag_24,0.20105306345072924
temperature_lag_1,0.19296527882607695
traffic_flow_lag_3,0.1878316573150044
aqi_lag_12,0.18528905203528276
electricity_demand_lag_2,0.18007947181565007
humidity_lag_24,0.16951855046127515
aqi_lag_3,0.16857089619493074
humidity_roll_mean_24,0.1677222587068149
traffic_flow_roll_max_12,0.14426695875795478
electricity_demand_lag_24,0.14098286393409562
humidity,0.12326676939160362
electricity_demand_lag_3,0.11414879821668907
day_of_week,0.10586931320133987
temperature_lag_6,0.10555137530307951
dow_cos,0.09964496521050135
month,0.09360773970884381
is_weekend,0.08282904564900317
hour_sin,0.08034767612136844
temperature_lag_3,0.07970518077502076
traffic_flow_roll_min_6,0.07857164416226335
humidity_roll_min_24,0.07466147832925189
humidity_roll_mean_6,0.06982553064734963
humidity_roll_std_6,0.05613654108518455
temperature_lag_2,0.05485894191865621
humidity_roll_std_12,0.05289896445835765
aqi_lag_6,0.05062684008755229
electricity_demand_roll_max_12,0.050463750870490896
humidity_lag_12,0.04511369187337415
electricity_demand_roll_mean_24,0.044641110848942005
humidity_lag_6,0.043963279773587494
temperature_roll_std_12,0.04071317470650301
traffic_flow_roll_mean_24,0.03836491615013078
aqi_roll_std_24,0.038059344052104295
humidity_roll_mean_12,0.037516809887026895
traffic_flow_roll_mean_12,0.03534660021549544
humidity_roll_std_24,0.03274598170511035
aqi_roll_std_6,0.03152043057028004
humidity_lag_2,0.028073064857778433
humidity_roll_max_24,0.027948333522704143
dow_sin,0.02500345997741287
electricity_demand_roll_std_12,0.02330349593016206
humidity_lag_3,0.022218773615668874
electricity_demand_roll_min_6,0.021940319993106503
temperature_roll_std_24,0.020813025409145404
temperature_roll_min_6,0.013530866290073143
traffic_flow_roll_max_24,0.013472520101528917
traffic_flow_roll_mean_6,0.012911819942060008
humidity_lag_1,0.01071283986243671
electricity_demand_roll_std_24,0.009568333784940835
traffic_flow_roll_min_24,0.008758931736821754
electricity_demand_lag_12,0.008656135188029955
traffic_flow_lag_2,0.007753837783685566
temperature_roll_std_6,0.007219642378529327
traffic_flow_roll_std_12,0.004199052161030944
aqi_roll_std_12,0.0035657091888794553
traffic_flow_lag_12,0.0028066762538794254
electricity_demand_roll_std_6,0.00041276857588824604
traffic_flow_roll_std_24,0.0003951193606427879
