feature,importance
electricity_demand,1241.0640042637506
traffic_flow_roll_max_6,728.8651642903548
traffic_flow_roll_std_6,573.1660674913921
aqi_roll_max_6,512.741291103538
aqi_roll_min_6,510.4483323880176
electricity_demand_roll_mean_24,481.47358862422453
electricity_demand_roll_max_6,449.09626954142516
humidity_roll_min_6,440.0432613332596
temperature_roll_max_24,317.92403954868564
electricity_demand_roll_min_6,289.7034177831573
traffic_flow_lag_6,272.1782142371594
traffic_flow,238.24577069152625
humidity_roll_max_6,237.2673821699385
temperature_roll_min_6,230.40401072441716
electricity_demand_lag_3,226.51667762002683
temperature_roll_mean_12,225.77228219457427
electricity_demand_roll_min_12,218.26885011139439
temperature_lag_6,184.51169927056614
traffic_flow_lag_3,174.30292137100454
temperature_lag_24,171.04273397208985
hour,169.54881563213007
electricity_demand_lag_1,156.10719554420817
temperature_roll_min_12,150.1294831343113
humidity_roll_min_24,145.35408319442715
electricity_demand_lag_6,144.66999467093962
temperature_roll_max_6,142.0650856365338
temperature_roll_max_12,140.27832824517054
temperature_lag_2,137.47448046917233
temperature_lag_1,135.6294385163193
humidity_roll_mean_24,135.27582354765724
traffic_flow_roll_min_12,125.87079557150707
aqi_roll_min_12,118.66734813849361
temperature_roll_mean_6,116.10765567604201
electricity_demand_lag_24,110.34319243648604
humidity_roll_max_12,109.71305695097831
temperature_roll_mean_24,106.26250178621932
temperature_lag_12,99.82504782544555
humidity_lag_1,99.41903426744568
electricity_demand_roll_mean_6,97.66719437330202
aqi_roll_mean_24,96.64435552758994
humidity_roll_mean_12,96.54044858660413
humidity_roll_min_12,94.30883604491763
humidity_lag_2,89.97620692416494
aqi_roll_mean_12,77.94732066575082
aqi_roll_mean_6,76.03878015033187
season_cos,75.2638557695395
aqi_lag_24,71.86132108701172
humidity,70.79449548271404
electricity_demand_roll_min_24,64.8488211049963
aqi,64.43446365305022
electricity_demand_roll_std_12,62.79197905729493
temperature_roll_min_24,58.694313053951994
electricity_demand_roll_mean_12,57.51261225375923
aqi_roll_max_12,53.948318716488394
humidity_lag_6,53.420707302648644
aqi_lag_12,49.26598470133825
day_of_week,47.1640746687856
aqi_roll_max_24,45.33251035585613
humidity_roll_max_24,44.83342598244077
traffic_flow_roll_max_12,41.53322429490905
aqi_lag_6,41.510126123137425
dow_cos,40.15993728423949
season_sin,33.47614744874271
aqi_roll_std_6,33.16421294941972
humidity_roll_std_24,31.955323887182367
traffic_flow_lag_1,31.48817476365269
aqi_roll_min_24,30.67416162435301
temperature_roll_std_24,29.79466762422764
humidity_lag_24,28.36252945999093
hour_sin,25.87195089943054
hour_cos,25.77887901595292
humidity_lag_12,23.245189914428884
humidity_roll_std_6,23.21977494988758
traffic_flow_roll_min_6,22.91373620729439
electricity_demand_roll_max_24,20.38909786725894
aqi_lag_2,20.38860111700494
dow_sin,20.298322045164884
aqi_lag_3,19.96223171412508
humidity_lag_3,19.801819906119498
humidity_roll_mean_6,18.958281182060844
temperature_lag_3,18.507490326353842
humidity_roll_std_12,16.819459893804733
aqi_lag_1,15.641147499420864
electricity_demand_lag_12,14.69303971445983
electricity_demand_roll_max_12,14.538656996691511
traffic_flow_lag_24,12.963137193825892
temperature_roll_std_12,11.420571530809896
month,11.245970427769004
traffic_flow_roll_mean_24,10.034191341034058
temperature_roll_std_6,9.252312003320673
traffic_flow_roll_mean_12,8.875264418697466
aqi_roll_std_24,8.579491706157569
traffic_flow_roll_mean_6,8.286739603255093
aqi_roll_std_12,6.872226148189815
temperature,4.811086995455432
is_weekend,4.351612358778034
traffic_flow_roll_max_24,3.11804692176576
electricity_demand_roll_std_24,2.9665146035255208
electricity_demand_roll_std_6,2.1347370916630495
electricity_demand_lag_2,1.6740598025752118
traffic_flow_roll_std_12,0.9863687824352548
traffic_flow_lag_2,0.7400676422214791
traffic_flow_roll_min_24,0.6834166692336062
traffic_flow_lag_12,0.4958646926377711
traffic_flow_roll_std_24,0.05855920939908057
