feature,importance
temperature,2.386688300111469
humidity_lag_24,0.370714598659855
humidity,0.3335055642588684
humidity_roll_min_24,0.2879152316024592
humidity_roll_max_24,0.20425352883802728
temperature_roll_min_6,0.16410107049360756
season_sin,0.15853085002914227
temperature_roll_min_12,0.1445641414410308
aqi_lag_24,0.14004979138315046
temperature_roll_mean_12,0.1279249094861669
temperature_lag_24,0.1277107832430094
temperature_roll_mean_24,0.1248012587681039
temperature_roll_max_24,0.11184628687875728
temperature_roll_max_6,0.10203112738499687
aqi_roll_max_24,0.10049401725761345
temperature_lag_1,0.0945810647894052
temperature_roll_max_12,0.08889554865285375
electricity_demand_roll_mean_12,0.0690859569118198
aqi_roll_min_24,0.06724475061427584
humidity_roll_min_6,0.06166442808329235
traffic_flow_roll_max_6,0.05171451452093447
electricity_demand_roll_mean_24,0.05111112142950085
traffic_flow_roll_std_6,0.045820824489748294
aqi,0.04484063272225457
electricity_demand_roll_min_12,0.041676974327338696
humidity_roll_mean_12,0.041309735891958944
temperature_lag_12,0.03990409387552964
temperature_roll_min_24,0.0386041428847565
electricity_demand,0.038217237927554666
traffic_flow_lag_6,0.036682441362902475
humidity_roll_min_12,0.03368509977273793
aqi_roll_max_6,0.03182905709121399
temperature_lag_6,0.030487709878925746
temperature_roll_mean_6,0.030323313423597856
humidity_roll_max_12,0.027516917278852315
season_cos,0.027480741865075604
temperature_lag_2,0.025486338600086103
electricity_demand_lag_6,0.02502933665434629
aqi_roll_min_12,0.024467616334724884
electricity_demand_roll_max_24,0.0242358699599471
humidity_lag_1,0.024215313206768993
electricity_demand_roll_max_6,0.02095869744398881
aqi_roll_mean_24,0.020332040895561537
month,0.019672416395456103
hour,0.019135229455934266
traffic_flow_lag_3,0.01887286751108723
electricity_demand_lag_24,0.017675735943841562
hour_cos,0.015951580588438145
humidity_roll_mean_24,0.01334020275374681
aqi_lag_1,0.013023498244271948
electricity_demand_roll_min_6,0.012824515486576009
electricity_demand_lag_3,0.012714166541396002
aqi_roll_mean_12,0.012713815970702615
humidity_lag_12,0.012114806438977253
electricity_demand_roll_min_24,0.011970525995459076
dow_cos,0.011666446473636528
electricity_demand_roll_mean_6,0.011492575232647129
traffic_flow_roll_min_12,0.011372110663314651
traffic_flow_roll_mean_6,0.010490207493802785
aqi_roll_min_6,0.01040691034678398
humidity_lag_6,0.010359888125265697
traffic_flow_roll_mean_12,0.010025417616124422
aqi_roll_mean_6,0.00810985467715196
aqi_lag_6,0.007735362425574554
electricity_demand_roll_max_12,0.007489961799405069
humidity_lag_2,0.006679873027084273
humidity_roll_max_6,0.006638430174768641
is_weekend,0.0061999767756400126
traffic_flow_lag_24,0.005605273611124492
temperature_roll_std_12,0.005081306254100584
temperature_roll_std_24,0.005045570254363401
traffic_flow_lag_1,0.004905583310216832
electricity_demand_roll_std_12,0.0044745381103524886
aqi_lag_12,0.0041503988271142786
electricity_demand_lag_2,0.0037809563760076484
electricity_demand_lag_1,0.0036911557256799157
traffic_flow_roll_max_12,0.003567051950058284
day_of_week,0.0035480843253989243
humidity_lag_3,0.0034670362002584454
aqi_lag_3,0.0033656807999105608
aqi_roll_std_12,0.003347158458155538
humidity_roll_std_6,0.002213824735381951
traffic_flow_roll_min_6,0.001987273251744507
aqi_lag_2,0.0019829277363718487
humidity_roll_mean_6,0.001970315649274336
traffic_flow,0.001528848893468671
aqi_roll_max_12,0.0015252687839472175
temperature_lag_3,0.0014396355145233088
aqi_roll_std_6,0.0012921840713814104
humidity_roll_std_12,0.0009365952019294838
hour_sin,0.0008665343920730399
aqi_roll_std_24,0.0008580975553974387
traffic_flow_roll_min_24,0.0007142114736065676
temperature_roll_std_6,0.00048561529727176873
traffic_flow_roll_max_24,0.0004585789949882686
traffic_flow_roll_std_12,0.00020757703247355216
traffic_flow_lag_2,0.00020514766498328768
traffic_flow_roll_mean_24,0.0001540196881854957
dow_sin,9.94602931604719e-05
electricity_demand_lag_12,8.357151762062203e-05
humidity_roll_std_24,3.835672401627184e-05
traffic_flow_lag_12,1.4610680347926553e-05
electricity_demand_roll_std_6,6.314593946274604e-06
electricity_demand_roll_std_24,5.606546054753977e-06
traffic_flow_roll_std_24,4.21858283029541e-06
