feature,importance
traffic_flow_roll_max_6,6446.424802532812
traffic_flow_roll_std_6,6168.734292666768
traffic_flow,4348.166419707434
traffic_flow_lag_6,3689.9800979137526
humidity_roll_min_6,1897.609359745831
traffic_flow_roll_mean_12,1839.961183214435
temperature_roll_max_6,1699.9699153648876
humidity_roll_max_6,1599.8525089753227
temperature_roll_min_24,1507.309698973795
temperature_roll_min_6,1419.0585768908809
electricity_demand_roll_min_6,1134.0137946906548
temperature_roll_max_24,1102.814168708257
electricity_demand_lag_1,1020.740621049063
aqi_roll_max_24,1006.7023002837053
electricity_demand_roll_mean_6,907.6898033596708
traffic_flow_lag_3,852.7835240730077
traffic_flow_lag_1,826.1905031945138
aqi_roll_max_12,823.5955261269552
aqi_roll_max_6,804.6656931588217
traffic_flow_roll_min_12,775.2079169408008
hour,730.2749161373184
aqi_roll_min_6,716.1677226722032
traffic_flow_roll_max_12,657.0901239613399
electricity_demand_roll_min_12,615.0615298773727
humidity_roll_max_24,606.8491756462142
aqi_roll_min_24,563.7229015848627
temperature_lag_24,555.0999571365182
temperature_roll_min_12,550.5664868402777
electricity_demand,535.8451961249265
aqi_roll_min_12,497.4090718748718
electricity_demand_roll_mean_24,483.8847151148174
temperature,460.3366922163454
humidity_roll_min_24,453.36964937873705
temperature_roll_mean_6,431.9594063096975
hour_cos,370.8699793661209
electricity_demand_lag_24,336.7162629858516
electricity_demand_roll_max_6,321.0756095201811
aqi_lag_2,317.3962302120098
humidity_lag_24,312.69356387742033
temperature_lag_1,308.88362910317727
season_sin,299.31120026707714
aqi_roll_std_24,295.80305088593644
humidity_roll_mean_6,286.3473302040353
temperature_lag_12,266.36897690760134
electricity_demand_roll_mean_12,252.69459852682968
aqi_lag_24,250.63195908849298
hour_sin,249.41631421980952
aqi_lag_6,247.14327977050777
humidity_roll_std_24,244.60729975553178
temperature_roll_mean_24,243.24762585574916
aqi_roll_mean_12,242.17592139688418
traffic_flow_lag_24,238.7734523146483
traffic_flow_roll_min_6,235.95916326804078
temperature_roll_std_24,227.71743903744752
humidity,216.09248259908938
electricity_demand_lag_3,211.44159022047987
humidity_roll_std_6,205.37216661426757
electricity_demand_lag_6,181.15106712439115
humidity_roll_max_12,166.4917781350921
aqi_roll_mean_6,156.22211965564276
humidity_roll_min_12,155.6666506494348
traffic_flow_roll_mean_6,142.9189612656004
traffic_flow_roll_min_24,140.88850863928545
aqi_roll_std_6,121.26109310775918
electricity_demand_roll_min_24,118.83315292194895
temperature_roll_std_6,118.31530880002782
temperature_lag_2,106.98366172243004
electricity_demand_roll_std_12,90.73399872047115
electricity_demand_roll_max_24,86.24937760089605
humidity_lag_1,78.84789865653737
temperature_roll_max_12,78.07446481042592
day_of_week,63.92751315515478
electricity_demand_lag_2,63.846983802649305
humidity_lag_6,63.51214751304413
aqi,62.435973585309014
dow_cos,56.50731663059894
temperature_lag_3,47.24315920079692
humidity_roll_mean_24,43.99757404937053
temperature_lag_6,43.56767529558685
humidity_lag_3,41.73341206418882
aqi_lag_3,39.84129134125025
aqi_roll_mean_24,37.79171391553395
dow_sin,37.15455189859795
traffic_flow_roll_std_12,36.99657258866031
is_weekend,35.68688954372799
traffic_flow_lag_2,35.67813274287334
temperature_roll_std_12,34.27478300935776
humidity_roll_std_12,32.685282621505166
aqi_roll_std_12,31.860056820655863
electricity_demand_lag_12,23.681261259948414
temperature_roll_mean_12,18.47143707677754
aqi_lag_12,15.556983208300887
aqi_lag_1,12.065277724824016
electricity_demand_roll_max_12,11.924994444361067
humidity_lag_2,11.711309755381244
season_cos,9.73366444550705
humidity_roll_mean_12,7.625477620256117
traffic_flow_lag_12,7.4816681059988825
traffic_flow_roll_mean_24,7.272299038009282
electricity_demand_roll_std_24,4.900874468896044
humidity_lag_12,3.555710046292761
month,2.6830389099260747
electricity_demand_roll_std_6,2.216872075758004
traffic_flow_roll_max_24,1.6483009989393322
traffic_flow_roll_std_24,0.10714753169245056
