,traffic_flow,aqi,electricity_demand,temperature,humidity,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,season_sin,season_cos,traffic_flow_lag_1,traffic_flow_lag_2,traffic_flow_lag_3,traffic_flow_lag_6,traffic_flow_lag_12,traffic_flow_lag_24,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,electricity_demand_lag_1,electricity_demand_lag_2,electricity_demand_lag_3,electricity_demand_lag_6,electricity_demand_lag_12,electricity_demand_lag_24,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_6,temperature_lag_12,temperature_lag_24,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_6,humidity_lag_12,humidity_lag_24,traffic_flow_roll_mean_6,traffic_flow_roll_std_6,traffic_flow_roll_min_6,traffic_flow_roll_max_6,traffic_flow_roll_mean_12,traffic_flow_roll_std_12,traffic_flow_roll_min_12,traffic_flow_roll_max_12,traffic_flow_roll_mean_24,traffic_flow_roll_std_24,traffic_flow_roll_min_24,traffic_flow_roll_max_24,aqi_roll_mean_6,aqi_roll_std_6,aqi_roll_min_6,aqi_roll_max_6,aqi_roll_mean_12,aqi_roll_std_12,aqi_roll_min_12,aqi_roll_max_12,aqi_roll_mean_24,aqi_roll_std_24,aqi_roll_min_24,aqi_roll_max_24,electricity_demand_roll_mean_6,electricity_demand_roll_std_6,electricity_demand_roll_min_6,electricity_demand_roll_max_6,electricity_demand_roll_mean_12,electricity_demand_roll_std_12,electricity_demand_roll_min_12,electricity_demand_roll_max_12,electricity_demand_roll_mean_24,electricity_demand_roll_std_24,electricity_demand_roll_min_24,electricity_demand_roll_max_24,temperature_roll_mean_6,temperature_roll_std_6,temperature_roll_min_6,temperature_roll_max_6,temperature_roll_mean_12,temperature_roll_std_12,temperature_roll_min_12,temperature_roll_max_12,temperature_roll_mean_24,temperature_roll_std_24,temperature_roll_min_24,temperature_roll_max_24,humidity_roll_mean_6,humidity_roll_std_6,humidity_roll_min_6,humidity_roll_max_6,humidity_roll_mean_12,humidity_roll_std_12,humidity_roll_min_12,humidity_roll_max_12,humidity_roll_mean_24,humidity_roll_std_24,humidity_roll_min_24,humidity_roll_max_24
traffic_flow,1.0,0.018499724769343067,0.2550979760175385,-0.024593879572433943,0.016989412500343845,0.44684214062982586,-0.06080199365872143,-0.022212217183361697,-0.022418590790208397,-0.32018736523863384,-0.4961227296276125,0.030758523744682575,0.04555666278030714,-0.012573322644012114,0.03367936622598929,0.9070516001160424,0.6767090260433379,0.38348445228219635,-0.22798581441232338,0.06230920992479971,0.7933253875425036,0.01871578016149457,0.01881714406054506,0.01876548867549583,0.019616129559603207,0.0276075313004452,0.04046929831421612,0.24380586067380985,0.2433823830986809,0.25552567487552574,0.25149214015251636,-0.38693789531498596,0.235502502193075,-0.024527004736668294,-0.024479817474194494,-0.024428032424551962,-0.024197749289294475,-0.023823825224821207,-0.02291653498186192,0.015973789990567804,0.014952213799400373,0.013895743637166688,0.010819504434436918,0.007278125974798298,-0.00013333581840999784,0.6097943070659348,0.34540886619698213,0.5651628478017201,0.6033990252563578,0.24018426805789367,-0.23886897474290264,0.4873177122589055,0.1165107011165879,0.22654537048994325,0.16137674314493802,0.4358219328861705,0.2161562781585565,0.01437728763939482,-0.5220713528673149,0.05517251320687061,-0.017717439380104408,0.018129318400117403,-0.28332522829894724,0.043812367685979965,0.0011837625507418051,0.030320840450774437,0.13524913094040278,0.02262399693571965,0.03649993127081362,0.27781643134046535,0.2608366771461809,0.20066121425445954,0.3229437553515451,0.15623648285060113,0.002462975007055749,0.08759226728560016,0.10391359182583612,0.021741865947587872,0.08589543220732625,0.018468893967429845,0.05109932038525393,-0.023305080226242152,-0.6178164754137516,0.009823663682274598,-0.058756508740603945,-0.02364346093193494,-0.2926722417229607,-0.004984102518613033,-0.04363536372709988,-0.024809135862834147,0.18355340624844554,-0.03329274705554417,-0.014986425312957173,0.01639032506403367,-0.5389875744287551,0.07101417983151757,-0.04215049602156213,0.01273778324951699,-0.29132279940755257,0.045027717230217076,-0.019993111164500896,0.005475625708046281,0.14342809320841216,-0.004787596740121252,0.022218990558935107
aqi,0.018499724769343067,1.0,0.6028199875819191,0.629364045605103,-0.44043690016609593,0.00012340644000915046,0.043187247125002166,-0.8311359285316328,0.003128507537831531,-0.00033362168345939757,0.00040717521712187036,-0.012886428290961848,-0.0755709527194467,0.735203614425347,0.8690010517859491,0.019289263420981053,0.02028057599583375,0.021721388509824215,0.025342943192514733,0.033246174178305436,0.046290727231543136,0.9968545395778758,0.9936992486458772,0.9905344641171444,0.9809945834024991,0.9617806510729967,0.9230918945230763,0.6032286929090622,0.6035315189264921,0.6040189632431984,0.6059740626191793,0.6028485823608674,0.5970340134106771,0.6275639941983435,0.6257597701978785,0.6239440842769841,0.6184717568136344,0.6074290256945952,0.5852511302402863,-0.43838616749051024,-0.4363258539888496,-0.4342561802143983,-0.4280022463501309,-0.41538564154944224,-0.3899856130702861,0.029492349003532974,0.02730007414054298,0.024857124412236472,0.03725334315849427,0.049589079100542464,0.049572998666911706,0.02929523830290812,0.07429501003202668,0.10824904981766048,0.11773657540193398,0.06984959997146771,0.11978633756216756,0.9949119315547458,-0.202532365154806,0.9931990033304801,0.9917704767767,0.9883264699552032,0.009784554351008577,0.9860337869935515,0.9827654323793874,0.974685093355684,0.44006403819215684,0.9749632054805119,0.9680384554479365,0.6518449837492264,0.07652259576686825,0.6498168259082314,0.6331155385579947,0.723443840358205,0.18080311072117536,0.739819104189026,0.6904149332150219,0.7810328137224208,0.305328736124322,0.7752640678036323,0.7606634773374387,0.6264550697665896,0.04757490395828741,0.6278750103060303,0.6221471640513603,0.622807522170555,-0.021430281297764035,0.6266090285816704,0.6137451779060575,0.6154755597802538,-0.2186246241892592,0.625749573989839,0.5981611073242129,-0.4378576890031983,-0.2559404207114718,-0.43510484549787093,-0.4361855406166401,-0.4343506814648236,-0.04273746192402313,-0.4296920990095476,-0.43191484521198004,-0.4274926664101915,0.20019309967044063,-0.42249910722589473,-0.42609287684562724
electricity_demand,0.2550979760175385,0.6028199875819191,1.0,0.5655706998990564,-0.4083927536376394,0.10499497648886875,-0.11571650404504318,-0.5551729264811609,-0.16113527520010354,-0.07722496457712054,-0.5243193339439457,0.11201285758042459,-0.06990250168047082,0.6260143739494866,0.5457238687998851,0.2729353750641798,0.2704136301472656,0.23405165789827534,-0.045534460950596406,-0.37337685557051403,0.2460371340587401,0.6023601892071498,0.6021602375532218,0.6018635434926259,0.6011776276926385,0.5986444729203637,0.5945472094074395,0.9534884952714076,0.8798935206067086,0.7918550488938954,0.5132966662858041,0.26354084300896474,0.9032474123043116,0.5654979433332945,0.5653187909712808,0.5652461100992439,0.564601270226695,0.5586204836946886,0.5403178412293486,-0.40921474900549737,-0.41047589417085123,-0.41132032323361567,-0.41479235827287575,-0.4147496802986792,-0.40631268159662104,0.24472604486521563,-0.05957269315155228,0.29633796299170795,0.14939429229214926,-0.058263451487643655,-0.03490723186660985,-0.07548338822689162,-0.11431446056160982,0.08394107762571758,0.1388136380411434,0.09815842227260284,0.14318406105814227,0.6007554972761475,-0.32676351509018403,0.615951916908981,0.588532033720597,0.5994889651530746,-0.15798699174294087,0.6132333669646162,0.5897247413236916,0.603495886246269,0.4063452622291147,0.597038505057791,0.6050032205066221,0.8711203021267382,0.2916593160827794,0.7979854099418343,0.8978004029516836,0.6925869261184111,0.4427903292374301,0.663271904761857,0.7772848247309664,0.7160855227765713,0.33002937009056293,0.7070104969679754,0.7275938651408378,0.5670596864276297,-0.23959434026432921,0.5825977407777367,0.5483083106424166,0.5666816052382859,-0.2008383505326095,0.5802837562744505,0.546665755722793,0.5607882540515724,-0.03902785157626493,0.5626124669286172,0.5510978663455045,-0.41307228614941915,-0.3906645225822906,-0.3879642831889951,-0.43487957691437856,-0.4177344349180496,-0.22043383384949217,-0.3912648777016305,-0.4360294812932879,-0.4258946735656998,0.2424279428039108,-0.41838161511078253,-0.41494187367800733
temperature,-0.024593879572433943,0.629364045605103,0.5655706998990564,1.0,-0.7698106386864623,0.0,0.0003305619720160871,-0.5345620274334465,-0.015212054543865296,0.0,0.0,0.0066377551065262405,-0.04575101432478266,0.8658685888324413,0.47110007113592994,-0.024379441677107278,-0.024089033359625648,-0.02369419978989579,-0.02290386592943573,-0.020793120659530293,-0.01761890111891119,0.6292303641853307,0.629096654386168,0.6289614413323725,0.6285559235232286,0.6277405627740508,0.6258947705679807,0.5656088616595878,0.5655627273525671,0.5656398937659629,0.5657718519778097,0.56034638411775,0.5570296475372966,0.9977017924401436,0.9954038482755992,0.9931061674853138,0.9862147051495511,0.9724388887430123,0.9449156731093654,-0.767676742613477,-0.7655402713663942,-0.7634006052921711,-0.7569626203080128,-0.7440119075204914,-0.7178654527919636,-0.030126773186606056,-0.021995961809300815,-0.026996455218570768,-0.03391187080672549,-0.043657799580351486,-0.036492754603561876,-0.03349823641870813,-0.0456577663916673,-0.06048924466198973,-0.02675880161433727,-0.07042250687244124,-0.03665738551257839,0.6308450312611309,-0.2323349130653085,0.6258133484525883,0.6324612082066484,0.6322675858400608,0.01524542456448138,0.6218194870681658,0.6364848663331711,0.6347091537474451,0.4697935410328236,0.6146088739967173,0.6454652800128139,0.6045852503587272,0.015112171018897674,0.6314008245106003,0.5669506667926103,0.6582640243131035,0.05851495086710528,0.7299242906457789,0.5888765005874147,0.7433448209469814,0.030431639329320376,0.7503875896276683,0.6509353502033959,0.996357390433606,0.017479558087709058,0.9953727839745268,0.9938046818298142,0.9915807509502109,0.0026659919642669184,0.9907509229714515,0.9872060343207223,0.9818792753294464,-0.17042976230633292,0.9845533728147045,0.9767436888596578,-0.7694109328076278,-0.299855273533531,-0.7646823706706177,-0.7657056672387881,-0.7682672845223975,-0.06494531422422878,-0.7604723482770048,-0.762619784651002,-0.765782687333449,0.2817375313633794,-0.7584407735083045,-0.7624702640494817
humidity,0.016989412500343845,-0.44043690016609593,-0.4083927536376394,-0.7698106386864623,1.0,0.003328815594668458,0.017419037929347177,0.5109407388753865,-0.009467529276351416,-0.002464242115989378,-0.000511937114007056,-0.0234148213476217,-0.027302744956844087,-0.6646778226920975,-0.40412944008140106,0.01761307738441356,0.01808994659351204,0.018308104468389205,0.01784372605261857,0.017671290809022064,0.01835908157343952,-0.4401999356519118,-0.43995238596976904,-0.439692758035164,-0.43885507790086614,-0.43692075101057437,-0.4321713454886914,-0.40763351079303506,-0.40704623415540486,-0.40678555977873115,-0.40608219762381786,-0.4024804734215785,-0.39411827201345156,-0.7676199985237079,-0.7654342092796282,-0.7632455845634343,-0.7566464680907955,-0.7433149543734507,-0.7160983413774367,0.9922308263381286,0.9844445067457426,0.976640675445297,0.9531327210406338,0.9057581056079279,0.8101160312806801,0.023687766827101994,0.018149085312165282,0.020909225643301936,0.027514217641716136,0.034205963649228344,0.029368103009076673,0.023975226245992562,0.04340337750525072,0.05499681156569567,0.055816670298160904,0.04753926118540338,0.0581046261167064,-0.4409276148500157,0.2468708278401538,-0.4359474598410562,-0.4435072243662577,-0.44101868243373926,0.00640585830102588,-0.43049437416854996,-0.4466123391387093,-0.44039219718330275,-0.3958283929154358,-0.41937348212629627,-0.4511676414778482,-0.4378211342508029,0.0014144886930420296,-0.45687367455801703,-0.40831832905815896,-0.4790351072691841,-0.024974440119743813,-0.5337382920337954,-0.4250626459612238,-0.525478892979177,-0.002868832520984532,-0.5540823467111923,-0.45876646512025127,-0.7664029555200279,0.0022605671036352985,-0.7671157079779173,-0.7621126147660845,-0.761748235948979,0.003962501612673452,-0.7648210476694135,-0.7532750912724254,-0.7519015122791852,0.19385805483860152,-0.7632568529711731,-0.7368679834604039,0.9878060867174276,0.2928009844420322,0.9821386156214533,0.980907412052762,0.9716458714579788,0.058611978246312736,0.9629197655916123,0.960745269074015,0.9379482684280656,-0.33282066595804166,0.932288878922984,0.9294173141190739
hour,0.44684214062982586,0.00012340644000915046,0.10499497648886875,0.0,0.003328815594668458,1.0,0.0,0.0,0.0,-0.7455416103283029,-0.16615921537071862,0.0,0.0,0.0,0.0,0.572549026432374,0.6621434582841909,0.658522710130146,0.20213380225187572,-0.1478815314730328,0.446832393591005,-0.0003640092794922892,-0.0007997228205169418,-0.0012120404014012395,-0.0021410908148808624,-0.002681219586537571,0.00012340644000915046,0.17793913989278237,0.24560394633917176,0.3260604289469,0.4295209568692474,-0.10093700766696612,0.10390507709370923,3.3212977117433426e-05,6.353786029372921e-05,9.097465102901301e-05,0.00015595648280049087,0.00020794182926641422,0.0,0.002502327608210457,0.0017378845964640193,0.001049349200163426,-0.0005816052920318523,-0.0017801463395853902,0.0033276603743108363,0.6884360845008111,0.15375688164312457,0.6907990374767717,0.548159908089203,0.3747267160405531,-0.5275581825818635,0.6181342942520346,0.011931473141369227,-0.000260306089181874,0.02004121032440631,0.06303293545410105,0.027185473379425725,-0.005429615108246977,-0.5415056509280928,0.037026215677643595,-0.038823012054561734,-0.008334097618848716,-0.7154924963588764,0.05549029117045164,-0.05823608921001539,-0.003965124877667548,-0.10955442291398065,0.008960114257268835,-0.009000663076189302,0.3020108265284552,0.2095070285700789,0.24187453038081722,0.31169133355562867,0.3274802105278127,0.2530728481687894,0.1570488522604617,0.2728501303192351,-0.0059663670531027455,0.025810691102425634,0.0026406698032239756,-0.0033070064414420642,0.0011285544162097732,-0.6451504485638901,0.035928563873970434,-0.035791305934380804,0.0014996564455789973,-0.7453521361559607,0.054082190916830294,-0.05387545300457898,-0.00016311253866221103,-0.11785463043841929,0.008698687272225367,-0.008665396913377288,0.0035521099783426386,-0.5483951875656196,0.0604902760054123,-0.057178753996505585,0.002976222741783364,-0.7389489277562712,0.08947960596413716,-0.08770551808094179,0.0006428592982451482,-0.11425718028514982,0.016942222004191952,-0.011033095695954313
day_of_week,-0.06080199365872143,0.043187247125002166,-0.11571650404504318,0.0003305619720160871,0.017419037929347177,0.0,1.0,-0.016450501458212963,0.7893199093070254,0.0,0.0,-0.7187703435804702,-0.5338396624472573,0.0025198423860372143,0.009734708275509126,-0.05904913353477507,-0.05702541851122269,-0.05381624722792162,-0.04460808678373744,-0.02528621921841486,0.003942324508708745,0.04435731691620988,0.04552738979082298,0.04670094322977335,0.050218451537855105,0.05724898630476226,0.07149345435732779,-0.10686990077098688,-0.0975732424266654,-0.08723255571983964,-0.041142146128755455,0.03999482133226055,0.11651037163090766,0.002973560442237897,0.005616142325206202,0.00825830764517841,0.01618230446957824,0.03201905418880558,0.06364759619145333,0.01685117505147289,0.01627651149985907,0.01569305862219015,0.013892946997965816,0.010067196378693723,0.00171963089930796,-0.07324150800674989,-0.045952825334677316,-0.06767114389634257,-0.08267902905884938,-0.08483272893229712,-0.06562649569112282,-0.07662960258504987,-0.104817768041305,-0.09923455710805,-0.06511845596841974,-0.1455096869805588,-0.07841860316396493,0.048861984956120104,-0.012714679742200544,0.045004672177378344,0.04775009702889961,0.055608506705486,0.015663798304899022,0.04785809479354435,0.053925033127014736,0.06947505214572729,0.05101389651404274,0.055615663805682315,0.06875971317435967,-0.0929563846167947,-0.04401261421776401,-0.08491432424406022,-0.1110626342122328,-0.05673384956727203,-0.132162077947148,-0.013499146791690017,-0.10280847961855656,0.026386859080573897,-0.26232378604415846,0.09016709592438718,-0.04676174794859173,0.00690461785546475,-0.02107318696149792,0.003777888731451758,0.010308304868499865,0.014915240076344939,-0.00263204697163684,0.008019739338126263,0.02272847224910935,0.030244533049371906,0.07106977262116743,0.016847413913651042,0.04903174971604569,0.016275415992149007,0.0005855029674395948,0.01323622113220917,0.018705406162541707,0.014628536707520146,0.003740036956933795,0.007802276046246077,0.020475196622982774,0.009726356931248582,0.028321579963457588,-0.004159174139562297,0.024754973395489002
month,-0.022212217183361697,-0.8311359285316328,-0.5551729264811609,-0.5345620274334465,0.5109407388753865,0.0,-0.016450501458212963,1.0,-0.023691093898408087,0.0,0.0,0.021837669372925257,-0.004739383564894706,-0.7630236642837361,-0.9211445484085837,-0.02224460272781721,-0.02227507650206734,-0.022331039768323586,-0.022699586956015427,-0.023214907614264785,-0.024004053319485828,-0.8313054344637778,-0.8314750317435692,-0.8316447203713914,-0.8321543343468903,-0.8331760287467781,-0.835229283635682,-0.5549066439848543,-0.5546322193648977,-0.5544630366128304,-0.5540507309095216,-0.5526374928526435,-0.549969369153622,-0.5338760257824428,-0.5331905532939999,-0.5325056099616466,-0.5304539548365562,-0.5263649309315097,-0.5182440236808314,0.5099372170117151,0.5089341613936529,0.5079315720189035,0.5049266013316029,0.4989292482174182,0.48698489331044187,-0.029989848988306957,-0.02356553500065072,-0.02675760816434698,-0.035855653430188754,-0.04274641805139496,-0.040493551174824,-0.03059526982714583,-0.05985104571197742,-0.07099085144865575,-0.06863023826361507,-0.0651051195880777,-0.07098558266230401,-0.8336073237082934,0.25498282048358667,-0.830672900551227,-0.8327832132731853,-0.8360369627262064,0.009822705642770345,-0.8305294589251927,-0.8352373573217651,-0.8405497835899601,-0.45883756565578193,-0.8315927357207129,-0.8417072794641539,-0.6043421927539969,-0.06785194748741877,-0.5965588350487789,-0.5856658366939086,-0.6761557859734314,-0.17329961423376058,-0.6803345130213878,-0.6459731200565544,-0.7131799850060622,-0.32326707324613324,-0.7211899454755517,-0.7140325770075266,-0.5353028066684496,-0.0075225417365003275,-0.5367216248940466,-0.5295450236333656,-0.5359448430470303,0.013459426299156065,-0.5401545817907344,-0.5241983298284537,-0.536948794443011,0.2086681978328399,-0.5497744759317108,-0.515709667034537,0.5117786590738013,0.2987211158979001,0.5086383043400536,0.5088177607902303,0.5121150598923333,0.05270794553672096,0.5066843137128689,0.5070277164189423,0.5124269764995701,-0.28339966676063527,0.5054236498592708,0.5059268925559859
is_weekend,-0.022418590790208397,0.003128507537831531,-0.16113527520010354,-0.015212054543865296,-0.009467529276351416,0.0,0.7893199093070254,-0.023691093898408087,1.0,0.0,0.0,-0.7893199093070254,0.005803822862551658,0.012977963196354188,0.01042496229448016,-0.021912200122398726,-0.021365918722969623,-0.020695902186589114,-0.018281035529530136,-0.013805332453385555,-0.007343403400479904,0.005576936814983098,0.008024996648504455,0.010472317637032246,0.017809847588562605,0.032463851209909696,0.06169133160059081,-0.1550094628023799,-0.14832277936902508,-0.14012855880565464,-0.10490892344440411,-0.03824763717231705,0.03881349454537777,-0.012734331701272588,-0.01025660960481897,-0.007778888231925533,-0.00034572822881774113,0.014520575289409683,0.044253133443323205,-0.008282610589846931,-0.007099169384033674,-0.005917205656180318,-0.0023801793131673376,0.0046628465609435754,0.018642522535736915,-0.02814512539772742,-0.021049007876345185,-0.02315381065220635,-0.03277104075638486,-0.0372586793801931,-0.03150481111498454,-0.022566569576556957,-0.05103846964451622,-0.06533879755930566,-0.07098924541661472,-0.04355052565537688,-0.07364178698296842,0.010967631939866959,0.001989148201202528,0.009149566543239295,0.009768555418828753,0.020385137177206032,0.024610640945337024,0.01688685737931013,0.018321814702936593,0.039676741844091014,0.027817987229987285,0.03403728109575133,0.03734438236040794,-0.14675651386856045,-0.05354997913456169,-0.14580953284569736,-0.16433786902427788,-0.12623975166374796,-0.1580995162731635,-0.09913033493151127,-0.17618466404445973,-0.08855336009701816,-0.27026896580528287,-0.02756996385920995,-0.1307284436587788,-0.007672978631784956,-0.009790895899928308,-0.011211816983682874,-0.00663901903370566,0.0009221089221791212,-0.00728544647387517,-0.006265260250513074,0.003989921094410921,0.01663554855792153,0.045356650782040174,0.004106732061550362,0.026365149343966044,-0.006245342943970225,-0.006701889212481759,-0.008287415946676818,-0.004599322337977338,-0.0022769162266117753,-0.004269084918352763,-0.006915987725815613,0.0016082179203268173,0.00534812789629667,0.01858401277710174,-0.004333445457986684,0.0152203242714006
hour_sin,-0.32018736523863384,-0.00033362168345939757,-0.07722496457712054,0.0,-0.002464242115989378,-0.7455416103283029,0.0,0.0,0.0,1.0,-0.006744995648389904,0.0,0.0,0.0,0.0,-0.462243943775726,-0.5613622380574163,-0.6091148132182477,-0.49575313804793586,0.3130540213986893,-0.3201717029984636,-0.0002342178552689652,-5.526448090838143e-05,0.00021283447101708473,0.001349524878444643,0.0027364706350517776,-0.00033362168345939757,-0.211573095699256,-0.32974608823606083,-0.42214164714717534,-0.5256520869823561,0.07744751043186308,-0.07682153249089316,1.4446707376854372e-06,-2.889341067265931e-06,-1.4446703339688027e-05,-8.090150663314237e-05,-0.00020514296029394152,0.0,-0.002488849362175052,-0.002371013757997344,-0.0020776286602342984,-0.0004334442455296518,0.002582029405997755,-0.0024636642545118044,-0.6379374198413718,-0.008287900860616943,-0.7526161597490463,-0.4766373429587223,-0.5985187272637315,0.5567992649474,-0.7260266148375668,-0.09763052698179002,-0.0006347601016754467,-0.017741741673199047,-0.0209760838366968,-0.02850291019609617,0.0017308371177219301,0.20589452094700222,-0.01430074215676424,0.014890859982498485,0.00806079701721902,0.6965193794292573,-0.05340507019202925,0.05595661189975654,0.004546528208554746,0.06341921723265459,-0.0022402083922099364,0.001577308792093758,-0.3749377936344836,-0.14673372955336222,-0.33235272835624846,-0.3346815277727493,-0.43122333105310373,-0.36835165899549366,-0.19090165238298626,-0.36551831829205644,0.006272022953715079,-0.031232990286442455,0.0031379655140412444,0.008797407601681184,-0.0004611817757150332,0.24470055438810057,-0.013620958174902229,0.01356892201056007,-0.002004681580640088,0.7321244109244944,-0.05183555017841054,0.05163740041334716,-0.00015373318620099814,0.08906336035041652,-0.0018918416909793506,0.001884601507856829,-0.0028169472009962142,0.20751030046587426,-0.02412012298857102,0.02046113280830079,-0.003594714750296773,0.7208234223294022,-0.08507297246492779,0.08484218177348381,-0.0011818309366474983,0.06977471629578098,-0.005278827039657342,0.0005467769961195584
