closeness_length,period_length,trend_length,MAE,RMSE,NRMSE,checkpoint_path
4,8,4,252.10812377929688,645.6487426757812,0.11310109669467208,outputs/checkpoints/hybrid_c4_p8_t4.pt
4,4,4,256.6817932128906,646.3435668945312,0.11322281207326161,outputs/checkpoints/hybrid_c4_p4_t4.pt
12,12,12,254.99598693847656,649.0114135742188,0.11370276412851271,outputs/checkpoints/hybrid_c12_p12_t12.pt
12,8,4,251.6787567138672,657.3208618164062,0.11514575253971332,outputs/checkpoints/hybrid_c12_p8_t4.pt
4,12,8,272.0906677246094,684.4799194335938,0.11996960979477211,outputs/checkpoints/hybrid_c4_p12_t8.pt
4,4,8,281.7198181152344,699.3828735351562,0.12258166828997726,outputs/checkpoints/hybrid_c4_p4_t8.pt
8,4,8,281.9082336425781,721.47216796875,0.12645328520466043,outputs/checkpoints/hybrid_c8_p4_t8.pt
12,4,8,287.82318115234375,723.6550903320312,0.1268358886042632,outputs/checkpoints/hybrid_c12_p4_t8.pt
4,8,8,279.3302307128906,727.4204711914062,0.12749585138710384,outputs/checkpoints/hybrid_c4_p8_t8.pt
8,8,12,309.4505310058594,775.567138671875,0.13587454024666282,outputs/checkpoints/hybrid_c8_p8_t12.pt
4,4,12,318.8661804199219,779.3834228515625,0.13654312950542594,outputs/checkpoints/hybrid_c4_p4_t12.pt
12,12,4,296.22601318359375,782.6369018554688,0.13709790798434757,outputs/checkpoints/hybrid_c12_p12_t4.pt
12,12,8,303.3496398925781,806.8474731445312,0.14141711651255864,outputs/checkpoints/hybrid_c12_p12_t8.pt
4,12,4,319.1011047363281,807.0385131835938,0.14137244430713253,outputs/checkpoints/hybrid_c4_p12_t4.pt
8,12,8,332.17779541015625,823.55908203125,0.144346180083688,outputs/checkpoints/hybrid_c8_p12_t8.pt
4,12,12,320.7389221191406,836.3883056640625,0.14653003051985927,outputs/checkpoints/hybrid_c4_p12_t12.pt
12,4,4,315.0574951171875,844.6376953125,0.1479588564729461,outputs/checkpoints/hybrid_c12_p4_t4.pt
8,12,12,338.8630676269531,883.66552734375,0.1548127057900719,outputs/checkpoints/hybrid_c8_p12_t12.pt
12,4,12,355.2927551269531,888.2722778320312,0.15561977983100947,outputs/checkpoints/hybrid_c12_p4_t12.pt
4,8,12,342.355224609375,889.2266845703125,0.15578698595708948,outputs/checkpoints/hybrid_c4_p8_t12.pt
12,8,12,360.2023010253906,903.887939453125,0.15835554664940127,outputs/checkpoints/hybrid_c12_p8_t12.pt
12,8,8,356.1529846191406,910.6033325195312,0.15960252942202768,outputs/checkpoints/hybrid_c12_p8_t8.pt
8,8,4,414.6332092285156,1075.623046875,0.1884215645297353,outputs/checkpoints/hybrid_c8_p8_t4.pt
8,8,8,413.71099853515625,1107.11962890625,0.1940461744822619,outputs/checkpoints/hybrid_c8_p8_t8.pt
8,12,4,435.1261291503906,1153.07763671875,0.2019896217043826,outputs/checkpoints/hybrid_c8_p12_t4.pt
8,4,12,477.2489929199219,1264.6361083984375,0.22155638272944508,outputs/checkpoints/hybrid_c8_p4_t12.pt
8,4,4,479.8783874511719,1283.153564453125,0.22477558736639947,outputs/checkpoints/hybrid_c8_p4_t4.pt
