cause,effect,best_lag,p_value,significant_5pct
traffic_flow,aqi,6,1.935233912904151e-40,True
aqi,traffic_flow,6,7.967593251931168e-22,True
humidity,temperature,6,1.4893045550797007e-10,True
aqi,electricity_demand,6,8.393130152177141e-08,True
electricity_demand,traffic_flow,6,1.8211327157824635e-07,True
electricity_demand,aqi,6,7.878044594955013e-07,True
traffic_flow,electricity_demand,5,1.1425041519441548e-06,True
temperature,humidity,4,4.353734535566468e-06,True
humidity,electricity_demand,2,0.00010554053276050693,True
traffic_flow,humidity,5,0.0009384348961587808,True
aqi,humidity,2,0.0011269104470163916,True
electricity_demand,humidity,2,0.010551596400057189,True
temperature,electricity_demand,2,0.010968619991862952,True
aqi,temperature,5,0.03526695559068333,True
traffic_flow,temperature,2,0.04936298877589384,True
electricity_demand,temperature,2,0.061400513920710935,False
humidity,traffic_flow,4,0.0735110772770726,False
humidity,aqi,4,0.18729645330902017,False
temperature,aqi,1,0.3668280699612059,False
temperature,traffic_flow,1,0.44916447660557657,False
