,traffic_flow,aqi,electricity_demand,temperature,humidity,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,season_sin,season_cos,traffic_flow_lag_1,traffic_flow_lag_2,traffic_flow_lag_3,traffic_flow_lag_6,traffic_flow_lag_12,traffic_flow_lag_24,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,electricity_demand_lag_1,electricity_demand_lag_2,electricity_demand_lag_3,electricity_demand_lag_6,electricity_demand_lag_12,electricity_demand_lag_24,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_6,temperature_lag_12,temperature_lag_24,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_6,humidity_lag_12,humidity_lag_24,traffic_flow_roll_mean_6,traffic_flow_roll_std_6,traffic_flow_roll_min_6,traffic_flow_roll_max_6,traffic_flow_roll_mean_12,traffic_flow_roll_std_12,traffic_flow_roll_min_12,traffic_flow_roll_max_12,traffic_flow_roll_mean_24,traffic_flow_roll_std_24,traffic_flow_roll_min_24,traffic_flow_roll_max_24,aqi_roll_mean_6,aqi_roll_std_6,aqi_roll_min_6,aqi_roll_max_6,aqi_roll_mean_12,aqi_roll_std_12,aqi_roll_min_12,aqi_roll_max_12,aqi_roll_mean_24,aqi_roll_std_24,aqi_roll_min_24,aqi_roll_max_24,electricity_demand_roll_mean_6,electricity_demand_roll_std_6,electricity_demand_roll_min_6,electricity_demand_roll_max_6,electricity_demand_roll_mean_12,electricity_demand_roll_std_12,electricity_demand_roll_min_12,electricity_demand_roll_max_12,electricity_demand_roll_mean_24,electricity_demand_roll_std_24,electricity_demand_roll_min_24,electricity_demand_roll_max_24,temperature_roll_mean_6,temperature_roll_std_6,temperature_roll_min_6,temperature_roll_max_6,temperature_roll_mean_12,temperature_roll_std_12,temperature_roll_min_12,temperature_roll_max_12,temperature_roll_mean_24,temperature_roll_std_24,temperature_roll_min_24,temperature_roll_max_24,humidity_roll_mean_6,humidity_roll_std_6,humidity_roll_min_6,humidity_roll_max_6,humidity_roll_mean_12,humidity_roll_std_12,humidity_roll_min_12,humidity_roll_max_12,humidity_roll_mean_24,humidity_roll_std_24,humidity_roll_min_24,humidity_roll_max_24
traffic_flow,1.0,0.9938274406024623,0.26585890251066485,0.2068048997156082,-0.3649553026297974,0.6968708314687261,0.030755385818793227,,0.05511277590529551,-0.6767092567947718,-0.5946883436827426,-0.014830398495438626,0.02252862253615986,-0.014320180677288356,0.01711396009472787,0.9506749545167151,0.8203798239856469,0.6358222998265511,-0.028659849001958438,-0.7141001085774455,0.9010817227040558,0.945124456928157,0.8166545471203271,0.6328165693468174,-0.04801600536050827,-0.6929479747745194,0.8993648726872182,0.2667534858055882,0.25169181154274706,0.22068469414764136,0.042654175741735106,-0.30558270694018835,0.23259090561924606,0.21175867002571297,0.20383147417631609,0.184498393537873,0.08127163587002584,-0.14607195934928524,0.15490035053494133,-0.3439270864523992,-0.2989300800088538,-0.2338187709700608,0.0335195488910667,0.37951204778312886,-0.3780482866871824,0.7604222275295559,-0.26384938572918315,0.7298642443946176,0.7117758202735102,0.20129601070502887,-0.21103699262700576,0.2845043556756729,0.18952020299139583,0.17716417809864451,0.21703547429484932,0.01793592083097401,0.22029119885159726,0.757270094116651,-0.4108362958967817,0.739002049404859,0.7114449118581262,0.20054073939878247,-0.22900006432100242,0.278037143806404,0.19151738783068006,0.16548597109554264,0.1957093225594182,0.015376344473030303,0.2196319717008645,0.22147606449707188,-0.0010745006973356716,0.21388136541799962,0.20114323369861534,0.04350718420408202,-0.10153831537901342,0.05249312812789928,8.544950127409344e-05,-0.01715104875609059,0.007984268952473245,0.04654698265928336,0.036897333877692715,0.18845504356680495,0.18782854423805645,0.12391769747516952,0.23770284687836213,0.09408522945255382,0.21875272109459334,-0.02596739200646676,0.18212032938059078,0.007436807259090308,-0.21688697446899785,0.1916173972975023,0.04294837863407052,-0.26032777794159223,-0.11019627274745336,-0.20374395254915345,-0.29501627429262106,-0.011944229904824973,-0.005168750043122655,-0.02090003025473693,-0.011552195619786309,0.0303384756668961,0.2413600954408845,-0.20353485203728952,0.03661579144628043
aqi,0.9938274406024623,1.0,0.25196550972233306,0.20486907892377607,-0.35216215126148137,0.6969036836317705,0.042750620096006685,,0.06611927556297181,-0.6641913490621253,-0.5925007350313544,-0.021863027563336763,0.020015291265385544,-0.017704582802272696,0.01875696515872173,0.9444066973479845,0.8129692585383296,0.626768282824691,-0.03589367658857684,-0.6909226391058286,0.8965463169918751,0.9466074437162425,0.810269312136502,0.6214233758838359,-0.05504324531299813,-0.6708016286939724,0.9010099166661439,0.25292060516370835,0.23849225937886914,0.20711525501060837,0.030601633527349785,-0.31480147589114943,0.22278677994584295,0.2112025893179874,0.20457275427109473,0.18708757755439023,0.09062650811482445,-0.13369598440378747,0.15120789114916428,-0.3293496903528074,-0.28362865717483043,-0.2198345258296523,0.037610051279520426,0.3698303892916408,-0.36955735174488835,0.751361320437745,-0.2673578171135414,0.7211272921320874,0.6983521446767721,0.1996670610483478,-0.2259644615951766,0.2943665894375851,0.1852733854281475,0.19432495671472647,0.21435467140690675,0.04305506151464154,0.2205840219017754,0.7511197875394591,-0.4226869092547045,0.7378240647646664,0.6982431756574247,0.20082217259679555,-0.24857681602648377,0.29479597173858096,0.1873796499744527,0.1842618805550602,0.18284714217229583,0.04054879288036952,0.21963683296843634,0.20749208963298976,-0.01212023470759137,0.2019740688315549,0.18661642710751639,0.030173653397480085,-0.11692697977617293,0.04255041163553128,-0.015158401516787138,-0.029097492962628584,0.008567961816543533,0.03428832552894527,0.025344742062724194,0.19074896439195824,0.17642198908128165,0.12860470601444007,0.237851263125364,0.10241952879103136,0.20405279260065304,-0.012946307042137778,0.18553638691667126,0.01751268021438117,-0.22843953303969078,0.20294582547761061,0.042143851082211234,-0.24674275296820314,-0.12387331908802404,-0.18895196347438345,-0.28615382922583416,-0.0055416822339061375,-0.007637480505921844,-0.015599736237534368,-0.011560795327206887,0.03099680535166201,0.23708413572854845,-0.19262165548773377,0.03899751868034187
electricity_demand,0.26585890251066485,0.25196550972233306,1.0,0.14428019215902377,-0.2999544596607762,0.17195196976126348,-0.2898800563340786,,-0.43775037441512754,-0.20945352186134752,-0.24370211501563555,0.5103731268408359,-0.14370646396486036,-0.24979243415984337,0.28301859551760966,0.25110919729248926,0.22437883209098058,0.18424938026303692,0.0018417305645946297,-0.2785950105792792,0.26633873046358775,0.23815883516865868,0.21247556576667992,0.17227747304476412,-0.008150537348212618,-0.2968160732760313,0.25346688609504825,0.983096604608495,0.9537914222548353,0.9180720900869814,0.7619675820433753,0.5626387270538564,0.5110474758320116,0.1553422699526048,0.16070820278371675,0.15919832476486348,0.1210160427464965,-0.01570365107406798,-0.02773149574684714,-0.2871797415803779,-0.26414663948368006,-0.2308499896291115,-0.10277992746361712,0.06568008544257535,-0.04196769475312345,0.21344051647339407,-0.11069537350280208,0.2207581286519096,0.18571502479125393,0.02688695939168564,0.051320938965392214,-0.02433382805590023,0.023360680549530086,0.06299899049428113,0.22088061311646287,-0.46826618458226904,0.04197735294404807,0.20081720179726908,-0.11531142226858364,0.19874353163111322,0.18334402681905512,0.006764346855142432,0.08734154814370113,-0.07443484857807946,0.01839601102360419,-0.007997281392266319,0.43702913699299684,-0.4666814126455492,0.036357379505754975,0.9500331476967223,0.19254865714404454,0.935408430623636,0.9419806318981722,0.8561828866948746,0.3473412836616702,0.8237896959494113,0.8639215088079318,0.7779087262163579,0.5508494272684706,0.6955900037243169,0.8185600580816017,0.15831586936563838,0.03044629545658571,0.1311673763442445,0.17225212717682314,0.1254843155490659,0.02475240689147983,0.06756428067446336,0.14030262134543092,0.06273711965300298,-0.13349125755879615,0.11952502171494739,0.022782417346568544,-0.25465616939079166,-0.10922916955732671,-0.20625932689232007,-0.2957301531541261,-0.1548836429021792,-0.06312722100520063,-0.11440370283848694,-0.1882232807655223,-0.11923313226703008,0.02136322489784899,-0.12543183197518226,-0.09985900860752822
temperature,0.2068048997156082,0.20486907892377607,0.14428019215902377,1.0,-0.43007035806608895,0.10892519635884657,-0.05608450187890579,,-0.06064917095775052,-0.10145797829355195,-0.1704989408039726,-0.003247478723681316,-0.02871901413383383,-0.008355654794654799,0.014873918115119959,0.19189109230532983,0.16398639089163577,0.1258099481972131,-0.021962133512854976,-0.17198926343282442,0.1405328987613947,0.1878347960118781,0.15762868129716218,0.11700174921244971,-0.03607584260050449,-0.1826865576463419,0.15331167267991025,0.12774075715612634,0.10669847938258581,0.08289869621764381,-0.0011212995870099318,-0.07138113975084089,0.15727242418808635,0.9829485671895842,0.9374628042120636,0.867316141649876,0.5465443062670866,-0.20060118362032706,-0.5361944827861059,-0.46769243019688134,-0.4851598156248396,-0.4876964413389228,-0.4395350636404453,-0.34207325153564555,0.13575006363020287,0.15081338408584855,-0.03505675328446648,0.13809741125742986,0.14689453763036697,0.014841665870202277,0.0134711462681059,0.0008208168259439965,0.009189661957432817,0.016356598866007047,0.05006174362849782,-0.058210224995957,-0.05151599909498643,0.143046856866325,-0.06684592731292299,0.13479010105487924,0.13752920806183927,-0.0017192085844456413,0.02037890213466636,-0.01852030991235302,-0.012581987765849203,-0.015640331578381902,0.0672270864848388,-0.05821885796217784,-0.06929012228012679,0.09278527461884423,-0.0041804932388430785,0.09284463275992866,0.08775303733950521,0.02427523331167073,0.04450507349966309,0.013577471047672807,0.038148775439033666,0.033746383837745225,0.142441579478209,0.009613130242254443,0.10283087582857661,0.9102319202397354,-0.2764251519660173,0.8811596551142904,0.9045127674991298,0.645242582879564,-0.20770395888075466,0.5874530154043227,0.6723269884258508,0.023689261841636028,0.028689685316215394,0.09671849974470181,0.264843409066426,-0.5040846497904137,0.30104173511646604,-0.540599339012572,-0.43685097817745444,-0.5485052700773525,0.5192276028548966,-0.6818471388836348,-0.32574681595280347,-0.5001215298012486,0.5340646974763412,-0.5853200848286977,-0.12004888091978635
humidity,-0.3649553026297974,-0.35216215126148137,-0.2999544596607762,-0.43007035806608895,1.0,-0.31931689776750105,0.09677803715027357,,0.29546869253314173,0.35907875608667855,0.27464654631787483,-0.2190846221636006,0.22418737184165255,-0.07889342457106979,0.06700050721885224,-0.36082700237369186,-0.32844989107507844,-0.2708577282227259,0.0032832967323906605,0.4233392259756105,-0.43261463498940184,-0.3487471059021059,-0.31620574682485153,-0.2590848095116337,0.00964846691126203,0.4157411373618536,-0.4330849558515657,-0.302929052138947,-0.295907593994264,-0.27974637837914057,-0.1865904313409145,-0.06367479346421503,-0.3799800499066397,-0.3700785951429166,-0.2902026498290981,-0.19615504708064055,0.13175089590347813,0.5550100842825095,0.04572714355736763,0.966408618994094,0.8892912548616201,0.7810920639592044,0.354279124187313,-0.14920221602857642,-0.015623334168918921,-0.3062569608400147,0.21031141868042189,-0.32630835608876846,-0.22969196034302236,-0.03115542804559127,0.1323265226192772,-0.06619189433984535,0.13340831540478887,0.05277901090744888,0.028235006637126407,0.012132932700721332,0.09419545042787278,-0.2950490838307983,0.26391702521187627,-0.3228496994824235,-0.21916733484189296,-0.024783432979658696,0.1286177685210722,-0.07372140567505148,0.14992270609769975,0.06781659989897815,-0.008108361785852038,0.012134327070028338,0.10568538374791837,-0.2828003477803464,-0.1459246929770122,-0.2574546589457,-0.2891197134425998,-0.21140529049519033,-0.06016120713730209,-0.19403687764976962,-0.19952184106667495,-0.23446397049833748,-0.04315301165380156,-0.2734697975454711,-0.2531447393476378,-0.23565432439255615,-0.3865956947349939,-0.12363051894097472,-0.3346613412310128,0.07517506571883349,-0.4003938096560925,0.22441703983618055,-0.10352984296565812,0.4359588944867415,-0.22267748725847608,0.28573176237978154,0.1890101024387846,0.8582917312613776,-0.12231837419933987,0.8127156739791116,0.848309851942103,0.5596386255107091,-0.1191707178331187,0.5332570475303573,0.5666573253568267,0.2683515429437158,-0.007074251933726336,0.30548441860235553,0.4344622578452313
hour,0.6968708314687261,0.6969036836317705,0.17195196976126348,0.10892519635884657,-0.31931689776750105,1.0,7.357398364061981e-19,,-3.5855844357886705e-17,-0.7759122353393892,-0.10215078369105016,2.7619627693496254e-17,4.354518509205388e-17,-2.552801073239887e-16,-1.9473794621410349e-16,0.7551880404220905,0.751746002224289,0.6903059996393485,0.3096020792381767,-0.44528501854629315,0.6805690095788852,0.7452392492082279,0.7361295747768143,0.6731057234490597,0.30188244391750024,-0.4312461461782192,0.6827137149013739,0.20731356463770823,0.2333487212515731,0.24755195029802277,0.18453939059574717,-0.20554123601303392,0.18289099866301614,0.13167951690977314,0.15030806737324962,0.15788777276928392,0.13394681118956006,-0.06601757275520101,0.08642963590818588,-0.3464190124728476,-0.3548077094904791,-0.3402556584113541,-0.1940992831198747,0.2813685181217134,-0.2669112953428622,0.743263755928207,-0.5095338826721733,0.7864768213713483,0.5609165961880938,0.496877522993471,-0.5923975276252562,0.6620218254563286,0.15517450454481102,0.0633472831281573,0.07644358325081967,0.010143797389537041,0.05416458560775425,0.7344101126690181,-0.6192494632080119,0.7795442016011902,0.5605828679694693,0.49602276502042003,-0.6025167820337639,0.6387192115877601,0.15859093721696996,0.05722821376408114,0.07775930040747131,0.01044879873220323,0.05219987883628388,0.22712718950559643,-0.012597401017835887,0.2215581954245168,0.2063553322449976,0.13021341626614974,-0.08822506489912141,0.12075017921442802,0.06140558956919244,0.0034982980410760392,-0.011936544181299927,0.04055244353447994,0.020893243667613408,0.14930889506222522,0.15941591746964814,0.09787648838224824,0.19285168428204938,0.11845375267230462,0.2313770640163146,-0.026448321593543312,0.20452390212913027,0.012335829397659369,-0.01498708255794902,0.04170643034741174,0.10894709033622474,-0.3463385323131308,-0.09820793406552801,-0.287417864408216,-0.38338902262222446,-0.18980360011206593,-0.1306818380182366,-0.08108612264226775,-0.24057428080038262,0.0013898926374618914,0.16467345089970506,-0.17251402074174657,0.010682369313509943
day_of_week,0.030755385818793227,0.042750620096006685,-0.2898800563340786,-0.05608450187890579,0.09677803715027357,7.357398364061981e-19,1.0,,0.7450744604813881,-6.918817362696657e-17,-2.016679693986289e-17,-0.6892975771630052,-0.45454681500459304,-0.16795135510459133,0.14647270759574804,0.029336275349888825,0.02946291657990319,0.031075275380144835,0.02790143241158197,0.00102040907845025,0.034935221516893655,0.04144055669439429,0.04155927575856202,0.043092033325801644,0.040298459490587815,0.01569834616539483,0.02955961510396575,-0.28050970155153354,-0.268946364737308,-0.25615951300205103,-0.2209161348456897,-0.16041501117498758,-0.10101731478897492,-0.046515008630928265,-0.03424824137399822,-0.022251026351879685,0.010881166176602728,0.03699327155349816,0.03718859567101344,0.09202017601882508,0.08446530788684706,0.0770463703498969,0.05468927397683525,0.027205652173026677,-0.07300675874343697,0.03448355050475382,-0.008607215315585717,0.031986593106948485,0.034652648612946556,0.0376485839733777,-0.007888647038977622,0.041983935750521624,0.050247401710181175,0.1589710169471913,-0.09013930009308374,0.45956091799273996,-0.02294856107907713,0.04847911537187345,-0.05707583428179963,0.06207182927952791,0.035644863534680125,0.058583905210087224,-0.06330388380958699,0.10792857931632839,0.053512367533721225,0.207763275146067,-0.27716722218395995,0.45217550368323367,-0.01526771125587037,-0.2693388282127331,-0.18356695533643724,-0.243113761089081,-0.2896922202739826,-0.2456129821756262,-0.21374981667127568,-0.1982635900821988,-0.2745193796122025,-0.21076045858376063,-0.1988216294990587,-0.13896522412453277,-0.2182858440431461,-0.029296727685068556,-0.08324284962446143,-0.008567934850863082,-0.04897833688050022,-0.0015706489630402229,-0.05297151691314256,0.024873802345340083,-0.018369258779699894,0.035722666674588344,-0.05687381389593887,0.08324500827848547,0.11191811231551872,0.08663548744313496,-0.003929737587997232,0.07980667967859757,0.0892652917841676,0.07845589270253168,0.07809456032809325,0.02643559958142742,0.11744795790889266,0.0331254329793467,0.13939961707610882,-0.019292028786839967,0.08990282646657215
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_weekend,0.05511277590529551,0.06611927556297181,-0.43775037441512754,-0.06064917095775052,0.29546869253314173,-3.5855844357886705e-17,0.7450744604813881,,1.0,-4.609711523175178e-18,8.338441910040351e-19,-0.7376752516946032,0.15730899805779514,-0.017396419251641808,-0.011584656861332738,0.054006901546118244,0.05463988489314387,0.05625651489989296,0.04881981590905485,0.013277877848438624,0.02969456929650646,0.06514644620460419,0.06580304831941747,0.067413415579823,0.060814156316181485,0.02829416462594973,0.02708542972704864,-0.4405321213821106,-0.44112157013758163,-0.4368814923724869,-0.421079800835791,-0.3985143483691086,-0.3850641558241885,-0.05767015783798826,-0.053357848502961436,-0.050184886423555786,-0.04488488732722635,-0.0346220318084146,0.029480311605416514,0.2909108374559999,0.28423558843281743,0.27821954375083874,0.26039354550595506,0.23362123452256803,0.10648668525940981,0.06214291303697248,0.016511849577167448,0.04371593266962584,0.07932075069293405,0.07076738131856244,0.044452597440557844,0.03870457638221655,0.1884175218087137,0.20428301236815716,0.09419890978784427,0.4818311377917803,0.23239383673118216,0.0753502539249482,-0.03889363220809522,0.07447901084574508,0.08057010305529051,0.09134561222466936,-0.021784638085474754,0.11013880016198994,0.1917803326259857,0.25623705868473184,-0.1269990494085589,0.4868716027216983,0.24320450092011892,-0.44790500964171803,-0.21569667271655993,-0.421254250063759,-0.46801298327479546,-0.45465827083998217,-0.21604780731953635,-0.43329514157220045,-0.4733798148765501,-0.4789479762246721,-0.22751600100750924,-0.4645310067657266,-0.48122338681395815,-0.05507450719150604,-0.06284883794091525,-0.03735600195810497,-0.07333219821714787,-0.055877851152917754,-0.05111787560419737,-0.019061415100050626,-0.08080557605193923,-0.04766530973141678,-0.061381448335539636,0.037945656454637856,-0.007362738592826521,0.30303243223286086,-0.04674942492597795,0.29404814126957757,0.30727931599906094,0.3357185971824038,0.0018989971470662345,0.27652130597226715,0.3866238864467209,0.4093318430558092,0.0966944377422916,0.2533922908696132,0.4728689252735533
hour_sin,-0.6767092567947718,-0.6641913490621253,-0.20945352186134752,-0.10145797829355195,0.35907875608667855,-0.7759122353393892,-6.918817362696657e-17,,-4.609711523175178e-18,1.0,-2.7755909650711376e-17,8.855456081825733e-18,-1.3537349135805688e-18,2.837755700920893e-16,6.021362164979875e-17,-0.8065473085135675,-0.8827333990814763,-0.9006537946535442,-0.6099560392216155,0.6583007468296767,-0.6768903944652503,-0.7941465078401593,-0.871176606866375,-0.8905276515912062,-0.6067555959400429,0.6476247389789461,-0.6660359187969946,-0.26539175565166306,-0.3030343055589421,-0.31999401328158233,-0.24134368151547694,0.21022950834562396,-0.2165134271307738,-0.14166384232722856,-0.17292318373689844,-0.19340001630396383,-0.18121501287710642,0.07414073633871682,-0.07356244644965909,0.41660529915007316,0.44674637854344773,0.44818734783700925,0.2874159662498374,-0.33504797650393886,0.3083008340100276,-0.9239341112100098,0.5327903182801778,-0.9429698833988582,-0.7528500935615909,-0.7099055486143138,0.4956927700116413,-0.6288501296995974,-0.303659114011654,-0.05173556004620883,-0.07441147849100682,-0.010296825643670841,-0.07147575124396151,-0.9180459501652173,0.6860145451104529,-0.9454135508630431,-0.7527922571656074,-0.7130328840181602,0.5539155019530414,-0.6618759430721121,-0.3081711081453813,-0.047468333190727435,-0.07342791155678428,-0.01052431375580982,-0.06804783845704956,-0.29133310987862937,-0.019735069506393824,-0.27836580744487444,-0.26905177985252077,-0.18341046866993554,0.00024241344169321211,-0.14506029576952426,-0.1185140306753918,-0.0031010482739648646,0.026496724018364688,-0.050205688253964376,-0.03164931211617907,-0.17579100267828157,-0.1409348071437197,-0.1221667510948461,-0.2134420835617484,-0.1501293440372069,-0.292203803077865,0.042276781615374084,-0.25001995563281987,-0.009460931709421146,-0.05617912857020008,0.0018555843524787738,-0.1427216102174865,0.4408260585387305,0.14056659905857988,0.35759540456699407,0.4901163494172431,0.2720551995236492,0.14308546313416423,0.12129443571004878,0.30258730347909474,0.0008035788896315155,-0.19636111593296413,0.20796756053673132,-0.007718790969575689
