model,target,MAE,MAPE,RMSE,NRMSE,UPS
BiLSTM,traffic_flow,2185406.0,48.00583690506497,2250185.25,4.201829356877515,19.224006236918672
TFT,traffic_flow,478166.71875,10.475910099726175,588974.6875,1.2310171898720104,44.822603991561735
Hybrid,traffic_flow,295349.09500000015,6.46437233221454,489461.8485329204,1.023025284693368,49.430919502895435
Informer,traffic_flow,1543969.0,33.46087914633951,1628840.0,3.0415752345974054,24.74282778258397
PatchTST,traffic_flow,1931359.875,43.58673695325762,2025651.625,3.2318335070428406,23.630419257651493
LSTM,traffic_flow,504477.4375,11.635980842452929,562691.6875,1.1760830382215524,45.95412869985284
GRU,traffic_flow,694673.375,15.191303302843528,755766.375,1.5796288344772982,38.76526679477231
BiLSTM,aqi,167.48660278320312,72.55528494184502,168.6667022705078,8.485363502660249,10.542558540002624
TFT,aqi,93.99398040771484,40.068328779276484,96.32894897460938,5.396196567259967,15.634291246123864
Hybrid,aqi,15.197579500000002,6.416089896673119,23.785061738173592,1.3324018155086426,42.874259201428515
Informer,aqi,55.71309280395508,23.475969276933945,59.75529479980469,3.006197374818929,24.961326326194744
PatchTST,aqi,71.68475341796875,31.29113184278131,74.88824462890625,3.2261851307846325,23.662001759358336
LSTM,aqi,18.024181365966797,7.996408476089108,20.555173873901367,1.151468586323046,46.479879202375145
GRU,aqi,27.12473487854004,11.643213354488037,28.461015701293945,1.5943414400642502,38.545427543077544
BiLSTM,temperature,1.1052072048187256,3.6822716648783524,1.1945685148239136,2.6410979781398747,27.464243093806264
TFT,temperature,0.7386030554771423,2.448865929768767,0.7996535301208496,1.752806857833466,36.32655873238514
Hybrid,temperature,0.14906596428571461,0.49435450774971745,0.16627858733155232,0.36447572247937066,73.28822224721692
Informer,temperature,0.5206134915351868,1.7323513269567261,0.6081703305244446,1.3446172491408237,42.65088471759927
PatchTST,temperature,1.2112785577774048,4.113981916018759,1.2492165565490723,3.8922062138527367,20.440675562048206
LSTM,temperature,0.42554977536201477,1.422578563621389,0.46215537190437317,1.0130251099324699,49.676479198689506
GRU,temperature,0.5803097486495972,1.960685426668315,0.7622416615486145,1.6708016176541751,37.4419422764287
BiLSTM,electricity_demand,583.272216796875,9.368382291474806,608.5299682617188,3.5141315970960134,22.152655023245448
TFT,electricity_demand,452.1325988769531,7.188484749398421,477.27117919921875,2.766486849444973,26.54994003622658
Hybrid,electricity_demand,83.80808071428568,1.3657820780278365,100.78714049216792,0.5842093784573197,63.122969324533706
Informer,electricity_demand,406.22613525390625,6.505980532825961,437.4066162109375,2.52593050626,28.36130769521924
PatchTST,electricity_demand,153.14208984375,2.5100498986754203,178.1918487548828,2.052445990303081,32.760612413021235
LSTM,electricity_demand,285.83306884765625,4.511179967840474,332.87640380859375,1.9295072356393328,34.13543369459406
GRU,electricity_demand,311.65277099609375,4.9252034625536725,355.6435852050781,2.061476461264858,32.6639780724248
