trial,closeness_len,period_len,trend_len,bilstm_hidden_dim,tft_hidden_dim,tft_heads,tft_layers,tft_ff_dim,dense_hidden_dim,dropout,batch_size,learning_rate,val_MAE,val_MAPE,val_RMSE,val_NRMSE,val_UPS,checkpoint_path
9,8,12,4,24,48,2,2,144,160,0.05,96,0.0003,58306.4921875,5.523790627563791,132558.375,0.07610865860329277,92.92741880712343,outputs/delhi/checkpoints/project_best_hybrid_trial_9.pt
4,4,8,4,16,32,2,1,96,128,0.05,64,0.0007,59439.8671875,5.0078081830053325,155493.875,0.0892771222284377,91.8040028192463,outputs/delhi/checkpoints/project_best_hybrid_trial_4.pt
7,4,8,4,16,48,4,1,144,96,0.1,64,0.0005,91182.578125,7.212028542389243,207920.609375,0.11937803760426657,89.33532429671715,outputs/delhi/checkpoints/project_best_hybrid_trial_7.pt
10,4,8,4,24,32,2,1,128,128,0.05,64,0.0005,84705.84375,7.249964299354549,237770.015625,0.13651613446002722,87.9881921320116,outputs/delhi/checkpoints/project_best_hybrid_trial_10.pt
12,8,8,4,24,48,4,1,144,128,0.1,64,0.0003,118282.3125,9.481879901216251,251731.875,0.14453236420514184,87.37192859500158,outputs/delhi/checkpoints/project_best_hybrid_trial_12.pt
1,4,8,4,24,32,4,1,128,128,0.1,64,0.0005,130717.1796875,8.641746581476218,283343.125,0.16268202720661828,86.00803801900446,outputs/delhi/checkpoints/project_best_hybrid_trial_1.pt
6,6,8,4,16,32,2,1,128,128,0.05,64,0.0005,123809.8984375,10.673364101544465,289273.21875,0.16608680250432595,85.75690916425496,outputs/delhi/checkpoints/project_best_hybrid_trial_6.pt
2,4,8,4,24,48,2,1,96,128,0.05,96,0.0005,99260.7421875,7.6657975712175865,292785.625,0.1681034576432964,85.60885540203321,outputs/delhi/checkpoints/project_best_hybrid_trial_2.pt
13,8,12,4,24,48,4,1,144,128,0.05,64,0.0003,129210.0,11.283907535726206,301616.5,0.17317372235153045,85.23886794835313,outputs/delhi/checkpoints/project_best_hybrid_trial_13.pt
5,4,8,4,16,32,2,1,96,96,0.1,64,0.0005,131648.625,7.937132769182674,308440.78125,0.1770918972074692,84.95513412099756,outputs/delhi/checkpoints/project_best_hybrid_trial_5.pt
8,4,8,4,16,32,2,2,128,96,0.1,64,0.0005,124370.3515625,11.37333272218963,313948.8125,0.1802543444687797,84.72750002458916,outputs/delhi/checkpoints/project_best_hybrid_trial_8.pt
11,4,8,4,24,48,4,2,192,128,0.1,96,0.0003,154878.53125,14.45856155375475,363594.59375,0.2087585699939493,82.72950652213416,outputs/delhi/checkpoints/project_best_hybrid_trial_11.pt
3,6,8,4,24,48,2,1,128,128,0.05,96,0.0003,191840.921875,17.050117175887358,424005.9375,0.24344386496105275,80.42180497077142,outputs/delhi/checkpoints/project_best_hybrid_trial_3.pt
