feature,importance
aqi_roll_mean_6,108.4560741051659
traffic_flow_roll_mean_6,55.39765135857037
aqi_roll_std_12,52.26595231207936
traffic_flow_roll_std_12,47.21688483111991
traffic_flow_roll_max_6,42.650658416445644
traffic_flow_roll_std_24,42.31344138596164
traffic_flow_roll_mean_12,41.53325887777916
aqi_roll_std_24,41.31898082936644
aqi_roll_min_12,41.25198097100904
traffic_flow_roll_min_12,39.34559325675341
aqi_roll_mean_12,36.31392072751105
aqi_roll_max_6,30.718034695635232
hour_cos,28.715606129305275
traffic_flow_roll_mean_24,27.42055752428335
traffic_flow_roll_max_12,19.583101010351264
aqi_roll_max_12,18.56446975313285
traffic_flow_roll_min_24,17.775204485183767
season_cos,17.396698998251228
aqi_roll_min_24,17.094885918035654
traffic_flow_roll_max_24,16.391683394459296
aqi_roll_max_24,15.791141918408472
season_sin,14.947402012986144
traffic_flow_lag_6,14.19025805871707
electricity_demand_roll_min_24,14.178793321835892
aqi_lag_2,13.220082844767873
traffic_flow_lag_12,13.135929082344537
traffic_flow_lag_3,12.803506755164095
electricity_demand_roll_mean_12,12.243078416902637
electricity_demand_roll_mean_24,9.988751489668374
aqi_roll_mean_24,9.850319941639208
humidity_lag_12,9.80198611102091
aqi_lag_12,9.406310735837346
electricity_demand_roll_max_12,9.031892040950845
hour_sin,8.964368540762965
traffic_flow_lag_1,8.80635653336742
traffic_flow_roll_min_6,8.77394945811075
electricity_demand_lag_6,7.8873687635682
electricity_demand_roll_min_6,6.375016669512402
aqi_lag_6,6.244563291180257
temperature_roll_min_24,5.89056737433094
temperature_roll_std_24,5.889725673025227
humidity_lag_24,5.840441428417889
temperature_roll_max_24,4.950748018625351
traffic_flow_lag_2,4.9176064442243534
electricity_demand_roll_min_12,4.639012456061902
electricity_demand_roll_std_12,4.487479212657186
humidity_roll_mean_12,4.048057368315866
humidity_roll_std_6,4.025039309672623
aqi,3.978281745209935
aqi_lag_3,3.7969349764221225
temperature_lag_24,3.7853254709249136
temperature_roll_mean_12,3.6648237017832606
electricity_demand_roll_max_6,3.6097482159823575
humidity_roll_min_6,3.2437178394224078
electricity_demand_lag_12,3.1717404689640474
humidity_roll_min_12,3.1529468709263306
electricity_demand_roll_mean_6,3.135724808089419
temperature_lag_12,3.0118448574104715
temperature_roll_min_6,2.97718674317132
dow_cos,2.9663070807601044
hour,2.74351937882401
aqi_lag_1,2.478064840091475
temperature_roll_std_6,2.366932262566207
aqi_roll_min_6,2.2756212906513764
humidity_roll_mean_6,2.146636980334468
humidity_roll_std_12,2.1174767500395997
humidity_roll_max_6,2.0715016570795184
day_of_week,1.9145961965965967
electricity_demand_lag_24,1.8593088039908265
electricity_demand_roll_std_6,1.647814254599104
temperature_roll_max_6,1.5049906381696856
electricity_demand_roll_std_24,1.4919716269269163
temperature_lag_2,1.4788742740474246
electricity_demand_roll_max_24,1.4713698745327173
temperature,1.4591983075758026
traffic_flow_roll_std_6,1.1290712853950686
humidity_roll_min_24,1.1074471490190467
traffic_flow_lag_24,1.0472390699810654
temperature_roll_mean_6,0.9911770050695674
humidity_roll_max_12,0.989256700137382
humidity_lag_2,0.9863907389166519
humidity_lag_3,0.8705032591924294
temperature_roll_mean_24,0.8114957920664962
aqi_lag_24,0.7133226591809382
is_weekend,0.7111058574534884
dow_sin,0.5560408191784911
temperature_lag_1,0.5177174993970872
humidity_roll_max_24,0.49660035490816234
humidity_lag_6,0.3549550488521339
electricity_demand_lag_2,0.31640900120487947
aqi_roll_std_6,0.2941679946966162
electricity_demand_lag_1,0.2559554256494236
traffic_flow,0.25352682463944637
electricity_demand,0.2406505528318289
humidity_roll_std_24,0.20037457333525485
electricity_demand_lag_3,0.19764887327740893
temperature_lag_3,0.19471659056004031
humidity_lag_1,0.15728849121956223
temperature_roll_max_12,0.08148235532260764
humidity_roll_mean_24,0.07149377771085903
temperature_roll_min_12,0.06400555857083251
temperature_lag_6,0.04970826733131784
humidity,0.04930348157361026
temperature_roll_std_12,0.007771676231036833
month,0.0
