feature,importance
season_cos,201.040318315004
electricity_demand_lag_6,186.77504111509958
electricity_demand_roll_mean_6,157.52451827983145
electricity_demand_roll_mean_24,153.30509875977717
aqi_roll_min_12,98.38893315624829
electricity_demand_lag_12,81.65844690268987
season_sin,79.9048604929722
traffic_flow_roll_min_12,70.11038554072266
electricity_demand_roll_mean_12,62.975749310927085
electricity_demand_roll_max_6,62.63777948903444
electricity_demand_lag_3,61.39081838344977
temperature_lag_24,58.81269649947817
electricity_demand_roll_min_24,57.59009414530141
hour_cos,57.1959798714253
temperature_roll_mean_24,52.32255583883514
traffic_flow_roll_std_12,51.86252275939048
temperature_lag_12,44.472543642755035
traffic_flow_roll_mean_24,44.418556188474135
humidity_lag_12,41.76951473573187
temperature_roll_std_24,36.667760695736575
traffic_flow_roll_mean_12,36.45939426625434
electricity_demand_roll_std_12,35.91446554606894
aqi_roll_mean_12,31.99934345090332
dow_sin,30.19399408201318
electricity_demand,29.651018800927826
traffic_flow_roll_max_24,29.55671448311709
traffic_flow_roll_min_6,29.282682021073764
traffic_flow_roll_max_6,27.32631131863007
temperature_roll_max_24,27.14839003130509
humidity_roll_mean_24,26.342499333687
traffic_flow_lag_6,25.807396560352775
traffic_flow_roll_mean_6,25.56833972320764
electricity_demand_lag_2,25.194216479373985
traffic_flow_roll_std_24,24.989224581291996
aqi_roll_std_24,24.55658889751709
temperature_roll_min_24,22.077367126818082
aqi_roll_std_12,21.95316820206946
aqi_lag_2,20.1992635375564
traffic_flow_lag_3,18.081666083137733
hour_sin,17.873417824663534
aqi_lag_1,17.648521688025884
temperature_lag_1,17.60565132176956
humidity_lag_24,16.989338254370896
aqi_roll_mean_24,16.32040015119806
aqi_roll_min_6,16.221198921843776
aqi_roll_min_24,16.16937032940476
electricity_demand_lag_1,15.634784146547453
temperature,15.595795946977592
traffic_flow_roll_min_24,13.840550207511681
electricity_demand_roll_max_24,12.337952808221164
humidity_roll_min_12,12.260691612613256
aqi_lag_3,11.691278468943429
humidity_roll_mean_6,11.595079274348185
traffic_flow_lag_2,10.913750699911855
humidity_lag_2,10.49616063566509
aqi_roll_mean_6,10.351521339576474
electricity_demand_roll_max_12,10.081255626873304
aqi_roll_max_12,9.779380464470133
aqi_roll_max_24,9.75566196463511
dow_cos,9.695623301101442
electricity_demand_lag_24,9.559468634779053
aqi_lag_6,9.15760231536815
traffic_flow_lag_12,9.016222474623126
humidity_lag_3,8.571870608950887
temperature_roll_mean_6,8.555488200510432
temperature_roll_min_12,8.261499386450298
electricity_demand_roll_std_6,7.465810122786264
electricity_demand_roll_min_6,7.45330629759582
humidity_roll_max_24,7.276645408819746
electricity_demand_roll_std_24,7.256810764293618
day_of_week,7.225479666910603
humidity_roll_std_24,7.141799161417624
humidity_roll_min_6,6.830603580744808
traffic_flow_roll_max_12,6.182544930921892
temperature_lag_3,5.91088512846483
temperature_roll_mean_12,5.381378864219109
hour,4.6557851896013
humidity_lag_6,4.535124957005669
aqi_lag_24,4.528244711104425
traffic_flow_lag_24,3.9481814476600565
traffic_flow_lag_1,3.5607024786812578
temperature_roll_min_6,3.5205726262091814
aqi_lag_12,3.3660884679798313
is_weekend,3.112361348619852
temperature_lag_6,2.972259647089632
humidity_roll_mean_12,2.96703491745491
traffic_flow_roll_std_6,2.9653137195692096
electricity_demand_roll_min_12,2.9470567636253127
humidity_lag_1,2.642188116680395
humidity_roll_max_6,2.3828883194809096
temperature_lag_2,2.2982380635557558
humidity_roll_std_6,2.243611344533734
aqi,2.238559209941411
humidity_roll_std_12,2.0530071089171593
temperature_roll_max_6,1.5695382293126072
humidity,1.527825245931471
temperature_roll_std_6,1.0675820275341636
aqi_roll_max_6,1.0175265644932197
humidity_roll_min_24,0.9351898784187527
traffic_flow,0.8390043681341011
humidity_roll_max_12,0.8052430075348724
temperature_roll_max_12,0.5462033678624286
aqi_roll_std_6,0.48375230237789074
temperature_roll_std_12,0.3980701789218698
month,0.0
