feature,importance
temperature,0.9315400100700983
season_cos,0.9068056185385917
season_sin,0.750895291033235
traffic_flow_roll_mean_24,0.4460071493302278
aqi_roll_mean_24,0.4299472849605535
temperature_lag_6,0.3458519009659717
traffic_flow_roll_max_12,0.22429502475087446
aqi_roll_max_12,0.22416992648599768
temperature_roll_mean_12,0.21468926018460063
aqi_roll_max_6,0.18903490630404804
traffic_flow_roll_max_6,0.18254751587239051
traffic_flow_roll_std_24,0.17701676270527933
traffic_flow_roll_mean_12,0.16506677504214626
temperature_roll_mean_6,0.15448707683530832
aqi_lag_3,0.14032915761892398
temperature_lag_12,0.13991027350126117
temperature_lag_1,0.1385655561415037
aqi_roll_std_24,0.138236137961539
electricity_demand_roll_mean_24,0.13319093056237957
humidity_lag_24,0.1285051773065462
temperature_roll_mean_24,0.10508649090211715
electricity_demand_roll_mean_12,0.09506197059128103
electricity_demand_roll_max_24,0.08981047327116352
aqi_roll_mean_12,0.0852254505403171
aqi_roll_max_24,0.08231908442343423
traffic_flow_roll_min_12,0.0809933896261731
aqi_lag_6,0.07550478950593631
electricity_demand_roll_max_6,0.06725241588679043
traffic_flow_roll_max_24,0.06548742355094724
temperature_roll_min_6,0.05322491962986992
humidity_roll_mean_12,0.05203851419103788
traffic_flow_lag_12,0.05136902962970563
traffic_flow_lag_3,0.05128480219241526
temperature_lag_2,0.0494719398311944
humidity_roll_min_12,0.04767681374856071
traffic_flow_roll_std_12,0.04584691981807262
electricity_demand_lag_6,0.04552524908776169
temperature_roll_max_24,0.04488153605517726
aqi_roll_min_6,0.04310475209175203
electricity_demand_roll_min_6,0.04137998293196632
aqi_roll_min_24,0.0412461789906761
aqi_lag_2,0.03925719746120698
temperature_lag_24,0.03830536346677193
hour_sin,0.03786361743762557
humidity_roll_min_24,0.0377239235873097
electricity_demand_lag_24,0.037405322503659334
hour_cos,0.03605512088828698
traffic_flow_lag_1,0.035814031737182846
traffic_flow_roll_min_24,0.034598679847775225
traffic_flow_lag_6,0.03396289057896102
electricity_demand_lag_12,0.031034810240948396
humidity_roll_std_6,0.030416229493609788
aqi_lag_24,0.030141586982913755
aqi_lag_1,0.029676398432221546
humidity_lag_12,0.028937457841698825
electricity_demand_roll_mean_6,0.02893480378999076
hour,0.02649855280780347
day_of_week,0.025310916988525306
temperature_roll_std_6,0.022401089447784323
electricity_demand_roll_std_24,0.022373735636808213
aqi_roll_mean_6,0.022123725542731072
traffic_flow_lag_24,0.022053513029960135
electricity_demand_roll_min_24,0.02111307901457331
temperature_roll_std_24,0.020690114350492242
temperature_roll_min_24,0.020443209042449343
aqi_roll_min_12,0.019665116333707145
electricity_demand_lag_3,0.018427177418831583
is_weekend,0.018101330446735335
traffic_flow_roll_mean_6,0.018071289170378427
aqi_lag_12,0.017784287774776333
humidity_roll_min_6,0.01697606627240876
humidity_lag_1,0.01676431723091992
traffic_flow_roll_min_6,0.01655671381527251
temperature_lag_3,0.015445576503764031
dow_sin,0.014843848365900096
humidity_roll_mean_6,0.01299044566039114
electricity_demand_roll_std_6,0.011259721487871311
humidity_lag_6,0.011089985212187094
humidity_roll_max_6,0.010155658901248909
humidity_roll_max_24,0.009953673137640714
electricity_demand_roll_max_12,0.009258302412187098
electricity_demand_roll_std_12,0.008984938260946896
dow_cos,0.008617503933614684
humidity_roll_std_24,0.008449527104128277
humidity_roll_std_12,0.00796998571089701
humidity_roll_max_12,0.007827803753004339
electricity_demand_lag_1,0.007127045324305957
temperature_roll_std_12,0.007012350795414286
traffic_flow_roll_std_6,0.006390672266786918
humidity_lag_3,0.0058444962070055
electricity_demand_lag_2,0.0050492194639297225
electricity_demand,0.005023997020395238
aqi,0.002734471044330276
traffic_flow_lag_2,0.002459913356730859
temperature_roll_max_6,0.0023969644924491714
humidity_roll_mean_24,0.0022072172186183483
temperature_roll_max_12,0.0018656253848666764
humidity_lag_2,0.001860850259710511
temperature_roll_min_12,0.0012463396495753067
aqi_roll_std_12,0.0007960589579709942
electricity_demand_roll_min_12,0.000695787466324646
aqi_roll_std_6,0.0005953349731557774
traffic_flow,0.0005557068959732284
humidity,0.0004285396723120181
month,0.0
