feature,importance
aqi_roll_mean_6,2644817.3597539263
traffic_flow_roll_max_6,1593834.1425895358
aqi_roll_std_12,1278019.8744064758
traffic_flow_roll_mean_6,1256212.6863714266
aqi_roll_min_12,1156524.211387226
traffic_flow_roll_std_12,1103758.6629255656
traffic_flow_roll_min_12,1030306.5611261228
aqi_roll_max_6,1025396.3515782683
season_cos,698501.293273395
hour_cos,663931.9133266311
aqi_roll_std_24,489190.3165488354
season_sin,481425.7376582809
traffic_flow_roll_std_24,450088.70114296494
aqi_roll_mean_12,425304.27930506703
traffic_flow_lag_1,424485.6435445435
traffic_flow_roll_max_24,407951.52706124657
aqi_lag_2,401286.8162254996
aqi_roll_max_24,373026.53468904574
traffic_flow_roll_max_12,365465.9869685047
traffic_flow_lag_6,358516.8037119878
aqi_roll_max_12,340758.1333999331
traffic_flow_roll_mean_12,229710.14276721087
traffic_flow_lag_3,229186.45025198386
traffic_flow_roll_min_24,219119.3377764299
aqi_roll_min_24,210281.22628736295
humidity_lag_12,196163.16985814925
aqi_roll_mean_24,196066.20766577532
electricity_demand_roll_min_24,192372.54855862528
hour_sin,192060.26240228757
electricity_demand_roll_mean_12,189663.71453566322
aqi_lag_1,185440.67280745733
traffic_flow_lag_12,183035.7193076053
aqi_lag_12,181518.73691289042
electricity_demand_roll_max_12,180462.8092924808
traffic_flow_lag_2,173982.52009504905
electricity_demand_lag_6,151290.29760072927
electricity_demand_roll_min_12,151253.7111742892
humidity_roll_min_12,150254.39484535484
aqi_roll_min_6,146817.29256335009
electricity_demand_roll_std_12,145493.41634752043
electricity_demand_roll_mean_6,145103.41718370476
electricity_demand_roll_min_6,142604.83946145567
temperature_roll_std_24,135919.0504725544
aqi_lag_6,130990.8747479632
humidity_lag_24,123091.42060367076
electricity_demand_lag_12,101802.82315736802
temperature_roll_max_24,95776.72776381057
electricity_demand_roll_max_24,87081.67345955096
temperature_lag_12,83975.85016306004
humidity_roll_std_6,80909.94494284318
electricity_demand_lag_24,78973.87776992004
temperature_lag_2,77908.68890810554
humidity_roll_std_12,75565.81581166665
traffic_flow_roll_std_6,70836.65058504955
temperature_roll_min_6,69532.09223737157
temperature_lag_24,66719.0198273717
humidity_roll_min_6,66145.97945400182
dow_cos,62399.406543755744
temperature_roll_min_24,57599.833732913175
humidity_roll_max_12,52993.752977418466
humidity_roll_mean_12,50621.230676788044
humidity_roll_max_6,48175.45645491173
traffic_flow,43210.643623454074
temperature_roll_std_6,36752.27323853479
aqi_lag_3,35948.41550589872
aqi,32876.618396214144
humidity_roll_mean_6,29229.78856822171
electricity_demand_roll_std_6,26016.932394151936
electricity_demand_roll_std_24,25237.025164680934
temperature_roll_max_6,23760.31574314073
temperature_lag_6,22890.78007520308
aqi_lag_24,22586.468599338263
electricity_demand_roll_max_6,22496.880118119756
traffic_flow_lag_24,20499.37355551538
is_weekend,20179.36895590547
electricity_demand_roll_mean_24,19694.904429705108
traffic_flow_roll_mean_24,19630.470758231262
electricity_demand_lag_3,18883.133802202727
humidity_roll_mean_24,18841.51599568053
temperature_roll_mean_24,18762.519163738685
humidity_lag_3,18483.546729250746
day_of_week,18212.54029432224
traffic_flow_roll_min_6,16405.993072733185
humidity_lag_2,16241.306580876108
temperature,16161.595564353693
temperature_roll_min_12,15264.47109772045
temperature_roll_mean_6,14964.288263117116
hour,14635.05660036543
temperature_roll_mean_12,14232.086082019134
electricity_demand_lag_1,13004.093955032658
humidity_roll_min_24,11478.387035674237
aqi_roll_std_6,9101.657321469249
humidity_roll_max_24,8040.723220846934
dow_sin,6479.362041136235
humidity_roll_std_24,5796.4353194550695
temperature_lag_3,5611.371113089129
humidity,4216.008123360067
humidity_lag_1,3031.0573613971796
electricity_demand_lag_2,2535.509737439232
temperature_lag_1,2293.68125565553
temperature_roll_std_12,2237.87944017159
humidity_lag_6,1955.179063827234
electricity_demand,1932.260197421032
temperature_roll_max_12,15.50161017652034
month,0.0
