,traffic_flow,aqi,electricity_demand,temperature,humidity,hour,day_of_week,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,season_sin,season_cos,traffic_flow_lag_1,traffic_flow_lag_2,traffic_flow_lag_3,traffic_flow_lag_6,traffic_flow_lag_12,traffic_flow_lag_24,aqi_lag_1,aqi_lag_2,aqi_lag_3,aqi_lag_6,aqi_lag_12,aqi_lag_24,electricity_demand_lag_1,electricity_demand_lag_2,electricity_demand_lag_3,electricity_demand_lag_6,electricity_demand_lag_12,electricity_demand_lag_24,temperature_lag_1,temperature_lag_2,temperature_lag_3,temperature_lag_6,temperature_lag_12,temperature_lag_24,humidity_lag_1,humidity_lag_2,humidity_lag_3,humidity_lag_6,humidity_lag_12,humidity_lag_24,traffic_flow_roll_mean_6,traffic_flow_roll_std_6,traffic_flow_roll_min_6,traffic_flow_roll_max_6,traffic_flow_roll_mean_12,traffic_flow_roll_std_12,traffic_flow_roll_min_12,traffic_flow_roll_max_12,traffic_flow_roll_mean_24,traffic_flow_roll_std_24,traffic_flow_roll_min_24,traffic_flow_roll_max_24,aqi_roll_mean_6,aqi_roll_std_6,aqi_roll_min_6,aqi_roll_max_6,aqi_roll_mean_12,aqi_roll_std_12,aqi_roll_min_12,aqi_roll_max_12,aqi_roll_mean_24,aqi_roll_std_24,aqi_roll_min_24,aqi_roll_max_24,electricity_demand_roll_mean_6,electricity_demand_roll_std_6,electricity_demand_roll_min_6,electricity_demand_roll_max_6,electricity_demand_roll_mean_12,electricity_demand_roll_std_12,electricity_demand_roll_min_12,electricity_demand_roll_max_12,electricity_demand_roll_mean_24,electricity_demand_roll_std_24,electricity_demand_roll_min_24,electricity_demand_roll_max_24,temperature_roll_mean_6,temperature_roll_std_6,temperature_roll_min_6,temperature_roll_max_6,temperature_roll_mean_12,temperature_roll_std_12,temperature_roll_min_12,temperature_roll_max_12,temperature_roll_mean_24,temperature_roll_std_24,temperature_roll_min_24,temperature_roll_max_24,humidity_roll_mean_6,humidity_roll_std_6,humidity_roll_min_6,humidity_roll_max_6,humidity_roll_mean_12,humidity_roll_std_12,humidity_roll_min_12,humidity_roll_max_12,humidity_roll_mean_24,humidity_roll_std_24,humidity_roll_min_24,humidity_roll_max_24
traffic_flow,1.0,0.9998001652844449,0.2420509698754545,0.18131065010717606,-0.36285314923562595,0.6401099849029949,0.0549852951912312,,0.0893693791289293,-0.6320950529784337,-0.5966893992695923,-0.028291973001202415,0.012391463396119106,-0.019530080102724032,0.019530080102724032,0.9471789640740464,0.8154254935436555,0.6400685689986623,0.02962274394958951,-0.7021848933054737,0.8469217986896209,0.9466871605878862,0.8145398422837096,0.6389799190789632,0.029054879244905733,-0.7024035851284498,0.8469339482353417,0.24353397380001088,0.23200633295070702,0.20453671630684184,0.0274297509469685,-0.3160441079132775,0.19454472741355155,0.16655520079275382,0.14066366838344274,0.10633534313619043,-0.008811024560274914,-0.12008002635194204,0.11763973335523865,-0.3487206937240117,-0.306367432579664,-0.24157996772397067,0.028063811579741606,0.39246901382654376,-0.36861210994215854,0.7585029734747574,-0.34371368583046574,0.7395554654108772,0.753293795175494,0.20744476069824452,-0.12250652721688078,0.24282491839950004,0.29456635254183705,0.1440532403218111,0.26014316214707783,0.016919108851402197,0.24460552384735473,0.7586575005093951,-0.4465064360952879,0.7396440583908124,0.7515507226696555,0.20954245570161728,-0.17089880061203336,0.24339766796304604,0.29530052602951334,0.14976036286643218,0.22924028637491725,0.016209626448324,0.24999150751588375,0.20187482677405516,0.011300216540340921,0.18155425549110335,0.18543393987856296,0.024093814742208154,-0.0971752306198926,0.014678872244065309,-0.02521522989026303,-0.048251667714986846,-0.034986135596523714,0.02984577358231565,0.003914231952885128,0.11530324603609995,0.19036958664967418,0.10372819311120283,0.13088491427004623,0.019506348770428006,0.20751284877738868,0.02164163530647762,0.041388477828244744,0.008634530274516454,-0.17180495423038322,0.1151373175947301,0.07272225189146862,-0.26759735986566413,-0.07608804877030145,-0.20731519258141337,-0.29605017686314844,-0.0285189070977393,0.010264847440938654,-0.02040918851938285,-0.002503163573925142,0.07194682548822823,0.22785068208309023,-0.15474167716864928,0.03026270033106056
aqi,0.9998001652844449,1.0,0.23947716454914428,0.17451006113199816,-0.35143744656493364,0.639939110491673,0.0554352516635404,,0.09030924914263087,-0.6315268289542728,-0.5965088196008971,-0.030713752376054296,0.012242501697095242,-0.020734551636858705,0.020734551636858705,0.9467237357828168,0.8144736525710843,0.6386001192174174,0.028586995176883463,-0.7018702706944098,0.8458935168252224,0.94648922423885,0.8138060603452749,0.63770358398943,0.02811683306903853,-0.7020839002066689,0.8458301113834915,0.24071173557526201,0.22922952896464355,0.20191861576175754,0.024846580345831756,-0.3191021232596725,0.19341127604400668,0.16140226917065756,0.13717522631566934,0.10461858516748683,-0.005602971528967632,-0.1116072285945185,0.1196330200920678,-0.3376819434366462,-0.29594824596279595,-0.23221051471244242,0.03266608582966293,0.39174067371081994,-0.3733757453819231,0.7573878729815618,-0.3431912553644674,0.7386423249105464,0.7522345994012074,0.20678299012975968,-0.12297453784267097,0.24255720255278485,0.2938565460190535,0.14152461611865044,0.2567664743410453,0.017210618811802518,0.24278042710571882,0.7577645088989095,-0.4458644085385995,0.7388602636411866,0.7511016180926384,0.20895219027201062,-0.17107737362257688,0.2431925457463042,0.2953836268734201,0.14739461851059224,0.22581538005930496,0.016512667556907945,0.24864507439386418,0.1991687685802623,0.010320279743290223,0.17883223764677472,0.18278280166482502,0.02125107415905527,-0.09834133389356238,0.011779502102200376,-0.02772102559836936,-0.05128513085440415,-0.03519027327618828,0.026802553172384353,0.0012456216511664568,0.11289668664781949,0.18577452721181847,0.10262009571347866,0.1265911096742538,0.022009408304467615,0.20217084539323396,0.025299593081450536,0.040892635010204396,0.016578687924996803,-0.17733312409115704,0.12257880202831929,0.07686808527733417,-0.2574702069558114,-0.07951156295046656,-0.19704284468368766,-0.28672083691499123,-0.021540005543230236,0.0055924612068801866,-0.012616179605099215,0.003172340526317317,0.0736749718092572,0.2279158593335721,-0.1525663541347249,0.034534428012867956
electricity_demand,0.2420509698754545,0.23947716454914428,1.0,0.13138551859924708,-0.2989053320506333,0.16899238611552528,-0.29288634265805374,,-0.4517097013677112,-0.1901540027294332,-0.255762207959778,0.5093660835301973,-0.01833303879326681,-0.23115816192601213,0.23115816192601213,0.2254767114723351,0.1961703619425605,0.15487924490573346,-0.02013002545076713,-0.26755223355476726,0.24200313103917848,0.2229784611334767,0.19362579146064116,0.1525734889318904,-0.021856653078580982,-0.26870150464530285,0.24288245441072806,0.9801992778613762,0.947157322695731,0.9078977109496515,0.7462330713165678,0.5631911794298067,0.49319967145603444,0.13162458648003447,0.12755866069599167,0.11862050872107889,0.08095016890106166,0.00635763570747702,-0.05386771979706338,-0.2879166353699846,-0.26436328110441387,-0.22876529522104902,-0.09235567815631336,0.09120109138381144,-0.028188154614267873,0.18910514799032593,-0.15167239762425758,0.18291577412816512,0.13738372892323458,0.027958509301363153,0.07402047451569506,-0.11345234304585246,-0.04003473344625942,-0.033827878904465335,0.14424851895772084,-0.44234149690934266,-0.11369535058064958,0.18048947482323044,-0.14085322715980322,0.18087446530906093,0.13076036980556915,0.0047303496917685565,0.10889954224055341,-0.1136794793378837,-0.05844982982335355,-0.10903521216777004,0.46855571009665214,-0.44279678718872467,-0.1329467013325528,0.9433284439848991,0.23198962732534079,0.9339063190396945,0.9336100763280859,0.8481349814529591,0.3501518060426272,0.8347917701267425,0.8474869682723961,0.7679541810257001,0.4927654517542805,0.7329802060757002,0.8060333422128995,0.11619819934862001,0.04806334975631302,0.10329269963332391,0.12303882071871095,0.0823200063785115,0.044902063271290496,0.04224836492803401,0.07612215648213942,0.0386377068744914,-0.04441291749825667,-0.05964282708588759,-0.01452529939430427,-0.25172372476354987,-0.08862815176301299,-0.18948783117317466,-0.29806224847092716,-0.13298601663222187,-0.05758517654175837,-0.08221700036584347,-0.1782409426598376,-0.05383982595775755,0.028326412732723915,-0.06661781915525368,-0.08567119971066318
temperature,0.18131065010717606,0.17451006113199816,0.13138551859924708,1.0,-0.4314493920158827,0.12429201448798832,-0.058273265070063564,,-0.06910095229865575,-0.13368086481221844,-0.07683071235751719,0.012783077490202105,-0.016528623621701738,0.009060920606267826,-0.009060920606267826,0.18588913540270058,0.17769590325114124,0.15817795344867736,0.05825612193806805,-0.1339632499893359,0.11252174660291875,0.17777069897244635,0.16872750393715583,0.1485630963607046,0.04819704660681115,-0.14106485693934326,0.11791089855296086,0.12804223844744148,0.1206507506181628,0.1103369775049659,0.05965268840947566,-0.01589447045104828,0.13987641494117803,0.979480670347565,0.930000969434588,0.8590127612268689,0.5441430647522822,-0.19644795910150847,-0.5540649867860812,-0.4868451892802283,-0.5225736314027706,-0.5424356326379838,-0.5144205961139923,-0.31442131749413227,0.19585472781999497,0.17558567675868536,-0.04864544126092961,0.15868706207654432,0.1688824552631162,0.09284983911015422,-0.025939750970761594,0.04504308144005245,0.053102509034114516,0.026385108235182378,0.05590891577024192,-0.06792699416071116,-0.07119724804934957,0.1660189749532111,-0.07410692991221232,0.1540380138918764,0.14716588104541703,0.07535510724109838,-0.026384602003566102,0.041455997747998075,0.0013005011252766431,-0.001749473186905585,0.08795293412799068,-0.06887406992154647,-0.11988755637527058,0.1158281984046401,0.010410526630858069,0.11070704960296143,0.11961382759717225,0.07744926087973741,0.07233581532371085,0.06983045975282164,0.0801346013337866,0.0716734745327628,0.13690065894279044,0.05989655516422954,0.11390161913479244,0.9014129684656473,-0.33104352117519564,0.8671276774126794,0.9197899493764019,0.624260087124088,-0.16765353356322152,0.5506602819742162,0.7431234052298875,-0.032866518176296836,0.20767487628818695,-0.03912185461331886,0.290709399839329,-0.5602817938384224,0.26271990780525006,-0.5946036926945456,-0.48538144195862,-0.6258496543992016,0.5221700023220068,-0.7339062695159438,-0.38195092543869946,-0.4630526538467455,0.5520571575996501,-0.5347566577015059,-0.11658198343541273
humidity,-0.36285314923562595,-0.35143744656493364,-0.2989053320506333,-0.4314493920158827,1.0,-0.3223257579658478,0.08343469201232498,,0.28520973938806,0.33261276457295735,0.3225388248762773,-0.2088788946557532,0.16094700359845232,-0.10439211516796433,0.10439211516796433,-0.3487248701311461,-0.30645570663955,-0.2408951002328264,0.04308027238021177,0.43432394124757784,-0.4427655358074154,-0.33754677971484226,-0.2960977107150904,-0.2317534512468104,0.048015203640663556,0.43457680371589646,-0.4460507229708864,-0.3002065992674763,-0.2910109101042971,-0.2724602587967681,-0.17465190437521358,-0.05756658347812176,-0.34804721643414305,-0.35371257682080115,-0.2604140722292429,-0.15922711706108364,0.14968850929953528,0.48679227350016174,0.0578339600692236,0.9622412541272086,0.8774167955130698,0.7595253107405695,0.32065942192754093,-0.1522982251499687,0.007670922584676439,-0.2901658204485425,0.23585012697227298,-0.32886615816892373,-0.18228039435088242,-0.00576553004902796,0.1366519781584056,-0.07416496168492968,0.16403340717721768,0.10914521158786121,0.04274426144258115,0.06232488571570716,0.1291444133604812,-0.27984288103245336,0.27511835210112057,-0.3226653444840256,-0.16376066469661466,-0.005449451963629667,0.1322617516345121,-0.07072752714776136,0.1893453087863428,0.11078919730530817,-0.05261886988068289,0.06307384026820834,0.15617309817686223,-0.27783345969074713,-0.15392819250098533,-0.2573441340957269,-0.2785332404344285,-0.20664887812529303,-0.061772035625766435,-0.20282712199716998,-0.17773682012726175,-0.22745725716233667,-0.07132341546322464,-0.2887286227725651,-0.23442168897900803,-0.19498814026856734,-0.3663143782877012,-0.13311418808628234,-0.28171458348488987,0.10456824904194358,-0.36278746574160325,0.15136164593910204,-0.02649750348393614,0.4112291058622466,-0.17047113099699943,0.2952462990471562,0.2182936153864929,0.8402553012450577,-0.18242780494938746,0.7936619167875455,0.8376360865766855,0.5210606403558595,-0.18456277162070936,0.49717534181627776,0.5385440679548027,0.22646257619649568,-0.0445075278789422,0.24790020074194621,0.39575034918093366
hour,0.6401099849029949,0.639939110491673,0.16899238611552528,0.12429201448798832,-0.3223257579658478,1.0,0.0,,0.0,-0.7455416103283029,-0.16615921537071862,0.0,0.0,0.0,0.0,0.7096558703110146,0.7350511771880408,0.7048810135213994,0.3248659494688567,-0.4408030342098519,0.6346997641050841,0.7094488956719487,0.7350102635965975,0.7049796874772332,0.3245290140099121,-0.4393806852367357,0.6348273182431131,0.2070179593392756,0.23537829825501444,0.248754635975116,0.18762251031331334,-0.2058844121881119,0.17956493948083765,0.12524265484122546,0.12510547382822668,0.11410211257506163,0.049032585409308445,-0.08671644211751948,0.11134042809077128,-0.35661135410397615,-0.371200662245864,-0.3611142566994021,-0.21912241423224296,0.267200708189985,-0.26517668830619556,0.7395877724745452,-0.540124387461178,0.7607872020138712,0.5806558036426339,0.48396687318250775,-0.5371040017399243,0.5752696937150085,0.16743675084258258,0.00790594987595062,0.1362205993694615,0.005398908723185146,0.050437427966963336,0.7415516248638224,-0.6379872915116437,0.7614707192743173,0.5815559313907003,0.49015445221784076,-0.5557509727106597,0.5759400155303167,0.17074896961037364,0.017708365049389545,0.1235734862497901,0.004851909267633694,0.052631206956900656,0.22802829188632245,0.02497895091704459,0.21175064528416124,0.21216779340941525,0.12780683962324432,-0.07693199200445586,0.10096933388586789,0.0642396478827218,0.0036581564113987645,-0.026288185843229412,0.06143445127414279,0.014130992959676044,0.1159443121233709,0.18376941267209662,0.09928832553129391,0.13604020094164979,0.04336600024802259,0.24464161669414197,0.032313016465964024,0.07718929721990975,0.008960076526077368,-0.003244207133266799,0.0400966814312822,0.10574586052858836,-0.36360752204720365,-0.07281656604163225,-0.3051480972664813,-0.396847653977069,-0.21895269463146408,-0.11840634031868935,-0.09570225422206405,-0.25619626683317714,0.007744702192027121,0.17426301936615904,-0.13716724545749992,0.01182138514114228
day_of_week,0.0549852951912312,0.0554352516635404,-0.29288634265805374,-0.058273265070063564,0.08343469201232498,0.0,1.0,,0.7140301101571916,0.0,0.0,-0.6475849731663685,-0.6583184257602862,-0.16298382113489315,0.16298382113489315,0.0545844807227237,0.054599837598911724,0.05485322605601417,0.04076329215349926,-0.0041294640069605,0.02491806730269285,0.05494229593790473,0.054982223815993596,0.05518186320643795,0.041294640069605,-0.003009947732853321,0.025587627104490834,-0.2826617344920653,-0.2701750584635804,-0.2562479074486586,-0.2189813760031731,-0.16443221609568187,-0.10673643225726388,-0.049665726707187205,-0.037834776564885785,-0.026430748039868866,0.0038269376628524325,0.02772302792982449,0.033825855442508955,0.07976593359454041,0.07335443656890184,0.06578349517096214,0.03991790496021101,-0.0035451356531689504,-0.11608034928289418,0.05371067446762495,0.003908324989852909,0.061338659441764316,0.08161211688129645,0.028474719827839938,-0.031048532276953287,0.12102998458647386,0.09798075602538889,0.23149569440879644,-0.02026646950533943,0.24286035108951304,0.15199649453140848,0.060917656462666094,-0.041664740785736454,0.06257031625737472,0.077966278081925,0.04874426070841697,-0.08748965933080946,0.1215936676061569,0.08426908721829933,0.27097668740059544,-0.29540947741574664,0.24301718696364252,0.13250233166635822,-0.27224362968610766,-0.1728186061819635,-0.255846619054886,-0.2841941085662945,-0.2530736411405934,-0.1988853678235208,-0.23734622862748178,-0.2653802280849188,-0.20600174424905257,-0.17639061558329863,-0.22354924287289543,-0.20126226008477208,-0.028444775719227003,-0.05760057120605223,-0.012108356978082204,-0.04606226410127094,0.006601921073232871,-0.03127427835691729,0.02640501635056508,0.00030333058184921907,0.04901300604170745,-0.08636860736908349,0.12129696746993851,0.16125673750831035,0.06709265850064611,-0.04341542467117155,0.05367224438743369,0.07848350843254762,0.027240026982322554,0.03462361305352601,-0.02024788279861232,0.07340700005725513,-0.08436299933892713,0.07760443812857638,-0.07794142624810202,-0.04544565400026774
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_weekend,0.0893693791289293,0.09030924914263087,-0.4517097013677112,-0.06910095229865575,0.28520973938806,0.0,0.7140301101571916,,1.0,0.0,0.0,-0.7140301101571916,0.0,0.0,0.0,0.0890016039061765,0.08932851521529009,0.09051356871082687,0.07649724633258145,0.026112040815448476,0.03857553447540432,0.08994147391987808,0.09035011305627008,0.09157603046544606,0.07829525853270623,0.02893165085655324,0.04127255277559149,-0.45555090924979597,-0.45632732360894074,-0.4517914291949896,-0.43107342497991546,-0.40618730157364297,-0.3926204822454287,-0.06685343463075151,-0.06244012721013955,-0.05962051413585969,-0.057209540637562416,-0.05653527997094572,0.0273175521971804,0.2811642111697897,0.2753206704100658,0.26915021827916863,0.24790098699635205,0.2168035418295798,0.08657022021788047,0.0876530947560829,0.04417389064397465,0.08144411711616217,0.15091525099466607,0.0646467113772136,0.018960855928588566,0.15261217147153322,0.2504408532531748,0.3121185723762057,0.12328642744946487,0.3548555959916916,0.38535532968499564,0.09782820925224359,-0.01851135287855737,0.08340564126145861,0.15124217274066049,0.09141257481088927,-0.054553324708331324,0.15412438242495188,0.25146264376012367,0.38914704958609675,-0.19610592155451836,0.3548555959916916,0.3927216132602641,-0.4667476215869366,-0.23043160901144594,-0.45303010370529934,-0.476567430800396,-0.47700446391037565,-0.23182098207517873,-0.49486580944704767,-0.4773044275570365,-0.48738389797473236,-0.22716249592031,-0.5627167202037079,-0.480115740965621,-0.05947743006552038,-0.03833035099356912,-0.05449305470478525,-0.06889782928262422,-0.056106153426620904,-0.034856918334237166,-0.04526142442298343,-0.05294483393196715,-0.04478684934856264,-0.06771150490015355,-0.000961055666865054,0.07253066276495942,0.2864151797591658,-0.09133084698361087,0.2643560345511996,0.308653762891114,0.29307598862033873,-0.04944533550343139,0.22771468998238337,0.362676021461355,0.3573549247747996,0.03579678834793876,0.22778876681683638,0.3969190965755065
hour_sin,-0.6320950529784337,-0.6315268289542728,-0.1901540027294332,-0.13368086481221844,0.33261276457295735,-0.7455416103283029,0.0,,0.0,1.0,-0.006744995648389904,0.0,0.0,0.0,0.0,-0.7675502701956289,-0.8488677027379993,-0.871587032788773,-0.6155142277988394,0.6065165448399858,-0.6314774705114962,-0.7671012287528068,-0.8483259637319137,-0.8709586155417137,-0.615224096464469,0.6060530570236681,-0.6314124618307658,-0.24953702484762502,-0.2924319193494859,-0.3167355350269456,-0.25561292876698993,0.19239559835016978,-0.19683304274224014,-0.14991559642452335,-0.1561118934552996,-0.15127596472543206,-0.08605713948863615,0.11171511967884376,-0.10897993349953863,0.4059106679432032,0.4517044767531954,0.4660774172453876,0.3360696726533197,-0.30026492994676646,0.2748501417458335,-0.9046656165003621,0.5425154986610284,-0.9172951974848647,-0.7258198107843914,-0.7371225960204856,0.4840076860037794,-0.6903041675039086,-0.32300777914401796,0.008271752690698724,-0.1344403594791281,-0.006800088102820203,-0.058322637726538666,-0.902369846979017,0.6618931060420599,-0.9171085931388228,-0.7247350942785059,-0.7405716676925641,0.5597211294943083,-0.690121083016976,-0.32694636243431474,-0.0023980980002724288,-0.1312043718161099,-0.006563835817408032,-0.05957580818329661,-0.2863680540747007,-0.0498207267285513,-0.2596291084378618,-0.2737563099779205,-0.19166485262418315,-0.01041944688371379,-0.12594298329905848,-0.12667131690144157,-0.006856008088128254,0.04824968361090295,-0.06572399605118723,-0.018254801512270047,-0.1443445615087946,-0.16516298044647368,-0.11954538926308338,-0.17320257252419605,-0.0678979554294001,-0.2993589554406343,-0.033482301150500625,-0.10657019867202976,0.0006862027410418094,-0.09662095753206067,0.006769221137327241,-0.12768314239167217,0.4507208480015182,0.10844411037376525,0.3725751464877929,0.4931010080103836,0.32319667557286036,0.1070428121446904,0.15591855813232236,0.34417912609570944,-0.004933436548753219,-0.20496153556244065,0.17028416374852978,-0.011479468911986996
