,MAE,MAPE,RMSE,NRMSE,UPS
ARIMA,265.2023118224806,4.540939519343993,697.981720824288,0.1260310970219426,82.96722225641253
SARIMA,134.761825228679,2.5467923857919783,465.05559935104947,0.08397278268719133,86.30836456479165
LSTM,189.6083221435547,3.9018330084468302,495.2269592285156,0.08942067547657592,82.88476134388885
GRU,143.5352783203125,3.0390278605638867,384.541259765625,0.06943470777605368,85.9107133080138
BiLSTM,256.4075622558594,5.147858717591657,672.2183227539062,0.12137912803056465,76.54004157538853
TFT,313.9538269042969,6.114165316296335,826.5907592773438,0.14925339313599265,72.59806889019497
Informer,130.24703979492188,3.049674252008604,347.1453857421875,0.06268232030421232,85.1915303093418
PatchTST,348.1142578125,7.471580778532182,912.6561279296875,0.16479378983011098,65.61027504796412
Hybrid,131.98341369628906,2.808203501166866,353.46832275390625,0.0638240216757704,86.9734036583598
AdaptiveSwitcher,129.9102437366299,2.796794259516626,347.1415861036942,0.06268163422233752,87.03110239445502
