model,traffic_flow,aqi,temperature,electricity_demand
ARIMA,0.25460739268060334,0.2551797630609532,0.04988932091690827,0.12163463308503375
SARIMA,0.16963995722845135,0.2029248951422169,0.05014735679874175,0.12495320823892368
LSTM,0.18064584424887475,0.21549266379403847,0.1779246274519764,0.11054641074955594
GRU,0.14027006042407095,0.1799892319285336,0.15526746440241032,0.08804471092443326
BiLSTM,0.24520732046668392,0.2987941183692175,0.22837982712677554,0.16601707102178195
TFT,0.3015171419000825,0.3981113396511128,0.21177291483855987,0.18467584800244613
Informer,0.12662818377827306,0.17101819154782166,0.15695649627832708,0.13773591602190605
PatchTST,0.3329126958973379,0.3847290835137754,0.3503319864124797,0.30761523225784193
Hybrid,0.12893613032957926,0.14776090379016077,0.15351601562515296,0.09085080392071491
AdaptiveSwitcher,0.12662818978818058,0.14776090565986583,0.15351600767214862,0.09085080110160403
