model,target,MAE,MAPE,RMSE,NRMSE,UPS
ARIMA,traffic_flow,1053.5240254916685,11.914454218449453,1395.9392654525377,0.25460739268060334,79.70620975406439
SARIMA,traffic_flow,534.6763192028887,6.387218693596136,930.0872012854358,0.16963995722845135,85.49639517869878
LSTM,traffic_flow,751.5086059570312,8.850601586666839,990.4293212890625,0.18064584424887475,84.69940455651192
GRU,traffic_flow,568.651611328125,6.659781925026261,769.0604858398438,0.14027006042407095,87.69852289448835
BiLSTM,traffic_flow,727.1901245117188,9.174340217466884,930.8565063476562,0.16972220052720158,85.49038391759115
TFT,traffic_flow,361.1152648925781,4.753222696254852,522.5968627929688,0.09531720179505528,91.29775359696305
Informer,traffic_flow,1292.12255859375,14.849645094419754,1713.242919921875,0.31248086766038696,76.19158683681144
PatchTST,traffic_flow,949.2969360351562,11.428636551420427,1268.1932373046875,0.23122849274975052,81.21969284244398
Hybrid,traffic_flow,220.75149061249616,2.74893877157214,366.77157082706293,0.06689600025862015,93.72984805994172
ARIMA,aqi,5.895092301383227,5.371433477957061,7.929145316946595,0.2551797630609532,79.66986318846814
SARIMA,aqi,3.2066326749444487,3.0283370264396114,6.3054411631554474,0.2029248951422169,83.130709493029
LSTM,aqi,5.113555431365967,4.912125914374297,6.695956707000732,0.21549266379403847,82.27116705736424
GRU,aqi,4.0647430419921875,3.968727320392749,5.592766761779785,0.1799892472743481,84.7465349629156
BiLSTM,aqi,6.43987512588501,6.202313872814065,8.083471298217773,0.2600161135247752,79.36406441681092
TFT,aqi,2.733954906463623,2.6228710468184637,4.057135105133057,0.13056877298256,88.4510543628314
Informer,aqi,8.25152587890625,8.063595960016597,10.735129356384277,0.3454833599449938,74.32273261565139
PatchTST,aqi,5.72806978225708,5.52060599863297,7.899632930755615,0.2541026963725687,79.73828641724889
Hybrid,aqi,2.487491785164666,2.429057033797621,3.8361280195226275,0.1234562107964301,89.01103491083906
ARIMA,temperature,0.10309800397729672,0.40521736160350846,0.1295610786874126,0.04988932091690827,95.248135215497
SARIMA,temperature,0.09513597192398533,0.3739265002894731,0.130231190177727,0.05014735679874175,95.22473141754026
LSTM,temperature,0.3325349688529968,1.3014794979857087,0.4620649218559265,0.1779246159761718,84.89507617355277
GRU,temperature,0.28277331590652466,1.1066532205717388,0.40322497487068176,0.15526746440241032,86.56004179233715
BiLSTM,temperature,0.6404197812080383,2.48214543691382,0.8667175769805908,0.3337129386885692,74.97865327626596
TFT,temperature,0.23427413403987885,0.9104840971943937,0.32375335693359375,0.12466579690151675,88.91530290643013
Informer,temperature,0.5224174857139587,2.029944188166654,0.6951613426208496,0.26768168081337385,78.88415641996002
PatchTST,temperature,0.3753679692745209,1.4665046708641447,0.5216725468635559,0.20085998400247757,83.27365499073343
Hybrid,temperature,0.2084030215450908,0.8100428514716701,0.2905920878713085,0.11189658179986628,89.9364218191286
ARIMA,electricity_demand,1.2870314928936093,0.4726530193659506,2.1469642838557763,0.12163463308503375,89.15559224927995
SARIMA,electricity_demand,1.069213064958849,0.39768732284269326,2.2055402185873914,0.12495320823892368,88.89258616946977
LSTM,electricity_demand,1.4785757064819336,0.5431251204983779,1.951247215270996,0.1105464310106916,90.04576234511104
GRU,electricity_demand,1.1420098543167114,0.4209490162576496,1.5540709495544434,0.08804471092443326,91.90798778391854
BiLSTM,electricity_demand,2.007579803466797,0.724893928377938,2.5861103534698486,0.14663323883203983,87.21184474109607
TFT,electricity_demand,0.9529922008514404,0.3489469673565347,1.197593092918396,0.06784872833594154,93.64622286513634
Informer,electricity_demand,3.501521587371826,1.3028013299314944,4.553830623626709,0.2579938200189612,79.49164646809851
PatchTST,electricity_demand,2.7940752506256104,1.048987362529294,3.50974178314209,0.19900342011150132,83.40259779300754
Hybrid,electricity_demand,0.8750321421975997,0.31986826878867897,1.1389880395894796,0.06452850272160088,93.93830202229196
