scenario,model,MAE,MAPE,RMSE,NRMSE,UPS
clean,BiLSTM,247.94131469726562,4.767241689556194,687.9359741210938,0.12272265736352815,77.90776762675148
clean,TFT,358.27166748046875,5.975859640870857,947.9256591796875,0.16910288203234455,72.77515143342713
clean,Informer,135.88394165039062,2.9826186723066597,370.0697021484375,0.06601768037412052,85.75050757776668
clean,PatchTST,389.28582763671875,7.976180047681661,1005.2451782226562,0.1793282575910797,62.03375138791137
clean,Hybrid,145.85699462890625,2.994457459736913,404.2888488769531,0.07212212145179661,86.56046468520633
clean,GRU,141.6121826171875,3.018679410257586,383.1672058105469,0.06835417754058454,86.6605107177836
clean,HybridNoGate,111.44969177246094,2.7203077043924107,321.0473327636719,0.05727245455737044,86.1424060896857
clean,AdaptiveSwitcher,111.34807847393677,2.5751623832617163,321.04707718511327,0.0572724089640579,87.68145823246756
noise_0.02,BiLSTM,250.53805541992188,4.789176648685981,693.1896362304688,0.12365987157997657,77.76073001381351
noise_0.02,TFT,358.74481201171875,5.990382126586614,952.7787475585938,0.16996863687681296,72.60804312440862
noise_0.02,Informer,140.82830810546875,3.0493185897914246,381.2568054199219,0.06801337633031879,85.52695331037984
noise_0.02,PatchTST,389.53424072265625,7.976681597835711,1006.7214965820312,0.17959162179791383,62.025643107083184
noise_0.02,Hybrid,153.62063598632812,3.0945645666376596,422.7943115234375,0.07542335824875224,86.20078913189116
noise_0.02,GRU,145.69158935546875,3.064993524051977,390.7751770019531,0.0697113829737608,86.45097482111082
noise_0.02,HybridNoGate,116.64796447753906,2.809979338525015,331.34674072265625,0.05910979227707972,85.83771020386568
noise_0.02,AdaptiveSwitcher,116.54892695415765,2.662755291116124,331.34647332398123,0.05910974457514639,87.40609688243528
noise_0.05,BiLSTM,259.41485595703125,4.932087923824582,710.6386108398438,0.1267726387747247,77.2690824294396
noise_0.05,TFT,357.065673828125,6.017260950404017,958.1524658203125,0.17092726821724197,72.35565723685085
noise_0.05,Informer,157.60107421875,3.3134269955107145,415.4874267578125,0.07411986439289998,84.54475731856768
noise_0.05,PatchTST,394.1954040527344,8.05193755153434,1012.8094482421875,0.1806776670604684,61.86865533994088
noise_0.05,Hybrid,180.89205932617188,3.4672007328719983,480.9775085449219,0.08580280753035847,84.73400401337679
noise_0.05,GRU,166.5097198486328,3.384741506235186,445.1267395019531,0.079407297176215,85.37952501797754
noise_0.05,HybridNoGate,147.85740661621094,3.3373906123044073,399.650146484375,0.07129461147157927,84.0175198055549
noise_0.05,AdaptiveSwitcher,147.75377952307463,3.179132772809603,399.64993496537494,0.07129457373816403,85.73939045936368
missing_05,BiLSTM,276.5729675292969,5.504081180066866,750.0069580078125,0.13379565888446038,74.37391064159016
missing_05,TFT,376.2999572753906,6.2271797835687295,1001.28857421875,0.17862242888643184,71.6984905576989
missing_05,Informer,174.9993133544922,3.4392628868792947,474.2976989746094,0.08461117922192701,84.11668968343719
missing_05,PatchTST,421.84149169921875,8.382924879724843,1101.710205078125,0.19653690037716456,59.10698644037937
missing_05,Hybrid,201.17762756347656,3.857756240597128,595.129638671875,0.10616669789208132,81.03810070501154
missing_05,GRU,176.10401916503906,3.6571662804670155,480.8369140625,0.08577772652116208,83.54637647365364
missing_05,HybridNoGate,152.84725952148438,3.42636379352839,431.467529296875,0.07697059574335878,82.97091441482054
missing_05,AdaptiveSwitcher,152.79752708412707,3.3368658113287264,431.4672910801658,0.07697055324727095,84.03110227902964
missing_10,BiLSTM,302.38543701171875,6.263141048365018,812.322509765625,0.14491228949323717,70.41977723771777
missing_10,TFT,394.055419921875,6.446905731659154,1042.460693359375,0.18596722849032038,70.77763319999124
missing_10,Informer,207.56680297851562,3.9787336428815836,546.5064697265625,0.09749268646241568,81.66191707321472
missing_10,PatchTST,455.167236328125,8.82510394471997,1177.5389404296875,0.21006418235823654,56.41965501303048
missing_10,Hybrid,250.96307373046875,4.767622063965433,734.58349609375,0.1310442280783346,76.83489568912042
missing_10,GRU,218.75697326660156,4.563853039038515,568.9097900390625,0.10148927205459805,79.66318785428902
missing_10,HybridNoGate,190.242919921875,4.107700748678269,535.9496459960938,0.09560942768506116,80.08805793167917
missing_10,AdaptiveSwitcher,190.31780442688614,4.121960912177494,535.9499435951137,0.09560948077451124,79.63646320022721
drift_tail,BiLSTM,241.84864807128906,4.79386083037064,702.5407104492188,0.12296283908713874,77.6391398132476
drift_tail,TFT,373.9095458984375,6.134464898286616,1003.9368286132812,0.1757149740567957,72.53217724906094
drift_tail,Informer,123.34233093261719,2.8694278888252995,366.4962463378906,0.06414634524975879,85.46000899574484
drift_tail,PatchTST,399.2059326171875,8.055946307696455,1046.33251953125,0.18313531915964518,62.43324268240951
drift_tail,Hybrid,161.0809783935547,3.149454477670683,468.7164611816406,0.08203753310881927,85.92276105445144
drift_tail,GRU,138.57522583007812,3.004101639266719,390.7501525878906,0.06839140767403643,86.76514312904742
drift_tail,HybridNoGate,116.6397933959961,2.747028382774605,361.8451232910156,0.06333227812698425,85.29998093515458
drift_tail,AdaptiveSwitcher,116.5111115258187,2.558029200359792,361.84473967710767,0.06333221098460441,87.5725562227774
