feature,importance
season_sin,0.730864764140968
electricity_demand_lag_12,0.6521083106283362
temperature_lag_2,0.6265869801566406
temperature_roll_std_12,0.6202030933605936
electricity_demand_lag_2,0.5558854618108956
hour_cos,0.546084143621692
season_cos,0.47009516377972976
temperature_lag_12,0.43254101649148674
humidity_lag_1,0.38215560679865246
day_of_week,0.3646692668367159
hour,0.32847122218357955
humidity_lag_12,0.30946795947881767
traffic_flow_roll_std_6,0.3004010696248636
aqi_roll_max_6,0.2852540269856525
humidity_roll_mean_6,0.2690587407397536
is_weekend,0.2530599120344001
aqi_roll_mean_24,0.24524344687991273
humidity_roll_max_24,0.2302230466426913
aqi_roll_max_12,0.2234784316347828
traffic_flow_roll_max_24,0.21002700902246968
temperature_roll_min_24,0.20932410260849107
humidity_lag_24,0.2040357080306446
temperature_roll_min_12,0.20339921429761024
aqi_roll_min_6,0.20032476685402853
electricity_demand_roll_mean_12,0.19860033002501093
temperature_roll_mean_6,0.19736062814515715
humidity_lag_3,0.19626958700825634
electricity_demand_lag_6,0.1826473876834245
traffic_flow_roll_min_12,0.17771342887537017
dow_sin,0.174343057458763
electricity_demand_roll_min_24,0.17038758244316973
electricity_demand_roll_mean_6,0.16587339291211545
electricity_demand_lag_24,0.16478076773493827
traffic_flow_roll_mean_24,0.15623369172480595
temperature,0.15120051096011725
electricity_demand_roll_max_6,0.15101308746697722
electricity_demand_roll_min_6,0.14738189742909516
temperature_roll_mean_24,0.1462641833387406
traffic_flow_roll_std_24,0.14557917089397582
electricity_demand_roll_std_24,0.14422286431189882
temperature_lag_24,0.12791429853741143
electricity_demand_roll_mean_24,0.12245951769035095
humidity_roll_mean_24,0.11719439810568809
traffic_flow_roll_min_6,0.11552908787379093
humidity,0.11140472504105674
temperature_roll_min_6,0.09908666034554292
electricity_demand_roll_std_6,0.09842053628715415
traffic_flow_lag_12,0.09246943993006981
humidity_roll_mean_12,0.09160533941334233
traffic_flow_roll_std_12,0.08953203989384408
traffic_flow_roll_mean_6,0.08925948908434385
electricity_demand_lag_3,0.07594595929725505
aqi_lag_24,0.07216557356204294
temperature_roll_std_6,0.06940010440564374
temperature_roll_std_24,0.06820072591693377
temperature_roll_mean_12,0.06694242442054632
electricity_demand_roll_max_24,0.06690245423965892
temperature_roll_max_6,0.06649204901120614
traffic_flow_lag_6,0.062251088108028124
traffic_flow_roll_max_6,0.06050567977032874
temperature_roll_max_12,0.05528592649104532
aqi,0.05476124332469133
humidity_roll_std_24,0.05322146744200335
humidity_roll_std_12,0.04983213781825411
dow_cos,0.04931616735762121
traffic_flow_lag_1,0.0463661900947892
traffic_flow_lag_3,0.04510368088975629
aqi_roll_mean_12,0.04337086268266704
temperature_roll_max_24,0.04024445762188262
electricity_demand_roll_min_12,0.039662296741444406
electricity_demand_roll_std_12,0.038212392726469056
aqi_roll_max_24,0.03744229455893761
electricity_demand,0.03464073105331063
electricity_demand_roll_max_12,0.03247593313878588
traffic_flow_lag_24,0.03213793297894914
humidity_roll_min_24,0.030862833730167127
humidity_lag_2,0.03081778364485692
aqi_roll_min_24,0.0285746917352845
traffic_flow_roll_mean_12,0.027971726247331883
electricity_demand_lag_1,0.026947041188372437
temperature_lag_1,0.02564434478837794
aqi_lag_6,0.025199108953171734
aqi_lag_2,0.02293306959691636
aqi_lag_3,0.02264614931190139
humidity_lag_6,0.022641798666835425
humidity_roll_max_6,0.020866144752856537
aqi_lag_12,0.019932126700720927
humidity_roll_min_6,0.01836995890170477
humidity_roll_min_12,0.01836125492639009
aqi_roll_mean_6,0.01815456833130108
traffic_flow,0.015067208338728082
humidity_roll_max_12,0.014649023941000651
temperature_lag_3,0.013490173230561465
aqi_roll_std_24,0.012621428758881049
aqi_roll_min_12,0.01128684838045706
hour_sin,0.006964240992519656
aqi_lag_1,0.006964133143807539
traffic_flow_roll_max_12,0.006842506473927442
traffic_flow_lag_2,0.006476699567756565
humidity_roll_std_6,0.006363213472073138
aqi_roll_std_6,0.006104288523109581
aqi_roll_std_12,0.0022608562082857987
temperature_lag_6,0.00025143024994973595
traffic_flow_roll_min_24,0.0001926985573525637
month,0.0
