feature,importance
electricity_demand,17.680633304317507
is_weekend,7.158321404757824
hour_cos,5.96597057525602
traffic_flow_roll_std_6,5.873782232416398
humidity_lag_2,5.236328756530536
season_sin,4.531955315467774
traffic_flow_roll_max_6,4.06660743129036
humidity_lag_1,3.9273815186290078
temperature,3.132342580125208
traffic_flow_roll_mean_6,2.9822613782050755
temperature_lag_3,2.705072495443882
traffic_flow_lag_6,2.099884377977691
electricity_demand_lag_2,1.9230446676844917
aqi_roll_mean_6,1.8148326897699067
temperature_roll_mean_6,1.6752183870751325
electricity_demand_roll_mean_6,1.6253868586659619
humidity_roll_mean_6,1.5793337639794955
humidity_roll_min_6,1.5063016045042914
temperature_lag_1,1.4652298185581727
humidity_lag_3,1.4291820707306462
traffic_flow_lag_3,1.3223277997978402
electricity_demand_lag_3,1.2444273740517995
electricity_demand_lag_12,1.2387444361843316
electricity_demand_lag_1,1.2285557995336045
hour_sin,1.1527350554368523
aqi_roll_max_6,1.0358188405453004
temperature_roll_mean_12,1.026069128170543
traffic_flow,0.9904008720449902
dow_cos,0.9283441613853521
electricity_demand_lag_24,0.8728885137088717
humidity,0.8588660368502169
aqi_roll_mean_12,0.8475803837593747
day_of_week,0.6725796921358229
aqi,0.6593317273735549
humidity_roll_max_6,0.6549947200519503
traffic_flow_roll_mean_12,0.6456220539705334
temperature_roll_min_6,0.6392868525591292
humidity_roll_min_12,0.5784867925491487
humidity_roll_mean_24,0.5537996887304002
humidity_roll_min_24,0.51411794671228
temperature_lag_24,0.48065693914184615
humidity_roll_mean_12,0.4648192287315039
aqi_lag_6,0.45753368481333173
electricity_demand_roll_min_24,0.4483082365835176
electricity_demand_roll_max_12,0.41580181264506516
traffic_flow_roll_min_6,0.404891527127182
temperature_roll_std_6,0.38971429460060386
electricity_demand_roll_std_24,0.37494362522014224
electricity_demand_roll_min_12,0.37160404858894286
traffic_flow_lag_1,0.36494632814820327
humidity_lag_6,0.3492789889237307
traffic_flow_roll_max_12,0.2869843057143565
humidity_roll_std_6,0.2586404192255767
aqi_lag_3,0.2542888202532626
aqi_roll_max_12,0.24603159699418095
electricity_demand_roll_min_6,0.24439976389868434
month,0.24067020627623792
humidity_roll_max_12,0.23260389863334494
temperature_roll_max_24,0.20524198399909738
temperature_roll_std_24,0.20235977122671356
temperature_roll_mean_24,0.17217291406019855
electricity_demand_roll_max_6,0.16708283694501788
electricity_demand_roll_std_12,0.15858222772039535
electricity_demand_roll_std_6,0.14870633292307386
electricity_demand_roll_mean_12,0.14362831643581722
aqi_roll_min_12,0.13963221057931258
electricity_demand_roll_max_24,0.13861915604145497
aqi_lag_1,0.13750597484834634
season_cos,0.1343031217234921
temperature_lag_6,0.12261581345303856
temperature_roll_max_12,0.1217826374845325
traffic_flow_lag_24,0.11679258076433256
humidity_roll_max_24,0.10934857409068181
humidity_lag_24,0.10908551018994121
traffic_flow_roll_min_12,0.10582087194419065
temperature_lag_12,0.0956119345754114
temperature_roll_min_24,0.08408641127183802
aqi_lag_2,0.08269878570314317
hour,0.07561809020207273
electricity_demand_lag_6,0.0730105558927619
temperature_roll_std_12,0.0641881382399379
humidity_roll_std_12,0.06286801279772113
temperature_roll_max_6,0.05729943884188549
aqi_roll_std_6,0.05232243478317104
aqi_roll_min_6,0.05126430417271762
humidity_roll_std_24,0.04517273377830115
traffic_flow_lag_2,0.043377270847964965
humidity_lag_12,0.040911638310634185
aqi_lag_24,0.037732158404636694
traffic_flow_roll_min_24,0.03730201840746405
dow_sin,0.03719438540117191
aqi_lag_12,0.034945832795338305
aqi_roll_max_24,0.026738332483922236
electricity_demand_roll_mean_24,0.025382064660364224
traffic_flow_roll_mean_24,0.018851648945166895
aqi_roll_mean_24,0.018099215013622397
traffic_flow_roll_std_12,0.011096787495237194
aqi_roll_std_12,0.007024036982688874
traffic_flow_lag_12,0.006310645779290949
temperature_roll_min_12,0.005866292782025886
traffic_flow_roll_max_24,0.005707045677019789
aqi_roll_min_24,0.004961480845723637
traffic_flow_roll_std_24,0.0045796967789437405
temperature_lag_2,0.0008824359042330678
aqi_roll_std_24,6.783785936645267e-05
