feature,importance
temperature,3.233288805064825
humidity_roll_mean_6,2.6311233623550416
humidity_lag_1,2.2542156573679395
temperature_roll_mean_6,1.348819233818755
humidity_lag_3,1.3406479616383977
humidity_lag_2,0.7630199102767736
humidity_roll_mean_12,0.7040740887579675
humidity_lag_6,0.6466932087941206
temperature_roll_mean_24,0.4055766803353248
temperature_lag_3,0.3411868547293703
temperature_lag_1,0.27649908500103787
temperature_lag_24,0.23819598219835444
temperature_roll_max_6,0.19378209675120894
traffic_flow_lag_6,0.17587832803992232
temperature_lag_12,0.15848463241314725
aqi_roll_max_6,0.14924404863092733
aqi_roll_std_6,0.14502821204211225
humidity_roll_mean_24,0.13317073932227247
humidity_roll_min_6,0.11712537986872447
traffic_flow_roll_std_6,0.11179477034814268
traffic_flow_roll_mean_6,0.10919172772658112
temperature_roll_mean_12,0.09985043005610725
traffic_flow_roll_max_6,0.09359497501378844
aqi_roll_mean_6,0.0875281420482716
electricity_demand,0.08746893025226982
electricity_demand_roll_mean_12,0.08255876067427864
temperature_lag_2,0.08142915398257661
traffic_flow,0.08001439904651637
humidity_roll_min_12,0.07960607950209575
hour_cos,0.06906760278435749
traffic_flow_lag_3,0.06691663974644059
temperature_roll_max_24,0.06491693558420872
is_weekend,0.05896682292794879
temperature_roll_max_12,0.05860105874002867
humidity_roll_max_12,0.05675489054680693
aqi_lag_6,0.05393022640121585
traffic_flow_roll_mean_12,0.04845722537461485
hour,0.045482868822905
temperature_roll_min_6,0.04172103725927575
temperature_lag_6,0.041283538985692904
season_sin,0.0401680141510655
electricity_demand_roll_max_12,0.03633369390450606
humidity_lag_24,0.035118791521234594
traffic_flow_lag_1,0.03452025227480848
hour_sin,0.031713018831278084
aqi_lag_3,0.031441418154515656
temperature_roll_std_6,0.029245984202367216
humidity_lag_12,0.02764916702636125
traffic_flow_roll_min_6,0.02660542018182087
humidity_roll_min_24,0.023949376177056895
aqi_lag_1,0.023214700916136515
electricity_demand_roll_mean_6,0.022582979442941107
electricity_demand_lag_1,0.02133852531072135
electricity_demand_lag_12,0.019736782934246605
electricity_demand_roll_std_12,0.014382321369771205
humidity_roll_std_6,0.013629223213278788
electricity_demand_roll_std_24,0.013312701815174972
temperature_roll_min_24,0.013148687853503507
humidity,0.012725333669954045
aqi,0.012578287138853032
temperature_roll_std_12,0.012182777198629325
aqi_roll_max_12,0.012068971526864094
electricity_demand_lag_2,0.011527700445814165
aqi_roll_mean_12,0.011417811213707964
traffic_flow_roll_max_12,0.01141661457231817
traffic_flow_roll_min_12,0.011022987409290422
aqi_roll_min_12,0.010366815621737895
electricity_demand_lag_3,0.010273482254158072
aqi_lag_2,0.008965341952941547
humidity_roll_max_6,0.008887011212667325
temperature_roll_std_24,0.008843286633121096
electricity_demand_roll_min_6,0.00687091939182904
aqi_roll_min_6,0.006803148228961635
electricity_demand_roll_max_24,0.006090479005166309
humidity_roll_max_24,0.004828214276465982
aqi_roll_mean_24,0.0045256884964980605
day_of_week,0.004465225326861843
electricity_demand_roll_max_6,0.004421651846468319
dow_sin,0.004370218765973004
aqi_lag_24,0.003872212902171655
electricity_demand_roll_min_24,0.002714743789503364
electricity_demand_roll_std_6,0.002579771168258526
electricity_demand_lag_6,0.0025574469097291133
humidity_roll_std_24,0.0023034216446047562
traffic_flow_roll_min_24,0.002292710179469146
aqi_roll_max_24,0.0021252924580148044
month,0.0021117873421525064
aqi_roll_min_24,0.001625369320418348
traffic_flow_lag_24,0.0015312696109204677
traffic_flow_roll_max_24,0.001364316823332054
dow_cos,0.0012684205159019498
traffic_flow_lag_2,0.0012302867283464428
electricity_demand_lag_24,0.0011883797576349164
electricity_demand_roll_min_12,0.0010771158917235045
traffic_flow_lag_12,0.0009731445734888482
temperature_roll_min_12,0.0007504585634711599
traffic_flow_roll_mean_24,0.0007420057172949134
season_cos,0.0006273212566631395
electricity_demand_roll_mean_24,0.0005735729667508837
traffic_flow_roll_std_12,0.0004289245977101946
aqi_lag_12,0.0004285173283151682
humidity_roll_std_12,0.00019817703548778048
aqi_roll_std_12,0.000166151808735719
traffic_flow_roll_std_24,7.154523273109634e-05
aqi_roll_std_24,1.1583522400164973e-05
