feature,importance
electricity_demand_lag_2,2.1420937438062935
temperature_lag_2,1.8172088322418702
season_sin,1.7046538558106215
hour_cos,1.4886905944869282
humidity_lag_1,1.2799182968053004
temperature_roll_std_12,1.2520352287864815
electricity_demand_lag_12,1.0747563906638502
season_cos,0.9336659095232515
hour,0.9012360496890871
temperature_roll_min_12,0.7492298586172853
aqi_roll_max_6,0.6158488029337212
day_of_week,0.6070167892903355
aqi_roll_max_12,0.584323028598314
electricity_demand_lag_6,0.5760331439557305
humidity_lag_12,0.5737036961402586
traffic_flow_roll_std_6,0.5658339139874073
humidity_roll_mean_6,0.5584840876375922
electricity_demand_roll_min_24,0.5501580896242556
temperature,0.48671917953222393
humidity_lag_3,0.47871480273729256
temperature_roll_mean_6,0.46671549208694374
humidity,0.4590000637233205
humidity_lag_24,0.4160787288028027
traffic_flow_roll_min_12,0.4042278951525963
electricity_demand_lag_3,0.3850948506317879
electricity_demand_roll_mean_24,0.37074996481736416
temperature_lag_12,0.3666823637254256
traffic_flow_roll_max_24,0.3653175031680009
temperature_roll_mean_12,0.3479536643041644
temperature_roll_mean_24,0.33118320225952713
temperature_roll_min_24,0.3264607875850185
temperature_roll_std_6,0.30755893460688943
humidity_roll_max_24,0.30114500396570565
traffic_flow_roll_std_24,0.28921602457625406
temperature_lag_24,0.28667091320414184
traffic_flow_roll_mean_6,0.25928353322390374
electricity_demand_roll_min_6,0.25891160891928383
electricity_demand_roll_std_24,0.25019753939694994
electricity_demand_roll_mean_6,0.24481076197694246
humidity_roll_mean_12,0.24251897880614484
aqi_roll_std_6,0.24065499517665018
traffic_flow_lag_1,0.22572756847292313
dow_cos,0.21867164661435073
traffic_flow_lag_12,0.20142729277745486
traffic_flow_roll_max_6,0.18815457304162503
hour_sin,0.17964053214260403
is_weekend,0.1795796708405475
aqi_lag_12,0.1784363203293125
temperature_roll_min_6,0.17536012463932302
electricity_demand,0.17487444241467104
aqi_lag_3,0.17269308436303601
electricity_demand_roll_max_24,0.1722456367528532
humidity_roll_min_24,0.16431645833818045
traffic_flow_roll_mean_24,0.1637771769524975
traffic_flow_roll_std_12,0.15999707747492517
traffic_flow_lag_3,0.1460410967205549
traffic_flow_lag_24,0.13442352197796809
temperature_roll_std_24,0.12283773372538095
humidity_lag_2,0.11649714053427326
dow_sin,0.10799340666832073
electricity_demand_roll_min_12,0.1044157866374931
electricity_demand_roll_std_12,0.10432327306800157
humidity_roll_mean_24,0.10127487273317912
temperature_lag_3,0.1003962186038278
aqi_roll_max_24,0.08596408159683966
humidity_roll_std_12,0.07971236506760189
traffic_flow_roll_mean_12,0.07403030133674163
traffic_flow_roll_min_6,0.06836481846055777
humidity_roll_std_24,0.06740602733540918
aqi,0.06569984697758022
temperature_roll_max_24,0.05889852321275255
aqi_roll_mean_24,0.05685392173166717
aqi_roll_min_6,0.05585446530465844
temperature_roll_max_12,0.05565611330556494
aqi_roll_std_12,0.05140371331186093
aqi_roll_mean_6,0.05050698139363529
aqi_lag_2,0.049156805836795346
aqi_lag_1,0.04864481286664946
humidity_roll_max_6,0.04778052438295605
temperature_lag_6,0.04501827854096215
aqi_lag_24,0.041521844083504414
temperature_roll_max_6,0.04087434851645252
aqi_lag_6,0.040193719817572755
aqi_roll_min_24,0.03961034431498552
aqi_roll_min_12,0.03702212764368029
humidity_roll_min_12,0.034722337421075736
electricity_demand_lag_1,0.0340398918846332
traffic_flow,0.031909591912521164
humidity_roll_max_12,0.03171190589238689
electricity_demand_roll_max_12,0.031020405426177764
electricity_demand_lag_24,0.029691880584449284
traffic_flow_lag_2,0.02550451242118902
aqi_roll_std_24,0.023599210070737293
humidity_roll_min_6,0.023342539412254452
humidity_roll_std_6,0.021146260470627305
electricity_demand_roll_mean_12,0.019644512748899744
electricity_demand_roll_std_6,0.011600507533084529
electricity_demand_roll_max_6,0.010325896480080452
traffic_flow_roll_max_12,0.009427496720971448
traffic_flow_roll_min_24,0.00909984114230954
temperature_lag_1,0.003296672995412435
humidity_lag_6,0.0031716067267007955
aqi_roll_mean_12,0.0023378761874133097
traffic_flow_lag_6,0.00022197206882035436
month,0.0
